year_month,year,month,cpi_index,cpi_yoy_growth,cpi_3m_change,cpi_12m_change
2018-01,2018,1,72.1,0.0,0.0,0.0
2018-02,2018,2,71.8,0.0,0.0,0.0
2018-03,2018,3,71.9,0.0,0.0,0.0
2018-04,2018,4,72.2,0.0,0.14,0.0
2018-05,2018,5,72.6,0.0,1.11,0.0
2018-06,2018,6,72.9,0.0,1.39,0.0
2018-07,2018,7,73.6,0.0,1.94,0.0
2018-08,2018,8,73.9,0.0,1.79,0.0
2018-09,2018,9,73.8,0.0,1.23,0.0
2018-10,2018,10,74.1,0.0,0.68,0.0
2018-11,2018,11,74.2,0.0,0.41,0.0
2018-12,2018,12,73.8,0.0,0.0,0.0
2019-01,2019,1,73.5,1.94,-0.81,1.4
2019-02,2019,2,73.7,2.65,-0.67,1.9
2019-03,2019,3,73.9,2.78,0.14,2.0
2019-04,2019,4,74.4,3.05,1.22,2.2
2019-05,2019,5,74.8,3.03,1.49,2.2
2019-06,2019,6,75.3,3.29,1.89,2.4
2019-07,2019,7,76.0,3.26,2.15,2.4
2019-08,2019,8,76.4,3.38,2.14,2.5
2019-09,2019,9,76.8,4.07,1.99,3.0
2019-10,2019,10,77.5,4.59,1.97,3.4
2019-11,2019,11,78.3,5.53,2.49,4.1
2019-12,2019,12,79.2,7.32,3.12,5.4
2020-01,2020,1,79.1,7.62,2.06,5.6
2020-02,2020,2,78.5,6.51,0.26,4.8
2020-03,2020,3,78.3,5.95,-1.14,4.4
2020-04,2020,4,79.7,7.12,0.76,5.3
2020-05,2020,5,79.5,6.28,1.27,4.7
2020-06,2020,6,80.0,6.24,2.17,4.7
2020-07,2020,7,81.1,6.71,1.76,5.1
2020-08,2020,8,81.5,6.68,2.52,5.1
2020-09,2020,9,82.4,7.29,3.0,5.6
2020-10,2020,10,83.4,7.61,2.84,5.9
2020-11,2020,11,83.7,6.9,2.7,5.4
2020-12,2020,12,82.8,4.55,0.49,3.6
2021-01,2021,1,82.3,4.05,-1.32,3.2
2021-02,2021,2,82.5,5.1,-1.43,4.0
2021-03,2021,3,82.6,5.49,-0.24,4.3
2021-04,2021,4,83.1,4.27,0.97,3.4
2021-05,2021,5,84.5,6.29,2.42,5.0
2021-06,2021,6,85.0,6.25,2.91,5.0
2021-07,2021,7,85.6,5.55,3.01,4.5
2021-08,2021,8,85.8,5.28,1.54,4.3
2021-09,2021,9,86.0,4.37,1.18,3.6
2021-10,2021,10,87.2,4.56,1.87,3.8
2021-11,2021,11,87.8,4.9,2.33,4.1
2021-12,2021,12,87.5,5.68,1.74,4.7
2022-01,2022,1,87.3,6.08,0.11,5.0
2022-02,2022,2,87.5,6.06,-0.34,5.0
2022-03,2022,3,88.3,6.9,0.91,5.7
2022-04,2022,4,89.6,7.82,2.63,6.5
2022-05,2022,5,90.4,6.98,3.31,5.9
2022-06,2022,6,90.9,6.94,2.94,5.9
2022-07,2022,7,91.3,6.66,1.9,5.7
2022-08,2022,8,91.8,6.99,1.55,6.0
2022-09,2022,9,92.3,7.33,1.54,6.3
2022-10,2022,10,93.1,6.77,1.97,5.9
2022-11,2022,11,93.0,5.92,1.31,5.2
2022-12,2022,12,92.5,5.71,0.22,5.0
2023-01,2023,1,93.0,6.53,-0.11,5.7
2023-02,2023,2,93.1,6.4,0.11,5.6
2023-03,2023,3,93.3,5.66,0.86,5.0
2023-04,2023,4,93.8,4.69,0.86,4.2
2023-05,2023,5,94.3,4.31,1.29,3.9
2023-06,2023,6,95.3,4.84,2.14,4.4
2023-07,2023,7,98.1,7.45,4.58,6.8
2023-08,2023,8,98.1,6.86,4.03,6.3
2023-09,2023,9,97.0,5.09,1.78,4.7
2023-10,2023,10,97.6,4.83,-0.51,4.5
2023-11,2023,11,98.1,5.48,0.0,5.1
2023-12,2023,12,97.8,5.73,0.82,5.3
2024-01,2024,1,97.7,5.05,0.1,4.7
2024-02,2024,2,97.9,5.16,-0.2,4.8
2024-03,2024,3,97.9,4.93,0.1,4.6
2024-04,2024,4,98.3,4.8,0.61,4.5
2024-05,2024,5,98.9,4.88,1.02,4.6
2024-06,2024,6,100.2,5.14,2.35,4.9
2024-07,2024,7,101.7,3.67,3.46,3.6
2024-08,2024,8,101.7,3.67,2.83,3.6
2024-09,2024,9,102.3,5.46,2.1,5.3
2024-10,2024,10,103.7,6.25,1.97,6.1
2024-11,2024,11,103.5,5.5,1.77,5.4
2024-12,2024,12,102.9,5.21,0.59,5.1
2025-01,2025,1,101.67,4.06,-1.96,3.97
2025-02,2025,2,101.32,3.49,-2.11,3.42
2025-03,2025,3,101.39,3.56,-1.47,3.49
2025-04,2025,4,101.58,3.34,-0.09,3.28
2025-05,2025,5,101.9,3.03,0.57,3.0
2025-06,2025,6,102.51,2.31,1.1,2.31
2025-07,2025,7,103.35,1.62,1.74,1.65
2025-08,2025,8,103.74,2.01,1.81,2.04
2025-09,2025,9,103.74,1.41,1.2,1.44
2025-10,2025,10,103.74,0.04,0.38,0.04
2025-11,2025,11,104.01,0.49,0.26,0.51
2025-12,2025,12,104.1,1.17,0.35,1.2
