city,quarter,hpi_assessment,hpi_market,carpet_area_rate_inr,qoq_growth_assessment,qoq_growth_market,yoy_growth_assessment,yoy_growth_market
Bengaluru,2018-Q1,102.5,101.8,5200.0,0.0,0.0,0.0,0.0
Bengaluru,2018-Q2,104.51,103.56,5296.71,1.96,1.73,0.0,0.0
Bengaluru,2018-Q3,105.6,104.96,5349.2,1.04,1.35,0.0,0.0
Bengaluru,2018-Q4,107.53,106.95,5442.07,1.83,1.9,0.0,0.0
Bengaluru,2019-Q1,109.97,109.42,5559.52,2.27,2.31,7.29,7.49
Bengaluru,2019-Q2,113.04,112.5,5706.87,2.79,2.81,8.16,8.63
Bengaluru,2019-Q3,114.44,113.91,5774.36,1.24,1.25,8.37,8.53
Bengaluru,2019-Q4,116.76,115.99,5885.49,2.03,1.83,8.58,8.45
Bengaluru,2020-Q1,118.51,117.94,5969.01,1.5,1.68,7.77,7.79
Bengaluru,2020-Q2,118.06,117.59,5947.57,-0.38,-0.3,4.44,4.52
Bengaluru,2020-Q3,117.18,116.53,5905.42,-0.75,-0.9,2.39,2.3
Bengaluru,2020-Q4,119.07,118.5,5996.14,1.61,1.69,1.98,2.16
Bengaluru,2021-Q1,120.85,120.03,6081.07,1.49,1.29,1.97,1.77
Bengaluru,2021-Q2,123.06,122.51,6186.69,1.83,2.07,4.24,4.18
Bengaluru,2021-Q3,127.07,126.45,6378.29,3.26,3.22,8.44,8.51
Bengaluru,2021-Q4,129.53,128.96,6495.49,1.94,1.98,8.78,8.83
Bengaluru,2022-Q1,133.52,133.22,6685.56,3.08,3.3,10.48,10.99
Bengaluru,2022-Q2,137.24,136.83,6862.78,2.79,2.71,11.52,11.69
Bengaluru,2022-Q3,140.01,139.38,6994.17,2.02,1.86,10.18,10.23
Bengaluru,2022-Q4,144.47,144.16,7205.91,3.19,3.43,11.53,11.79
Bengaluru,2023-Q1,146.1,145.69,7283.27,1.13,1.06,9.42,9.36
Bengaluru,2023-Q2,148.62,148.11,7402.41,1.72,1.66,8.29,8.24
Bengaluru,2023-Q3,152.19,151.47,7571.53,2.4,2.27,8.7,8.67
Bengaluru,2023-Q4,154.46,153.44,7678.59,1.49,1.3,6.91,6.44
Bengaluru,2024-Q1,158.51,157.87,7869.9,2.62,2.89,8.49,8.36
Bengaluru,2024-Q2,160.7,159.71,7973.35,1.38,1.17,8.13,7.83
Bengaluru,2024-Q3,162.74,161.63,8069.59,1.27,1.2,6.93,6.71
Bengaluru,2024-Q4,166.64,165.95,8253.17,2.4,2.67,7.89,8.15
Bengaluru,2025-Q1,168.11,167.61,8322.31,0.88,1.0,6.06,6.17
Bengaluru,2025-Q2,171.59,171.08,8485.72,2.07,2.07,6.78,7.12
Bengaluru,2025-Q3,174.74,174.97,8633.88,1.84,2.27,7.37,8.25
Bengaluru,2025-Q4,176.17,176.46,8701.07,0.82,0.85,5.72,6.33
Bengaluru,2026-Q1,178.82,178.59,8825.34,1.5,1.21,6.37,6.55
Chennai,2018-Q1,101.8,101.1,5600.0,0.0,0.0,0.0,0.0
Chennai,2018-Q2,103.68,103.24,5698.06,1.85,2.12,0.0,0.0
Chennai,2018-Q3,105.25,104.99,5780.0,1.51,1.7,0.0,0.0
Chennai,2018-Q4,106.68,106.45,5854.74,1.36,1.39,0.0,0.0
Chennai,2019-Q1,108.73,108.72,5961.77,1.92,2.13,6.81,7.54
Chennai,2019-Q2,110.71,110.43,6065.08,1.82,1.57,6.78,6.96
Chennai,2019-Q3,112.57,112.48,6161.44,1.68,1.86,6.95,7.13
Chennai,2019-Q4,114.83,114.54,6279.19,2.01,1.83,7.64,7.6
Chennai,2020-Q1,116.25,116.11,6352.82,1.24,1.37,6.92,6.8
Chennai,2020-Q2,115.37,114.85,6307.03,-0.76,-1.09,4.21,4.0
Chennai,2020-Q3,114.56,113.99,6265.4,-0.7,-0.75,1.77,1.34
Chennai,2020-Q4,116.61,116.05,6371.42,1.79,1.81,1.55,1.32
Chennai,2021-Q1,118.88,118.41,6489.29,1.95,2.03,2.26,1.98
Chennai,2021-Q2,121.75,121.15,6638.22,2.41,2.31,5.53,5.49
Chennai,2021-Q3,125.47,125.14,6830.81,3.06,3.29,9.52,9.78
Chennai,2021-Q4,129.41,129.27,7034.58,3.14,3.3,10.98,11.39
Chennai,2022-Q1,133.89,133.84,7266.36,3.46,3.54,12.63,13.03
Chennai,2022-Q2,137.24,137.05,7438.8,2.5,2.4,12.72,13.12
Chennai,2022-Q3,142.17,142.46,7692.92,3.59,3.95,13.31,13.84
