year,month,time_key,repo_rate,bank_rate,CRR,SLR,repo_rate_change,repo_rate_3m_change,repo_rate_12m_change
2017,1,2017-01,6.25,6.5,4.0,20.0,0.0,0.0,0.0
2017,2,2017-02,6.25,6.5,4.0,20.0,0.0,0.0,0.0
2017,3,2017-03,6.25,6.5,4.0,20.0,0.0,0.0,0.0
2017,4,2017-04,6.25,6.5,4.0,20.0,0.0,0.0,0.0
2017,5,2017-05,6.25,6.5,4.0,20.0,0.0,0.0,0.0
2017,6,2017-06,6.25,6.5,4.0,20.0,0.0,0.0,0.0
2017,7,2017-07,6.25,6.5,4.0,20.0,0.0,0.0,0.0
2017,8,2017-08,6.0,6.25,4.0,20.0,-0.25,-0.25,0.0
2017,9,2017-09,6.0,6.25,4.0,20.0,0.0,-0.25,0.0
2017,10,2017-10,6.0,6.25,4.0,20.0,0.0,-0.25,0.0
2017,11,2017-11,6.0,6.25,4.0,20.0,0.0,0.0,0.0
2017,12,2017-12,6.0,6.25,4.0,20.0,0.0,0.0,0.0
2018,1,2018-01,6.0,6.25,4.0,19.5,0.0,0.0,-0.25
2018,2,2018-02,6.0,6.25,4.0,19.5,0.0,0.0,-0.25
2018,3,2018-03,6.0,6.25,4.0,19.5,0.0,0.0,-0.25
2018,4,2018-04,6.0,6.25,4.0,19.5,0.0,0.0,-0.25
2018,5,2018-05,6.0,6.25,4.0,19.5,0.0,0.0,-0.25
2018,6,2018-06,6.25,6.5,4.0,19.5,0.25,0.25,0.0
2018,7,2018-07,6.25,6.5,4.0,19.5,0.0,0.25,0.0
2018,8,2018-08,6.5,6.75,4.0,19.5,0.25,0.5,0.5
2018,9,2018-09,6.5,6.75,4.0,19.5,0.0,0.25,0.5
2018,10,2018-10,6.5,6.75,4.0,19.5,0.0,0.25,0.5
2018,11,2018-11,6.5,6.75,4.0,19.5,0.0,0.0,0.5
2018,12,2018-12,6.5,6.75,4.0,19.5,0.0,0.0,0.5
2019,1,2019-01,6.5,6.75,4.0,19.25,0.0,0.0,0.5
2019,2,2019-02,6.25,6.5,4.0,19.25,-0.25,-0.25,0.25
2019,3,2019-03,6.25,6.5,4.0,19.25,0.0,-0.25,0.25
2019,4,2019-04,6.0,6.25,4.0,19.25,-0.25,-0.5,0.0
2019,5,2019-05,6.0,6.25,4.0,19.25,0.0,-0.25,0.0
2019,6,2019-06,5.75,6.0,4.0,19.0,-0.25,-0.5,-0.5
2019,7,2019-07,5.75,6.0,4.0,19.0,0.0,-0.25,-0.5
2019,8,2019-08,5.4,5.65,4.0,18.75,-0.35,-0.6,-1.1
2019,9,2019-09,5.4,5.65,4.0,18.75,0.0,-0.35,-1.1
2019,10,2019-10,5.15,5.4,4.0,18.5,-0.25,-0.6,-1.35
2019,11,2019-11,5.15,5.4,4.0,18.5,0.0,-0.25,-1.35
2019,12,2019-12,5.15,5.4,4.0,18.5,0.0,-0.25,-1.35
2020,1,2020-01,5.15,5.4,4.0,18.25,0.0,0.0,-1.35
2020,2,2020-02,5.15,5.4,4.0,18.25,0.0,0.0,-1.1
2020,3,2020-03,4.4,4.65,3.0,18.25,-0.75,-0.75,-1.85
2020,4,2020-04,4.4,4.65,3.0,18.0,0.0,-0.75,-1.6
2020,5,2020-05,4.0,4.25,3.0,18.0,-0.4,-1.15,-2.0
2020,6,2020-06,4.0,4.25,3.0,18.0,0.0,-0.4,-1.75
2020,7,2020-07,4.0,4.25,3.0,18.0,0.0,-0.4,-1.75
2020,8,2020-08,4.0,4.25,3.0,18.0,0.0,0.0,-1.4
2020,9,2020-09,4.0,4.25,3.0,18.0,0.0,0.0,-1.4
2020,10,2020-10,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
2020,11,2020-11,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
2020,12,2020-12,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
2021,1,2021-01,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
2021,2,2021-02,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
2021,3,2021-03,4.0,4.25,3.5,18.0,0.0,0.0,-0.4
2021,4,2021-04,4.0,4.25,3.5,18.0,0.0,0.0,-0.4
2021,5,2021-05,4.0,4.25,4.0,18.0,0.0,0.0,0.0
2021,6,2021-06,4.0,4.25,4.0,18.0,0.0,0.0,0.0
2021,7,2021-07,4.0,4.25,4.0,18.0,0.0,0.0,0.0
2021,8,2021-08,4.0,4.25,4.0,18.0,0.0,0.0,0.0
2021,9,2021-09,4.0,4.25,4.0,18.0,0.0,0.0,0.0
2021,10,2021-10,4.0,4.25,4.0,18.0,0.0,0.0,0.0
2021,11,2021-11,4.0,4.25,4.0,18.0,0.0,0.0,0.0
2021,12,2021-12,4.0,4.25,4.0,18.0,0.0,0.0,0.0
2022,1,2022-01,4.0,4.25,4.0,18.0,0.0,0.0,0.0
2022,2,2022-02,4.0,4.25,4.0,18.0,0.0,0.0,0.0
2022,3,2022-03,4.0,4.25,4.0,18.0,0.0,0.0,0.0
2022,4,2022-04,4.0,4.25,4.0,18.0,0.0,0.0,0.0
2022,5,2022-05,4.4,4.65,4.5,18.0,0.4,0.4,0.4
2022,6,2022-06,4.9,5.15,4.5,18.0,0.5,0.9,0.9
2022,7,2022-07,4.9,5.15,4.5,18.0,0.0,0.9,0.9
2022,8,2022-08,5.4,5.65,4.5,18.0,0.5,1.0,1.4
2022,9,2022-09,5.9,6.15,4.5,18.0,0.5,1.0,1.9
2022,10,2022-10,5.9,6.15,4.5,18.0,0.0,1.0,1.9
2022,11,2022-11,5.9,6.15,4.5,18.0,0.0,0.5,1.9
2022,12,2022-12,6.25,6.5,4.5,18.0,0.35,0.35,2.25
2023,1,2023-01,6.25,6.5,4.5,18.0,0.0,0.35,2.25
2023,2,2023-02,6.5,6.75,4.5,18.0,0.25,0.6,2.5
2023,3,2023-03,6.5,6.75,4.5,18.0,0.0,0.25,2.5
2023,4,2023-04,6.5,6.75,4.5,18.0,0.0,0.25,2.5
2023,5,2023-05,6.5,6.75,4.5,18.0,0.0,0.0,2.1
2023,6,2023-06,6.5,6.75,4.5,18.0,0.0,0.0,1.6
2023,7,2023-07,6.5,6.75,4.5,18.0,0.0,0.0,1.6
2023,8,2023-08,6.5,6.75,4.5,18.0,0.0,0.0,1.1
2023,9,2023-09,6.5,6.75,4.5,18.0,0.0,0.0,0.6
2023,10,2023-10,6.5,6.75,4.5,18.0,0.0,0.0,0.6
2023,11,2023-11,6.5,6.75,4.5,18.0,0.0,0.0,0.6
2023,12,2023-12,6.5,6.75,4.5,18.0,0.0,0.0,0.25
2024,1,2024-01,6.5,6.75,4.5,18.0,0.0,0.0,0.25
2024,2,2024-02,6.5,6.75,4.5,18.0,0.0,0.0,0.0
2024,3,2024-03,6.5,6.75,4.5,18.0,0.0,0.0,0.0
2024,4,2024-04,6.5,6.75,4.5,18.0,0.0,0.0,0.0
2024,5,2024-05,6.5,6.75,4.5,18.0,0.0,0.0,0.0
2024,6,2024-06,6.5,6.75,4.5,18.0,0.0,0.0,0.0
2024,7,2024-07,6.5,6.75,4.5,18.0,0.0,0.0,0.0
2024,8,2024-08,6.5,6.75,4.5,18.0,0.0,0.0,0.0
2024,9,2024-09,6.5,6.75,4.5,18.0,0.0,0.0,0.0
2024,10,2024-10,6.5,6.75,4.5,18.0,0.0,0.0,0.0
2024,11,2024-11,6.5,6.75,4.5,18.0,0.0,0.0,0.0
2024,12,2024-12,6.5,6.75,4.5,18.0,0.0,0.0,0.0
2025,1,2025-01,6.5,6.75,4.5,18.0,0.0,0.0,0.0
2025,2,2025-02,6.5,6.75,4.5,18.0,0.0,0.0,0.0
2025,3,2025-03,6.5,6.75,4.5,18.0,0.0,0.0,0.0
2025,4,2025-04,6.5,6.75,4.5,18.0,0.0,0.0,0.0
2025,5,2025-05,6.5,6.75,4.5,18.0,0.0,0.0,0.0
2025,6,2025-06,6.5,6.75,4.5,18.0,0.0,0.0,0.0
2025,7,2025-07,6.5,6.75,4.5,18.0,0.0,0.0,0.0
2025,8,2025-08,6.5,6.75,4.5,18.0,0.0,0.0,0.0
2025,9,2025-09,6.5,6.75,4.5,18.0,0.0,0.0,0.0
2025,10,2025-10,6.5,6.75,4.5,18.0,0.0,0.0,0.0
2025,11,2025-11,6.5,6.75,4.5,18.0,0.0,0.0,0.0
2025,12,2025-12,6.5,6.75,4.5,18.0,0.0,0.0,0.0
2026,1,2026-01,6.5,6.75,4.5,18.0,0.0,0.0,0.0
2026,2,2026-02,6.5,6.75,4.5,18.0,0.0,0.0,0.0
2026,3,2026-03,6.5,6.75,4.5,18.0,0.0,0.0,0.0
2026,4,2026-04,6.5,6.75,4.5,18.0,0.0,0.0,0.0
