rera_id,developer,project_name,city,locality,project_status,project_start_date,project_completion_date,total_units,sold_units,unsold_units
RERA-TNR-11062267,Casagrand,ECR 14,Chennai,Kanathur Reddikuppam,Completed,2020-02-15,2022-08-15,413,177,236
RERA-TNR-54283488,DAC,Prapthi,Chennai,West Tambaram,Completed,2019-08-15,2022-02-15,74,47,27
RERA-TNR-47105449,VGN,Spring Field Phase 1,Chennai,Avadi,Completed,2017-07-15,2021-09-15,179,73,106
RERA-TNR-84636067,KG,Earth Homes,Chennai,Siruseri,Completed,2019-02-15,2023-10-15,480,192,288
RERA-TNR-60277224,TK,Jasmine Grove,Chennai,Mahindra World City,Completed,2017-02-15,2021-07-15,79,67,12
RERA-TNR-59894421,Guru,Kothai Aparts,Chennai,Chromepet,Completed,2021-02-15,2024-01-15,278,136,142
RERA-TNR-15300287,Mahindra Lifespaces,Aqualilly Flexi Homes,Chennai,Mahindra World City,Completed,2019-06-15,2023-01-15,333,289,44
RERA-TNR-01896562,DRA,90 Degrees,Chennai,Pallikaranai,Completed,2017-02-15,2020-11-15,283,206,77
RERA-TNR-67324170,SSM,Nagar,Chennai,Perungalathur,Completed,2019-03-15,2021-10-15,225,101,124
RERA-TNR-48964070,Ramcons,Dominion,Chennai,Nungambakkam,Ongoing,2021-05-15,2025-08-15,496,421,75
RERA-TNR-06675421,VGN,Coasta,Chennai,Muttukadu,Completed,2017-03-15,2020-07-15,365,317,48
RERA-TNR-92113145,Casagrand,Vistaaz,Chennai,Kolapakkam - Vandalur,Completed,2018-02-15,2020-08-15,340,166,174
RERA-TNR-73650272,VGN,Platina,Chennai,Ayappakkam,Completed,2015-09-15,2018-04-15,454,340,114
RERA-TNR-87158354,Shakthi,Mangalambikai Apartments,Chennai,Perungudi,Completed,2020-06-15,2023-08-15,279,125,154
RERA-TNR-01794133,Akshaya,January,Chennai,Senganmal,Completed,2015-12-15,2020-05-15,111,99,12
RERA-TNR-47520573,Sumeru,Puthur City,Chennai,Selaiyur,Completed,2017-05-15,2021-10-15,294,241,53
RERA-TNR-56417847,Redmond,Square,Chennai,Sholinganallur,Completed,2015-12-15,2018-10-15,467,350,117
RERA-TNR-67620251,Ambrosia,Apartments,Chennai,Semmancheri,Completed,2017-08-15,2021-11-15,269,228,41
RERA-TNR-72214979,Jones,Dawn Villas by Jones Foundations,Chennai,Ponmar,Ongoing,2021-02-15,2025-12-15,192,145,47
RERA-TNR-16654839,Khurinji,Zinnia,Chennai,West Tambaram,Completed,2021-04-15,2024-03-15,107,75,32
RERA-TNR-43649557,VGN,Imperia Phase 3,Chennai,Thiruverkkadu,Completed,2018-01-15,2020-06-15,158,97,61
RERA-TNR-57075515,Alliance,Galleria Residences,Chennai,Old Pallavaram,Completed,2017-04-15,2022-03-15,405,166,239
RERA-TNR-20715085,Krishna,Apartment,Chennai,Madambakkam,Completed,2019-09-15,2023-06-15,149,67,82
RERA-TNR-48831346,Raghavendra,Aishwaryam Flats,Chennai,Urapakkam,Completed,2018-11-15,2022-07-15,410,164,246
RERA-TNR-34149088,Indra,Enclave,Chennai,Medavakkam,Completed,2018-05-15,2022-04-15,474,346,128
RERA-TNR-01994971,Jayam,Villa,Chennai,Raja Annamalai Puram,Completed,2016-10-15,2021-07-15,183,129,54
RERA-TNR-96590870,Ben,Le Orchard Apartments,Chennai,Anna Nagar West,Completed,2018-03-15,2021-05-15,286,188,98
RERA-TNR-66700054,Techcons,Blue Alpha,Chennai,Mudichur,Completed,2019-06-15,2023-03-15,444,253,191
RERA-TNR-75317459,BSCPL,Bollineni Iris,Chennai,Perumbakkam,Completed,2018-01-15,2023-01-15,198,122,76
RERA-TNR-05055958,Amaar,Ultra Amaar Avenue Phase 2,Chennai,Choolaimedu,Completed,2016-03-15,2020-08-15,366,164,202
RERA-TNR-48605930,TVH,Svaya,Chennai,Pennalur,Completed,2017-07-15,2020-11-15,282,174,108
RERA-TNR-32282619,Hiranandani,Parks Apartment,Chennai,Oragadam Sriperambattur,Completed,2019-05-15,2023-08-15,457,374,83
RERA-TNR-77948920,Alliance,Jasmine Springs,Chennai,Kelambakkam,Completed,2019-03-15,2023-12-15,251,188,63
RERA-TNR-06369403,Plaza,Pristine Acres,Chennai,Perumbakkam,Completed,2019-02-15,2023-09-15,393,275,118
RERA-TNR-82614474,Swathy,Ayyappa Flats,Chennai,Kilpauk,Completed,2019-02-15,2021-06-15,53,25,28
RERA-TNR-90624411,Narayanan,Nagar,Chennai,Ambattur,Completed,2016-11-15,2021-01-15,252,123,129
RERA-TNR-40847400,Amarprakash,Temple Waves,Chennai,Thandalam,Completed,2016-06-15,2018-08-15,351,273,78
RERA-TNR-24210278,Golden,Jubilee Flats,Chennai,Anna Nagar West,Completed,2018-04-15,2022-08-15,259,106,153
RERA-TNR-61092387,Prestige,Bella Vista,Chennai,Iyyappanthangal,Completed,2016-06-15,2020-12-15,470,225,245
RERA-TNR-73103982,Arun Excello,Excello Town House,Chennai,Oragadam Sriperambattur,Completed,2020-11-15,2022-12-15,467,270,197
RERA-TNR-18761240,Rajparis,Harmony,Chennai,Medavakkam,Completed,2019-05-15,2021-07-15,355,205,150
RERA-TNR-74105017,Ozone,Metrozone,Chennai,Anna Nagar West,Completed,2019-05-15,2024-02-15,119,83,36
RERA-TNR-25526543,TNHB,LIG Block,Chennai,Ayappakkam,Ongoing,2020-07-15,2025-04-15,148,96,52
RERA-TNR-99504191,Balambal,Apartments,Chennai,Virugambakkam,Completed,2017-02-15,2019-12-15,108,95,13
RERA-TNR-70220842,Hansa,Abhinav,Chennai,Tiruvottiyur,Completed,2020-08-15,2024-10-15,406,332,74
RERA-TNR-95788935,Gothi,Flats,Chennai,West Mambalam,Ongoing,2021-04-15,2025-03-15,96,56,40
RERA-TNR-48337709,GR,Natarajan Sundaravedam,Chennai,T Nagar,Completed,2021-04-15,2024-08-15,164,67,97
RERA-TNR-21355340,Alacrity,Sangath,Chennai,Velachery,Completed,2017-11-15,2022-08-15,362,253,109
RERA-TNR-23257397,BSR,Nerkundram,Chennai,Koyambedu,Completed,2017-11-15,2020-09-15,469,314,155
RERA-TNR-23084444,Mahindra,Happinest,Chennai,Avadi,Completed,2018-05-15,2022-10-15,100,49,51
RERA-TNR-92608062,Sravan,Zebulon,Chennai,Madipakkam,Completed,2021-02-15,2024-08-15,462,198,264
RERA-TNR-92748073,My,Homes Nakshatra,Chennai,Perumbakkam,Completed,2017-03-15,2021-02-15,77,34,43
RERA-TNR-63575806,Jubliee,Residences,Chennai,Moolakazhani,Completed,2016-09-15,2020-10-15,374,302,72
RERA-TNR-22809029,Ashwanth,Vedas,Chennai,Kolathur,Completed,2016-08-15,2021-01-15,487,326,161
RERA-TNR-05779198,Lake,View Apartment,Chennai,Mathur,Completed,2018-07-15,2022-09-15,299,248,51
RERA-TNR-64880445,Adityaram,Nagar Phase 5,Chennai,Panaiyur,Completed,2018-05-15,2022-11-15,337,235,102
RERA-TNR-58247490,Casagrand,Monte Carlo,Chennai,Saidapet,Completed,2018-11-15,2020-11-15,351,245,106
RERA-TNR-33885842,Pacifica,Happiness Towers,Chennai,Padur,Completed,2018-02-15,2021-11-15,175,85,90
RERA-TNR-29473366,Pacifica,Aurum Villas,Chennai,Padur,Ongoing,2022-03-15,2025-04-15,433,233,200
RERA-TNR-94714042,Godrej,Palm Grove,Chennai,Chembarambakkam,Completed,2016-11-15,2019-07-15,273,117,156
RERA-TNR-17458889,Jain,Inseli Park,Chennai,Padur,Completed,2019-02-15,2021-03-15,64,40,24
RERA-TNR-49988432,Pacifica,Pride Towers,Chennai,Padur,Completed,2015-06-15,2020-05-15,78,56,22
RERA-TNR-43913777,TVS,Flourish,Chennai,Padappai,Completed,2016-02-15,2021-02-15,272,190,82
RERA-TNR-42778189,Purva,Windermere,Chennai,Pallikaranai,Completed,2017-04-15,2021-09-15,163,96,67
RERA-TNR-07795089,Golden,Opulence by Golden Homes,Chennai,Poonamallee,Completed,2015-12-15,2019-03-15,419,289,130
RERA-TNR-60053431,TVS,Green Acres,Chennai,Kolapakkam - Vandalur,Completed,2018-08-15,2023-03-15,363,188,175
RERA-TNR-21772466,Casagrand,Cherry Pick,Chennai,Perumbakkam,Completed,2016-01-15,2020-11-15,162,134,28
RERA-TNR-85316882,MP,Montana,Chennai,Thiruneermalai,Completed,2017-08-15,2020-01-15,72,52,20
RERA-TNR-81630477,Golden,Luxury Villas by Golden Homes,Chennai,Ekkatuthangal,Ongoing,2022-01-15,2026-09-15,93,66,27
RERA-TNR-52725408,Aurum,Villas,Chennai,Padur,Completed,2018-10-15,2021-06-15,142,96,46
RERA-TNR-55699219,Mahindra,Nova,Chennai,Chettipunyam,Completed,2015-07-15,2019-12-15,373,276,97
RERA-TNR-28239342,Kochar,Neetu Arjun Garden,Chennai,Gerugambakkam,Completed,2016-10-15,2020-12-15,400,272,128
RERA-TNR-41833522,Casagrand,Primera,Chennai,Manapakkam,Completed,2017-11-15,2020-08-15,364,167,197
RERA-TNR-60096569,MP,Silver Bells,Chennai,Kundrathur,Completed,2019-08-15,2022-11-15,256,202,54
RERA-TNR-02533471,Casagrand,Arena,Chennai,Oragadam Ambattur,Completed,2015-07-15,2017-07-15,110,45,65
RERA-TNR-89089162,Silversky,Lakeside3,Chennai,Puzhal,Completed,2018-08-15,2023-06-15,439,346,93
RERA-TNR-23041627,Sai,Navarathinam,Chennai,Korattur,Completed,2019-04-15,2021-10-15,117,47,70
RERA-TNR-22978651,Casagrand,Savoye,Chennai,Karapakkam,Completed,2015-10-15,2017-10-15,256,227,29
RERA-TNR-96261529,Pacifica,Aurum Villas by Pacifica Companies,Chennai,Padur,Completed,2019-06-15,2022-04-15,498,253,245
RERA-TNR-26837608,Karuppaswamy,Tulsi Apartment,Chennai,Porur,Completed,2020-01-15,2022-12-15,423,363,60
RERA-TNR-77250873,Altis,Ashraya,Chennai,Mangadu,Completed,2017-01-15,2020-11-15,291,206,85
RERA-TNR-65834738,KG,Signature City,Chennai,Mogappair,Completed,2018-03-15,2021-06-15,173,108,65
RERA-TNR-31513972,MP,Urban,Chennai,Anakaputhur,Completed,2017-12-15,2021-07-15,108,45,63
RERA-TNR-02533471,Casagrand,Arena,Chennai,Oragadam Sriperambattur,Completed,2016-07-15,2018-07-15,110,45,65
RERA-TNR-94724405,Akshaya,Today,Chennai,Senganmal,Completed,2016-06-15,2019-11-15,262,188,74
RERA-TNR-05530725,REVOLUTION,ONE by Urbanrise,Chennai,Padur,Completed,2016-09-15,2020-01-15,129,61,68
RERA-TNR-04902062,Twin,Courtz,Chennai,Perungudi,Completed,2017-01-15,2020-10-15,158,93,65
RERA-TNR-77532733,Coral,Enclave,Chennai,Chromepet,Completed,2019-07-15,2021-07-15,356,188,168
RERA-TNR-53876448,Casagrand,The Address,Chennai,Karapakkam,Completed,2019-08-15,2022-01-15,380,311,69
RERA-TNR-53274323,VGN,Varna Bhoomi,Chennai,Pudupakkam,Completed,2020-11-15,2023-07-15,238,209,29
RERA-TNR-16455060,Happy,Homes Apartment,Chennai,Ambattur,Completed,2017-09-15,2022-02-15,433,376,57
RERA-TNR-35579935,Avighna,Abode,Chennai,Madipakkam,Ongoing,2021-07-15,2025-01-15,468,262,206
RERA-TNR-03275759,SSPDL,Crecent,Chennai,Kelambakkam,Completed,2015-12-15,2020-01-15,113,47,66
RERA-TNR-04614226,Isha,Code Field Phase II,Chennai,Pudupakkam,Completed,2017-08-15,2019-08-15,125,87,38
RERA-TNR-07816173,Anugraha,Apartments,Chennai,Iyyappanthangal,Completed,2018-02-15,2021-11-15,440,334,106
RERA-TNR-87207091,Chandran,Casita,Chennai,Perumbakkam,Ongoing,2021-07-15,2026-04-15,405,190,215
RERA-TNR-46252788,ProvidentCosmo,City,Chennai,Pudupakkam,Completed,2017-11-15,2021-09-15,325,256,69
RERA-TNR-06976604,VGN,Royale,Chennai,Avadi,Ongoing,2020-07-15,2025-06-15,201,178,23
RERA-TNR-05779198,Lake,View Apartment,Chennai,Ayappakkam,Completed,2015-07-15,2019-09-15,299,248,51
RERA-TNR-66512934,Navins,Kaushik,Chennai,West Mambalam,Ongoing,2020-08-15,2025-05-15,154,117,37
