property_master_id,aqi,pm25,pm10,aqi_30d_avg,aqi_90d_avg,matched_station_name,matched_station_distance_km
PROP-A67AF6F45D75,73,39,64,73,44.3,CPCB_MAA_Alandur,13.95
PROP-0CEEF405400A,81,46,75,81,83.7,CPCB_MAA_Manali,24.948
PROP-4B8E10586D59,102,53,88,102,102.3,CPCB_MAA_Alandur,5.238
PROP-86A88A187027,72,38,62,72,74.7,CPCB_MAA_Manali,8.304
PROP-A18A49EE0073,94,50,82,94,99.0,CPCB_MAA_Alandur,19.478
PROP-FC082F802744,97,51,84,97,94.7,CPCB_MAA_Alandur,18.19
PROP-F9C90503CA0E,56,29,47,56,59.3,CPCB_MAA_Alandur,23.68
PROP-8030B24C5122,37,21,34,37,64.7,CPCB_MAA_Manali,13.643
PROP-740BEA1D26C7,71,39,64,71,43.0,CPCB_MAA_Alandur,5.238
PROP-57D7E7126783,81,44,72,81,84.7,CPCB_MAA_Manali,10.622
PROP-F4ACF6362C46,109,59,98,109,113.0,CPCB_MAA_Manali,13.643
PROP-A7B4990CB17F,90,49,80,90,96.7,CPCB_MAA_Alandur,8.024
PROP-6A8F2CA5D4A7,37,21,34,37,64.7,CPCB_MAA_Manali,12.147
PROP-3EF538C2BB00,35,19,31,35,62.3,CPCB_MAA_Manali,24.365
PROP-106DAED671B6,90,49,80,90,96.7,CPCB_MAA_Alandur,15.713
PROP-D5F1834163A7,69,39,63,69,43.0,CPCB_MAA_Alandur,13.536
PROP-FDCB07611F18,117,64,106,117,118.3,CPCB_MAA_Manali,7.859
PROP-A74166BFD422,81,44,72,81,84.7,CPCB_MAA_Manali,9.847
PROP-48E47A79C626,94,50,82,94,99.0,CPCB_MAA_Alandur,19.941
PROP-EEA71AC853AB,95,53,87,95,58.0,CPCB_MAA_Manali,24.948
PROP-51F742AC064B,61,33,54,61,65.0,CPCB_MAA_Alandur,20.059
PROP-C1CA5D2867CF,122,63,104,122,119.0,CPCB_MAA_Manali,32.541
PROP-B129E7EC2D5F,41,23,38,41,62.0,CPCB_MAA_Manali,29.639
PROP-B10588A6BCFE,29,15,25,29,51.7,CPCB_MAA_Alandur,7.079
PROP-562DA83E6F5E,29,15,25,29,52.0,CPCB_MAA_Alandur,16.154
PROP-C8ABEEADCA06,102,53,88,102,102.3,CPCB_MAA_Alandur,17.206
PROP-7AFEE3A48B25,81,45,74,81,50.3,CPCB_MAA_Manali,31.146
PROP-163A7FCBF545,81,45,74,81,50.3,CPCB_MAA_Manali,19.98
PROP-744E45540410,61,33,54,61,65.0,CPCB_MAA_Alandur,5.773
PROP-43FF1FEED483,32,17,28,32,52.7,CPCB_MAA_Alandur,9.248
PROP-61A1E2DA5AD5,56,30,49,56,62.3,CPCB_MAA_Alandur,7.557
PROP-5A879DF90FF0,57,31,50,57,59.7,CPCB_MAA_Alandur,4.834
PROP-20F9393C5B79,56,29,47,56,59.3,CPCB_MAA_Alandur,13.624
PROP-024DCA08FBB4,35,20,33,35,64.3,CPCB_MAA_Manali,19.98
PROP-C0706AAC1468,32,17,28,32,52.7,CPCB_MAA_Alandur,37.348
PROP-75E290D9B4B1,73,39,64,73,44.3,CPCB_MAA_Alandur,20.796
PROP-3282AA5F382C,69,39,63,69,43.0,CPCB_MAA_Alandur,4.751
PROP-4DF17EEDA0FB,69,39,63,69,43.0,CPCB_MAA_Alandur,8.815
PROP-141C4C451E0C,56,29,47,56,59.3,CPCB_MAA_Alandur,5.238
PROP-C1E8167421C6,73,39,64,73,44.3,CPCB_MAA_Alandur,14.877
PROP-008213E4D941,39,21,35,39,60.7,CPCB_MAA_Manali,32.541
PROP-07542049EDCD,90,51,85,90,54.3,CPCB_MAA_Manali,18.687
PROP-113E49F70FEC,90,49,80,90,96.7,CPCB_MAA_Alandur,23.68
PROP-AD5970B8725C,41,23,38,41,62.0,CPCB_MAA_Manali,23.493
PROP-20C1C3775C99,29,15,25,29,51.7,CPCB_MAA_Alandur,17.801
PROP-B27550B59EF2,78,42,70,78,81.0,CPCB_MAA_Manali,18.671
PROP-A9AD15AE4F4B,90,51,85,90,54.3,CPCB_MAA_Manali,19.048
PROP-968DCB86BB82,81,46,75,81,83.7,CPCB_MAA_Manali,24.723
PROP-7E5D68FEA71F,27,14,23,27,48.3,CPCB_MAA_Alandur,15.713
PROP-44ED17888D48,95,53,87,95,58.0,CPCB_MAA_Manali,8.973
PROP-81E153A834E7,97,51,84,97,94.7,CPCB_MAA_Alandur,15.713
PROP-A88B26A7F5A1,29,15,25,29,51.7,CPCB_MAA_Alandur,5.238
PROP-EE3AB12955E8,29,15,25,29,51.7,CPCB_MAA_Alandur,8.455
PROP-67EBEA3AE062,29,15,25,29,51.7,CPCB_MAA_Alandur,23.68
PROP-BE92DFBC3E9C,81,45,74,81,50.3,CPCB_MAA_Manali,5.785
PROP-E8F817173608,94,50,82,94,99.0,CPCB_MAA_Alandur,5.06
PROP-6B4235B84BF7,29,15,25,29,52.0,CPCB_MAA_Alandur,17.661
PROP-A435F5194B94,81,45,74,81,50.3,CPCB_MAA_Manali,30.908
PROP-3FBB548884A3,73,39,64,73,44.3,CPCB_MAA_Alandur,7.211
PROP-74E8BBDB1869,72,38,62,72,74.7,CPCB_MAA_Manali,8.973
PROP-A28E9A937C8E,90,48,79,90,55.7,CPCB_MAA_Manali,12.591
PROP-7745510EA9DC,122,63,104,122,119.0,CPCB_MAA_Manali,7.518
PROP-8F4F97BE042E,90,49,80,90,96.7,CPCB_MAA_Alandur,8.455
PROP-BF8C21590A2E,95,53,87,95,58.0,CPCB_MAA_Manali,30.908
PROP-A21E0E395182,41,23,38,41,62.0,CPCB_MAA_Manali,12.066
PROP-D623A5BD3259,39,21,35,39,60.7,CPCB_MAA_Manali,20.034
PROP-BF8A99D156F1,69,39,63,69,43.0,CPCB_MAA_Alandur,10.781
PROP-3D8AAD5E73B5,90,49,80,90,96.7,CPCB_MAA_Alandur,17.206
PROP-0C0BFF42A42C,109,59,98,109,119.7,CPCB_MAA_Manali,24.18
PROP-FF9962D2025D,72,39,65,72,43.0,CPCB_MAA_Alandur,20.245
PROP-74543CBC599C,109,59,98,109,113.0,CPCB_MAA_Manali,11.431
PROP-4BF83DB33530,102,53,88,102,102.3,CPCB_MAA_Alandur,7.557
PROP-523A9B07D2A1,122,63,104,122,119.0,CPCB_MAA_Manali,23.814
PROP-39540AD67FD6,94,50,82,94,99.0,CPCB_MAA_Alandur,11.308
PROP-42C7D4D34A9C,72,39,65,72,43.0,CPCB_MAA_Alandur,7.079
PROP-275C30FED99F,66,36,59,66,41.3,CPCB_MAA_Alandur,23.68
PROP-43929E420C2D,109,59,98,109,119.7,CPCB_MAA_Manali,8.304
PROP-478099107B8F,41,23,38,41,62.0,CPCB_MAA_Manali,14.065
PROP-5C52A446420D,90,49,80,90,96.7,CPCB_MAA_Alandur,34.795
PROP-01AA6022E0C7,97,51,84,97,94.7,CPCB_MAA_Alandur,8.087
PROP-D85BF3221525,61,33,54,61,65.0,CPCB_MAA_Alandur,10.27
