feature_name,feature_group,data_type,source,formula,missing_percentage,unique_count,leakage_risk,status
property_master_id,METADATA,string,PROP-SHA256,hash(Name+Loc+City),0.0,14021,None,KEEP
price_inr,TARGET,numeric,primary_property.csv,Price in INR,0.0,882,Target column,KEEP
city,PROPERTY,categorical,property_master_v11.csv,Direct Mapping,0.0,7,None,KEEP
locality,PROPERTY,categorical,property_master_v11.csv,Direct Mapping,0.0,1790,None,KEEP
property_type,PROPERTY,categorical,property_master_v11.csv,Direct Mapping,0.0,3,None,KEEP
bhk,PROPERTY,numeric,property_master_v11.csv,Direct Mapping,0.0,10,None,KEEP
bathrooms,PROPERTY,numeric,property_master_v11.csv,Direct Mapping,0.0,6,None,KEEP
balconies,PROPERTY,numeric,property_master_v11.csv,Direct Mapping,0.0,2,None,KEEP
builtup_area_sqft,PROPERTY,numeric,property_master_v11.csv,Direct Mapping,0.0,1774,None,KEEP
floor_no,PROPERTY,numeric,property_master_v11.csv,Direct Mapping,35.98,38,None,KEEP
total_floors,PROPERTY,numeric,property_master_v11.csv,Direct Mapping,49.19,50,None,KEEP
parking,PROPERTY,numeric,property_master_v11.csv,Direct Mapping,97.62,6,None,KEEP
furnishing,PROPERTY,categorical,property_master_v11.csv,Direct Mapping,98.91,3,None,KEEP
facing,PROPERTY,categorical,property_master_v11.csv,Direct Mapping,89.72,8,None,KEEP
latitude,SPATIAL,numeric,Phase 10 OSM integration,Direct Mapping,0.0,1799,None,KEEP
longitude,SPATIAL,numeric,Phase 10 OSM integration,Direct Mapping,0.0,1799,None,KEEP
schools_distance_km,SPATIAL,numeric,Phase 10 OSM integration,Direct Mapping,0.0,1643,None,KEEP
hospitals_distance_km,SPATIAL,numeric,Phase 10 OSM integration,Direct Mapping,0.0,1635,None,KEEP
metro_stations_distance_km,SPATIAL,numeric,Phase 10 OSM integration,Direct Mapping,0.0,1668,None,KEEP
railway_stations_distance_km,SPATIAL,numeric,Phase 10 OSM integration,Direct Mapping,0.0,1731,None,KEEP
malls_distance_km,SPATIAL,numeric,Phase 10 OSM integration,Direct Mapping,0.0,1694,None,KEEP
parks_distance_km,SPATIAL,numeric,Phase 10 OSM integration,Direct Mapping,0.0,1659,None,KEEP
transit_stations_distance_km,SPATIAL,numeric,Phase 10 OSM integration,Direct Mapping,0.0,1626,None,KEEP
accessibility_score,SPATIAL,numeric,Phase 10 OSM integration,Direct Mapping,0.0,528,None,KEEP
avg_monthly_rent,RENTAL,numeric,Phase 5 MagicBricks Rental,Direct Mapping,24.5,389,None,KEEP
median_monthly_rent,RENTAL,numeric,Phase 5 MagicBricks Rental,Direct Mapping,24.5,175,None,KEEP
median_rent_per_sqft,RENTAL,numeric,Phase 5 MagicBricks Rental,Direct Mapping,24.5,429,None,KEEP
rental_yield_pct,RENTAL,numeric,Phase 5 MagicBricks Rental,Direct Mapping,24.5,3394,"Low (aggregate rents, not specific property target)",KEEP
rental_listing_count,RENTAL,numeric,Phase 5 MagicBricks Rental,Direct Mapping,24.5,50,None,KEEP
hist_hpi_market,MARKET,numeric,Phase 6 NHB RESIDEX,Direct Mapping,0.0,131,None,KEEP
hist_qoq_growth,MARKET,numeric,Phase 6 NHB RESIDEX,Direct Mapping,0.0,103,None,KEEP
hist_yoy_growth,MARKET,numeric,Phase 6 NHB RESIDEX,Direct Mapping,0.0,100,None,KEEP
