city,quarter,historical_quarter,hist_hpi_assessment,hist_hpi_market,hist_carpet_area_rate,hist_qoq_growth,hist_yoy_growth,hist_market_regime
Bengaluru,2018-Q2,2018-Q1,102.5,101.8,5200.0,0.0,0.0,Declining
Bengaluru,2018-Q3,2018-Q2,104.51,103.56,5296.71,1.96,0.0,Declining
Bengaluru,2018-Q4,2018-Q3,105.6,104.96,5349.2,1.04,0.0,Declining
Bengaluru,2019-Q1,2018-Q4,107.53,106.95,5442.07,1.83,0.0,Declining
Bengaluru,2019-Q2,2019-Q1,109.97,109.42,5559.52,2.27,7.29,Growth
Bengaluru,2019-Q3,2019-Q2,113.04,112.5,5706.87,2.79,8.16,Growth
Bengaluru,2019-Q4,2019-Q3,114.44,113.91,5774.36,1.24,8.37,Growth
Bengaluru,2020-Q1,2019-Q4,116.76,115.99,5885.49,2.03,8.58,Growth
Bengaluru,2020-Q2,2020-Q1,118.51,117.94,5969.01,1.5,7.77,Growth
Bengaluru,2020-Q3,2020-Q2,118.06,117.59,5947.57,-0.38,4.44,Stable
Bengaluru,2020-Q4,2020-Q3,117.18,116.53,5905.42,-0.75,2.39,Stable
Bengaluru,2021-Q1,2020-Q4,119.07,118.5,5996.14,1.61,1.98,Stable
Bengaluru,2021-Q2,2021-Q1,120.85,120.03,6081.07,1.49,1.97,Stable
Bengaluru,2021-Q3,2021-Q2,123.06,122.51,6186.69,1.83,4.24,Stable
Bengaluru,2021-Q4,2021-Q3,127.07,126.45,6378.29,3.26,8.44,Growth
Bengaluru,2022-Q1,2021-Q4,129.53,128.96,6495.49,1.94,8.78,Growth
Bengaluru,2022-Q2,2022-Q1,133.52,133.22,6685.56,3.08,10.48,Growth
Bengaluru,2022-Q3,2022-Q2,137.24,136.83,6862.78,2.79,11.52,Growth
Bengaluru,2022-Q4,2022-Q3,140.01,139.38,6994.17,2.02,10.18,Growth
Bengaluru,2023-Q1,2022-Q4,144.47,144.16,7205.91,3.19,11.53,Growth
Bengaluru,2023-Q2,2023-Q1,146.1,145.69,7283.27,1.13,9.42,Growth
Bengaluru,2023-Q3,2023-Q2,148.62,148.11,7402.41,1.72,8.29,Growth
Bengaluru,2023-Q4,2023-Q3,152.19,151.47,7571.53,2.4,8.7,Growth
Bengaluru,2024-Q1,2023-Q4,154.46,153.44,7678.59,1.49,6.91,Growth
Bengaluru,2024-Q2,2024-Q1,158.51,157.87,7869.9,2.62,8.49,Growth
Bengaluru,2024-Q3,2024-Q2,160.7,159.71,7973.35,1.38,8.13,Growth
Bengaluru,2024-Q4,2024-Q3,162.74,161.63,8069.59,1.27,6.93,Growth
Bengaluru,2025-Q1,2024-Q4,166.64,165.95,8253.17,2.4,7.89,Growth
Bengaluru,2025-Q2,2025-Q1,168.11,167.61,8322.31,0.88,6.06,Growth
Bengaluru,2025-Q3,2025-Q2,171.59,171.08,8485.72,2.07,6.78,Growth
Bengaluru,2025-Q4,2025-Q3,174.74,174.97,8633.88,1.84,7.37,Growth
Bengaluru,2026-Q1,2025-Q4,176.17,176.46,8701.07,0.82,5.72,Growth
Chennai,2018-Q2,2018-Q1,101.8,101.1,5600.0,0.0,0.0,Declining
Chennai,2018-Q3,2018-Q2,103.68,103.24,5698.06,1.85,0.0,Declining
Chennai,2018-Q4,2018-Q3,105.25,104.99,5780.0,1.51,0.0,Declining
Chennai,2019-Q1,2018-Q4,106.68,106.45,5854.74,1.36,0.0,Declining
Chennai,2019-Q2,2019-Q1,108.73,108.72,5961.77,1.92,6.81,Growth
Chennai,2019-Q3,2019-Q2,110.71,110.43,6065.08,1.82,6.78,Growth
Chennai,2019-Q4,2019-Q3,112.57,112.48,6161.44,1.68,6.95,Growth
Chennai,2020-Q1,2019-Q4,114.83,114.54,6279.19,2.01,7.64,Growth
Chennai,2020-Q2,2020-Q1,116.25,116.11,6352.82,1.24,6.92,Growth
Chennai,2020-Q3,2020-Q2,115.37,114.85,6307.03,-0.76,4.21,Stable
Chennai,2020-Q4,2020-Q3,114.56,113.99,6265.4,-0.7,1.77,Stable
Chennai,2021-Q1,2020-Q4,116.61,116.05,6371.42,1.79,1.55,Stable
Chennai,2021-Q2,2021-Q1,118.88,118.41,6489.29,1.95,2.26,Stable
Chennai,2021-Q3,2021-Q2,121.75,121.15,6638.22,2.41,5.53,Growth
Chennai,2021-Q4,2021-Q3,125.47,125.14,6830.81,3.06,9.52,Growth
Chennai,2022-Q1,2021-Q4,129.41,129.27,7034.58,3.14,10.98,Growth
Chennai,2022-Q2,2022-Q1,133.89,133.84,7266.36,3.46,12.63,Growth
Chennai,2022-Q3,2022-Q2,137.24,137.05,7438.8,2.5,12.72,Growth
Chennai,2022-Q4,2022-Q3,142.17,142.46,7692.92,3.59,13.31,Growth
Chennai,2023-Q1,2022-Q4,146.01,146.49,7890.36,2.7,12.83,Growth
Chennai,2023-Q2,2023-Q1,149.13,149.55,8050.15,2.14,11.38,Growth
Chennai,2023-Q3,2023-Q2,151.59,152.55,8176.44,1.65,10.46,Growth
Chennai,2023-Q4,2023-Q3,154.51,155.99,8325.94,1.93,8.68,Growth
Chennai,2024-Q1,2023-Q4,158.21,159.84,8515.37,2.39,8.36,Growth
Chennai,2024-Q2,2024-Q1,160.06,161.57,8610.35,1.17,7.33,Growth
Chennai,2024-Q3,2024-Q2,162.71,163.46,8745.75,1.66,7.34,Growth
Chennai,2024-Q4,2024-Q3,166.06,166.78,8916.54,2.06,7.48,Growth
Chennai,2025-Q1,2024-Q4,168.11,169.35,9021.32,1.23,6.26,Growth
Chennai,2025-Q2,2025-Q1,171.56,173.32,9196.81,2.05,7.18,Growth
Chennai,2025-Q3,2025-Q2,173.79,175.92,9310.43,1.3,6.81,Growth
Chennai,2025-Q4,2025-Q3,177.24,179.28,9486.17,1.99,6.73,Growth
Chennai,2026-Q1,2025-Q4,181.81,184.34,9718.31,2.58,8.15,Growth
Delhi,2018-Q2,2018-Q1,100.5,100.2,8500.0,0.0,0.0,Declining
Delhi,2018-Q3,2018-Q2,102.57,102.25,8666.08,2.06,0.0,Declining
Delhi,2018-Q4,2018-Q3,104.78,104.79,8844.02,2.15,0.0,Declining
Delhi,2019-Q1,2018-Q4,106.64,106.63,8992.47,1.78,0.0,Declining
Delhi,2019-Q2,2019-Q1,108.35,108.21,9130.14,1.6,7.81,Growth
Delhi,2019-Q3,2019-Q2,111.17,110.65,9355.73,2.6,8.38,Growth
Delhi,2019-Q4,2019-Q3,113.33,112.76,9528.26,1.94,8.16,Growth
Delhi,2020-Q1,2019-Q4,115.46,115.27,9698.5,1.88,8.27,Growth
Delhi,2020-Q2,2020-Q1,117.74,117.92,9880.19,1.97,8.67,Growth
Delhi,2020-Q3,2020-Q2,117.31,117.53,9845.74,-0.37,5.52,Growth
