property_master_id,repo_rate,bank_rate,CRR,SLR,repo_rate_change,repo_rate_3m_change,repo_rate_12m_change
PROP-A67AF6F45D75,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-0CEEF405400A,6.0,6.25,4.0,19.5,0.0,0.0,-0.25
PROP-4B8E10586D59,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-86A88A187027,4.4,4.65,3.0,18.0,0.0,-0.75,-1.6
PROP-A18A49EE0073,5.15,5.4,4.0,18.25,0.0,0.0,-1.35
PROP-FC082F802744,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-F9C90503CA0E,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-8030B24C5122,6.25,6.5,4.0,19.5,0.0,0.25,0.0
PROP-740BEA1D26C7,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-57D7E7126783,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-F4ACF6362C46,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-A7B4990CB17F,6.5,6.75,4.0,19.25,0.0,0.0,0.5
PROP-6A8F2CA5D4A7,6.25,6.5,4.0,19.5,0.0,0.25,0.0
PROP-3EF538C2BB00,4.9,5.15,4.5,18.0,0.0,0.9,0.9
PROP-106DAED671B6,6.5,6.75,4.0,19.25,0.0,0.0,0.5
PROP-D5F1834163A7,5.15,5.4,4.0,18.5,-0.25,-0.6,-1.35
PROP-FDCB07611F18,5.15,5.4,4.0,18.25,0.0,0.0,-1.35
PROP-A74166BFD422,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-48E47A79C626,5.15,5.4,4.0,18.25,0.0,0.0,-1.35
PROP-EEA71AC853AB,5.15,5.4,4.0,18.5,-0.25,-0.6,-1.35
PROP-51F742AC064B,4.0,4.25,3.5,18.0,0.0,0.0,-0.4
PROP-C1CA5D2867CF,6.5,6.75,4.0,19.25,0.0,0.0,0.5
PROP-B129E7EC2D5F,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-B10588A6BCFE,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-562DA83E6F5E,4.9,5.15,4.5,18.0,0.0,0.9,0.9
PROP-C8ABEEADCA06,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-7AFEE3A48B25,6.5,6.75,4.0,19.5,0.0,0.25,0.5
PROP-163A7FCBF545,6.5,6.75,4.0,19.5,0.0,0.25,0.5
PROP-744E45540410,4.0,4.25,3.5,18.0,0.0,0.0,-0.4
PROP-43FF1FEED483,5.75,6.0,4.0,19.0,0.0,-0.25,-0.5
PROP-61A1E2DA5AD5,6.0,6.25,4.0,19.5,0.0,0.0,-0.25
PROP-5A879DF90FF0,6.0,6.25,4.0,19.25,-0.25,-0.5,0.0
PROP-20F9393C5B79,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-024DCA08FBB4,4.0,4.25,3.0,18.0,0.0,-0.4,-1.75
PROP-C0706AAC1468,5.75,6.0,4.0,19.0,0.0,-0.25,-0.5
PROP-75E290D9B4B1,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-3282AA5F382C,5.15,5.4,4.0,18.5,-0.25,-0.6,-1.35
PROP-4DF17EEDA0FB,5.15,5.4,4.0,18.5,-0.25,-0.6,-1.35
PROP-141C4C451E0C,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-C1E8167421C6,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-008213E4D941,5.75,6.0,4.0,19.0,0.0,-0.25,-0.5
PROP-07542049EDCD,5.9,6.15,4.5,18.0,0.0,1.0,1.9
PROP-113E49F70FEC,6.5,6.75,4.0,19.25,0.0,0.0,0.5
PROP-AD5970B8725C,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-20C1C3775C99,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-B27550B59EF2,6.0,6.25,4.0,19.25,-0.25,-0.5,0.0
PROP-A9AD15AE4F4B,5.9,6.15,4.5,18.0,0.0,1.0,1.9
PROP-968DCB86BB82,6.0,6.25,4.0,19.5,0.0,0.0,-0.25
PROP-7E5D68FEA71F,4.0,4.25,3.0,18.0,0.0,-0.4,-1.75
PROP-44ED17888D48,5.15,5.4,4.0,18.5,-0.25,-0.6,-1.35
PROP-81E153A834E7,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-A88B26A7F5A1,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-EE3AB12955E8,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-67EBEA3AE062,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-BE92DFBC3E9C,6.5,6.75,4.0,19.5,0.0,0.25,0.5
PROP-E8F817173608,5.15,5.4,4.0,18.25,0.0,0.0,-1.35
PROP-6B4235B84BF7,4.9,5.15,4.5,18.0,0.0,0.9,0.9
PROP-A435F5194B94,6.5,6.75,4.0,19.5,0.0,0.25,0.5
PROP-3FBB548884A3,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-74E8BBDB1869,4.4,4.65,3.0,18.0,0.0,-0.75,-1.6
PROP-A28E9A937C8E,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-7745510EA9DC,6.5,6.75,4.0,19.25,0.0,0.0,0.5
PROP-8F4F97BE042E,6.5,6.75,4.0,19.25,0.0,0.0,0.5
PROP-BF8C21590A2E,5.15,5.4,4.0,18.5,-0.25,-0.6,-1.35
PROP-A21E0E395182,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-D623A5BD3259,5.75,6.0,4.0,19.0,0.0,-0.25,-0.5
PROP-BF8A99D156F1,5.15,5.4,4.0,18.5,-0.25,-0.6,-1.35
PROP-3D8AAD5E73B5,6.5,6.75,4.0,19.25,0.0,0.0,0.5
PROP-0C0BFF42A42C,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-FF9962D2025D,6.5,6.75,4.0,19.5,0.0,0.25,0.5
PROP-74543CBC599C,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-4BF83DB33530,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-523A9B07D2A1,6.5,6.75,4.0,19.25,0.0,0.0,0.5
PROP-39540AD67FD6,5.15,5.4,4.0,18.25,0.0,0.0,-1.35
PROP-42C7D4D34A9C,6.5,6.75,4.0,19.5,0.0,0.25,0.5
PROP-275C30FED99F,5.9,6.15,4.5,18.0,0.0,1.0,1.9
PROP-43929E420C2D,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-478099107B8F,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-5C52A446420D,6.5,6.75,4.0,19.25,0.0,0.0,0.5
PROP-01AA6022E0C7,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-D85BF3221525,4.0,4.25,3.5,18.0,0.0,0.0,-0.4
PROP-8E14A48ADCC4,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-9AFAD3B06B47,5.15,5.4,4.0,18.5,-0.25,-0.6,-1.35
PROP-DC7B2A38EA55,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-F04903424860,6.5,6.75,4.0,19.25,0.0,0.0,0.5
PROP-047960A2E5B3,6.25,6.5,4.0,19.5,0.0,0.25,0.0
PROP-1B747B844C95,5.15,5.4,4.0,18.5,-0.25,-0.6,-1.35
PROP-776E72C4DDFE,5.75,6.0,4.0,19.0,0.0,-0.25,-0.5
PROP-59252CDA84BE,5.75,6.0,4.0,19.0,0.0,-0.25,-0.5
PROP-44645DA39395,4.0,4.25,3.5,18.0,0.0,0.0,-0.4
PROP-CC96D0AE4690,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-F1844B7EE282,4.0,4.25,3.0,18.0,0.0,-0.4,-1.75
PROP-1532E4B7EE5D,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-B95CC1DB318E,6.5,6.75,4.0,19.5,0.0,0.25,0.5
PROP-E85EE1279880,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-54FB66193060,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-F4CBA1F89310,4.0,4.25,3.5,18.0,0.0,0.0,-0.4
PROP-AE9FAB73B03E,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-95D9573608EF,6.25,6.5,4.0,19.5,0.0,0.25,0.0
PROP-38611A7D4A8F,4.0,4.25,3.0,18.0,0.0,-0.4,-1.75
PROP-D34256268534,4.0,4.25,3.0,18.0,0.0,-0.4,-1.75
PROP-278D25C5A9CF,4.4,4.65,3.0,18.0,0.0,-0.75,-1.6
PROP-B3F66E6E1218,4.9,5.15,4.5,18.0,0.0,0.9,0.9
PROP-42CCBB206E1D,5.15,5.4,4.0,18.5,-0.25,-0.6,-1.35
PROP-114B555D61E3,6.5,6.75,4.0,19.25,0.0,0.0,0.5
PROP-3081FEFD587E,5.15,5.4,4.0,18.25,0.0,0.0,-1.35
PROP-AC0D7FC22FA5,6.25,6.5,4.0,19.5,0.0,0.25,0.0
PROP-2783ED738E18,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-C63EC5BF7F6E,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-C8E03C400D54,4.0,4.25,3.0,18.0,0.0,-0.4,-1.75
PROP-63F47AE16D9B,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-F8E3ED1C784D,6.0,6.25,4.0,19.5,0.0,0.0,-0.25
PROP-30E17D169E3B,5.9,6.15,4.5,18.0,0.0,1.0,1.9
PROP-902AA2B2D73C,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-6CDB5A05F81B,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-5121A05CEFD0,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-5E515C9892F8,6.0,6.25,4.0,19.5,0.0,0.0,-0.25
PROP-C194DFE317D3,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-86893D56053B,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-52B22AC0144C,5.75,6.0,4.0,19.0,0.0,-0.25,-0.5
PROP-DA9B29101D08,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-6383FF4A790A,5.15,5.4,4.0,18.25,0.0,0.0,-1.35
PROP-D2B34E8F00C1,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-3A9741912D89,6.5,6.75,4.0,19.25,0.0,0.0,0.5
PROP-2818943A7CED,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-54BB992F2BC1,4.4,4.65,3.0,18.0,0.0,-0.75,-1.6
PROP-7A3F3AEDD544,6.5,6.75,4.0,19.25,0.0,0.0,0.5
PROP-45E581D1E971,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-888CCB46DED6,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-0C5AF6DCA391,6.5,6.75,4.0,19.25,0.0,0.0,0.5
PROP-2A83D9D4FC49,6.5,6.75,4.0,19.5,0.0,0.25,0.5
PROP-2E797152908C,4.0,4.25,3.5,18.0,0.0,0.0,-0.4
PROP-B311B7A31695,6.0,6.25,4.0,19.5,0.0,0.0,-0.25
PROP-D8A8E133A537,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-17AE9C55287D,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-C0504EA01382,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-51638FC7E69A,4.0,4.25,3.0,18.0,0.0,-0.4,-1.75
PROP-BFC344387222,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-44543A5CCDD6,6.5,6.75,4.0,19.25,0.0,0.0,0.5
PROP-FE64C4652902,5.9,6.15,4.5,18.0,0.0,1.0,1.9
PROP-E0527F2E5C79,6.5,6.75,4.0,19.5,0.0,0.25,0.5
PROP-B28B970D1C56,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-1F07B7134CDF,6.25,6.5,4.0,19.5,0.0,0.25,0.0
PROP-5F64D028734D,6.0,6.25,4.0,19.5,0.0,0.0,-0.25
PROP-636AE83EBE9C,6.0,6.25,4.0,19.25,-0.25,-0.5,0.0
PROP-F85AE7CC9AF7,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-2F0F1F4E92C4,6.5,6.75,4.0,19.5,0.0,0.25,0.5
PROP-82561D58FD53,4.4,4.65,3.0,18.0,0.0,-0.75,-1.6
PROP-A2F6A99CC0CC,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-3E47A053C0FF,5.75,6.0,4.0,19.0,0.0,-0.25,-0.5
PROP-9A7387795A30,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-0C69AE26D913,6.0,6.25,4.0,19.5,0.0,0.0,-0.25
PROP-1E0B226AD1CB,4.9,5.15,4.5,18.0,0.0,0.9,0.9
PROP-A259DD7FE9C8,5.75,6.0,4.0,19.0,0.0,-0.25,-0.5
PROP-0B30A0A0DBBD,5.75,6.0,4.0,19.0,0.0,-0.25,-0.5
PROP-4278AC95E337,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-294660330DD1,5.15,5.4,4.0,18.25,0.0,0.0,-1.35
PROP-CED436FA687B,5.15,5.4,4.0,18.5,-0.25,-0.6,-1.35
PROP-5E6983336D58,5.9,6.15,4.5,18.0,0.0,1.0,1.9
PROP-149FFB2F26CA,5.15,5.4,4.0,18.5,-0.25,-0.6,-1.35
PROP-484F5023E66A,5.75,6.0,4.0,19.0,0.0,-0.25,-0.5
PROP-2647D77E0F8D,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-AA9429C07967,4.4,4.65,3.0,18.0,0.0,-0.75,-1.6
PROP-F74B6364D62C,6.0,6.25,4.0,19.5,0.0,0.0,-0.25
PROP-BDDD24EA360A,6.5,6.75,4.0,19.5,0.0,0.25,0.5
PROP-35665EC66C18,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-0D98C2E8D9E1,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-B6C61BC5B0C3,6.25,6.5,4.0,19.5,0.0,0.25,0.0
PROP-15C164A6E840,5.15,5.4,4.0,18.5,-0.25,-0.6,-1.35
PROP-757C59EC7B31,5.15,5.4,4.0,18.5,-0.25,-0.6,-1.35
PROP-3C25CCD7D2B4,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-3E587CC9CAB6,5.75,6.0,4.0,19.0,0.0,-0.25,-0.5
PROP-872F313098E2,6.0,6.25,4.0,19.5,0.0,0.0,-0.25
PROP-DB780F7939B4,5.75,6.0,4.0,19.0,0.0,-0.25,-0.5
PROP-83A560ED903F,5.75,6.0,4.0,19.0,0.0,-0.25,-0.5
PROP-FBAE78BF23D2,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-B59553234E86,6.5,6.75,4.0,19.25,0.0,0.0,0.5
PROP-B6CDFCD7A060,4.9,5.15,4.5,18.0,0.0,0.9,0.9
PROP-C163C0D4CB89,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-1992387BDC35,6.0,6.25,4.0,19.25,-0.25,-0.5,0.0
PROP-5A9449E11655,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-94E563882B43,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-7943C1E25050,5.75,6.0,4.0,19.0,0.0,-0.25,-0.5
PROP-9FB3F9DA0458,6.0,6.25,4.0,19.25,-0.25,-0.5,0.0
PROP-457AD501CB4F,5.9,6.15,4.5,18.0,0.0,1.0,1.9
PROP-DF0B5484FDE6,4.4,4.65,3.0,18.0,0.0,-0.75,-1.6
PROP-17028BED9959,6.0,6.25,4.0,19.5,0.0,0.0,-0.25
PROP-0922FECA4B33,5.15,5.4,4.0,18.25,0.0,0.0,-1.35
PROP-2921F7C54237,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-04ACBBC413FF,6.25,6.5,4.0,19.5,0.0,0.25,0.0
PROP-AFDAE87C7154,4.9,5.15,4.5,18.0,0.0,0.9,0.9
PROP-064596C5790A,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-230BB0F69709,4.9,5.15,4.5,18.0,0.0,0.9,0.9
PROP-114A14ECCF64,5.15,5.4,4.0,18.25,0.0,0.0,-1.35
PROP-50558CB1DC5F,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-6FA0CFE85AFF,6.5,6.75,4.0,19.5,0.0,0.25,0.5
PROP-6CB6B102556C,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-96DA711717E2,5.9,6.15,4.5,18.0,0.0,1.0,1.9
PROP-0B4999D2EC4D,4.9,5.15,4.5,18.0,0.0,0.9,0.9
PROP-B890BC9B2271,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-042367585D6E,5.15,5.4,4.0,18.5,-0.25,-0.6,-1.35
PROP-9F53A910A054,5.75,6.0,4.0,19.0,0.0,-0.25,-0.5
PROP-F360C8E6C8CF,6.0,6.25,4.0,19.5,0.0,0.0,-0.25
PROP-DDCFD68B4D1A,6.25,6.5,4.0,19.5,0.0,0.25,0.0
PROP-9CA24DB7A583,4.0,4.25,3.5,18.0,0.0,0.0,-0.4
PROP-1D61D96EF60F,4.9,5.15,4.5,18.0,0.0,0.9,0.9
PROP-DF47A905796B,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-65A514317903,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-A06E792E45F2,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-815CBD9AED4B,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-2BDFAB712760,6.5,6.75,4.0,19.5,0.0,0.25,0.5
PROP-84DFA6EC15D4,6.0,6.25,4.0,19.5,0.0,0.0,-0.25
PROP-FB06D2E59F92,4.9,5.15,4.5,18.0,0.0,0.9,0.9
PROP-87A2F1F1F3E3,6.25,6.5,4.0,19.5,0.0,0.25,0.0
PROP-8BAACECCE52C,4.0,4.25,3.0,18.0,0.0,-0.4,-1.75
PROP-E655FD5552A3,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-09D3A035CD7B,5.15,5.4,4.0,18.5,-0.25,-0.6,-1.35
PROP-D86C1F55C0AC,5.15,5.4,4.0,18.5,-0.25,-0.6,-1.35
PROP-4698EF9D9F8B,5.75,6.0,4.0,19.0,0.0,-0.25,-0.5
PROP-AB7AAC6B0331,4.0,4.25,3.0,18.0,0.0,-0.4,-1.75
PROP-08AEF5A9D481,4.0,4.25,4.0,18.0,0.0,0.0,0.0
PROP-BAB6D9932EF7,5.15,5.4,4.0,18.25,0.0,0.0,-1.35
PROP-3A27D9D78AE5,6.0,6.25,4.0,19.25,-0.25,-0.5,0.0
PROP-FB1D8806ECA6,4.0,4.25,3.0,18.0,0.0,0.0,-1.15
PROP-AEC56B927638,5.9,6.15,4.5,18.0,0.0,1.0,1.9
PROP-7B89777A2523,5.15,5.4,4.0,18.25,0.0,0.0,-1.35
PROP-031EACC72FAC,5.9,6.15,4.5,18.0,0.0,1.0,1.9
