city,locality,rental_listing_count,avg_monthly_rent,median_monthly_rent,p25_monthly_rent,p75_monthly_rent,avg_rent_per_sqft,median_rent_per_sqft,avg_rental_area_sqft,rent_stddev,pct_furnished,pct_semi_furnished,dominant_bhk
Bengaluru,1A Block Koramangala,1,180000.0,180000.0,180000.0,180000.0,85.71,85.71,2100.0,,0.0,100.0,4
Bengaluru,1St Block East,1,36000.0,36000.0,36000.0,36000.0,32.73,32.73,1100.0,,0.0,0.0,3
Bengaluru,A Narayanapura,1,70000.0,70000.0,70000.0,70000.0,70.71,70.71,990.0,,0.0,100.0,3
Bengaluru,Abbaiah Reddy Layout,1,25000.0,25000.0,25000.0,25000.0,17.86,17.86,1400.0,,0.0,100.0,3
Bengaluru,Abbigere,7,18714.29,20000.0,8500.0,27000.0,18.16,18.18,944.57,11796.39,28.57,14.29,2
Bengaluru,Adarsh Palm Retreat,1,240000.0,240000.0,240000.0,240000.0,66.67,66.67,3600.0,,0.0,100.0,4
Bengaluru,Aditya Nagar,1,35000.0,35000.0,35000.0,35000.0,16.67,16.67,2100.0,,0.0,100.0,1
Bengaluru,Adugodi,3,10066.67,10000.0,9500.0,10600.0,20.33,22.22,500.0,1101.51,0.0,100.0,1
Bengaluru,Aecs Layout Block A,1,24000.0,24000.0,24000.0,24000.0,24.0,24.0,1000.0,,0.0,100.0,1
Bengaluru,Aecs Layout Block D,1,20000.0,20000.0,20000.0,20000.0,40.0,40.0,500.0,,0.0,100.0,1
Bengaluru,Aecs Layout-Singasandra,2,42500.0,42500.0,26250.0,58750.0,50.0,50.0,750.0,45961.94,0.0,100.0,1
Bengaluru,Agrahara Layout,1,65000.0,65000.0,65000.0,65000.0,22.41,22.41,2900.0,,0.0,100.0,4
Bengaluru,Ak Colony Domlur,1,90000.0,90000.0,90000.0,90000.0,64.29,64.29,1400.0,,100.0,0.0,2
Bengaluru,Akshya Nagar,3,26833.33,22000.0,20250.0,31000.0,17.86,18.5,1583.33,11536.17,33.33,0.0,2
Bengaluru,Amarjyoti Layout-Domlur,1,48000.0,48000.0,48000.0,48000.0,43.64,43.64,1100.0,,100.0,0.0,2
Bengaluru,Ambalipura,1,60000.0,60000.0,60000.0,60000.0,33.9,33.9,1770.0,,100.0,0.0,3
Bengaluru,Ambalipura Sarjapur Road,2,71500.0,71500.0,68250.0,74750.0,38.04,38.04,1900.0,9192.39,50.0,50.0,3
Bengaluru,Amrutahalli,1,30000.0,30000.0,30000.0,30000.0,25.75,25.75,1165.0,,0.0,100.0,2
Bengaluru,Amruthnagar,2,23000.0,23000.0,22500.0,23500.0,19.17,19.17,1200.0,1414.21,0.0,100.0,2
Bengaluru,Ams Layout,1,22000.0,22000.0,22000.0,22000.0,18.33,18.33,1200.0,,0.0,100.0,3
Bengaluru,Anand Nagar- Hebbal,1,100000.0,100000.0,100000.0,100000.0,45.45,45.45,2200.0,,0.0,100.0,4
Bengaluru,Anantapura,1,70000.0,70000.0,70000.0,70000.0,22.58,22.58,3100.0,,0.0,100.0,4
Bengaluru,Anchepalya,2,44750.0,44750.0,24625.0,64875.0,25.2,25.2,1285.5,56922.1,50.0,0.0,1
Bengaluru,Andrahalli,1,5500.0,5500.0,5500.0,5500.0,11.0,11.0,500.0,,0.0,0.0,1
Bengaluru,Anjana Nagar,1,5000.0,5000.0,5000.0,5000.0,10.0,10.0,500.0,,0.0,0.0,1
Bengaluru,Anjanadri Layout,1,10000.0,10000.0,10000.0,10000.0,28.57,28.57,350.0,,0.0,100.0,1
Bengaluru,Anjanapura,2,19750.0,19750.0,14875.0,24625.0,26.12,26.12,798.0,13788.58,0.0,100.0,2
Bengaluru,Anjanapura Township,1,30000.0,30000.0,30000.0,30000.0,18.75,18.75,1600.0,,0.0,100.0,3
Bengaluru,Annapurneshwari Nagar,1,12000.0,12000.0,12000.0,12000.0,17.14,17.14,700.0,,0.0,0.0,2
Bengaluru,Annasandrapalya Extension,2,11000.0,11000.0,10000.0,12000.0,17.12,17.12,650.0,2828.43,0.0,50.0,1
Bengaluru,Arekere,3,11666.67,11000.0,10000.0,13000.0,20.83,20.0,583.33,3055.05,33.33,66.67,1
Bengaluru,Ashok Nagar,1,200000.0,200000.0,200000.0,200000.0,86.96,86.96,2300.0,,0.0,100.0,3
Bengaluru,Ashwini Layout,1,13000.0,13000.0,13000.0,13000.0,28.89,28.89,450.0,,0.0,100.0,1
Bengaluru,Atmananda Colony,1,30000.0,30000.0,30000.0,30000.0,20.55,20.55,1460.0,,0.0,0.0,3
Bengaluru,Attibele,5,22400.0,22000.0,18000.0,30000.0,21.31,22.86,1103.2,8988.88,40.0,20.0,2
Bengaluru,Attibele Anekal Road,1,25000.0,25000.0,25000.0,25000.0,20.83,20.83,1200.0,,0.0,100.0,3
Bengaluru,Attur Layout,1,16500.0,16500.0,16500.0,16500.0,20.62,20.62,800.0,,0.0,100.0,2
Bengaluru,Avalahalli,3,54000.0,70000.0,40000.0,76000.0,21.68,19.44,2333.33,38574.6,0.0,100.0,3
Bengaluru,Ayappa Nagar Kr Puram,1,13500.0,13500.0,13500.0,13500.0,19.29,19.29,700.0,,0.0,0.0,1
Bengaluru,B Narayanapura,2,27000.0,27000.0,26000.0,28000.0,26.31,26.31,1050.0,2828.43,0.0,100.0,2
Bengaluru,Babusahib Palya,3,31333.33,38000.0,24500.0,41500.0,29.26,36.54,1013.33,17953.64,0.0,66.67,2
Bengaluru,Bagalur Main Road,13,31692.31,30000.0,26000.0,36000.0,30.35,29.87,1065.15,7509.82,15.38,61.54,2
Bengaluru,Bagalur Sarjapur Road,1,26000.0,26000.0,26000.0,26000.0,9.29,9.29,2800.0,,0.0,100.0,4
Bengaluru,Bagaluru,3,25000.0,25000.0,21000.0,29000.0,26.49,25.84,1010.67,8000.0,0.0,66.67,2
Bengaluru,Balagere,6,44000.0,46000.0,28750.0,60250.0,39.58,42.06,1133.33,19328.74,33.33,66.67,2
