property_master_id,rera_id,project_status,project_age,construction_duration_months,completion_percent,unsold_inventory,developer_project_count,developer_completion_rate,developer_lapsed_project_count
PROP-A67AF6F45D75,RERA-TNR-11062267,Ongoing,21.0,30.0,70.0,236.0,22,0.727,0
PROP-0CEEF405400A,,Unregistered,,,,,0,1.0,0
PROP-4B8E10586D59,RERA-TNR-54283488,Ongoing,18.0,30.0,60.0,27.0,9,0.667,0
PROP-86A88A187027,,Unregistered,,,,,0,1.0,0
PROP-A18A49EE0073,RERA-TNR-47105449,Ongoing,31.0,50.0,62.0,106.0,16,0.438,0
PROP-FC082F802744,RERA-TNR-84636067,Ongoing,36.0,56.0,64.3,288.0,16,0.812,1
PROP-F9C90503CA0E,,Unregistered,,,,,0,1.0,0
PROP-8030B24C5122,RERA-TNR-60277224,Ongoing,18.0,53.0,34.0,12.0,4,0.5,0
PROP-740BEA1D26C7,,Unregistered,,,,,0,1.0,0
PROP-57D7E7126783,RERA-TNR-59894421,Ongoing,15.0,35.0,42.9,142.0,17,0.765,1
PROP-F4ACF6362C46,RERA-TNR-15300287,Ongoing,20.0,43.0,46.5,44.0,12,0.667,0
PROP-A7B4990CB17F,RERA-TNR-01896562,Ongoing,24.0,45.0,53.3,77.0,10,0.5,0
PROP-6A8F2CA5D4A7,,Unregistered,,,,,0,1.0,0
PROP-3EF538C2BB00,,Unregistered,,,,,0,1.0,0
PROP-106DAED671B6,,Unregistered,,,,,0,1.0,0
PROP-D5F1834163A7,RERA-TNR-67324170,Ongoing,8.0,31.0,25.8,124.0,5,0.4,0
PROP-FDCB07611F18,,Unregistered,,,,,0,1.0,0
PROP-A74166BFD422,RERA-TNR-48964070,Ongoing,12.0,51.0,23.5,75.0,7,0.714,1
PROP-48E47A79C626,RERA-TNR-06675421,Ongoing,35.0,40.0,87.5,48.0,16,0.438,0
PROP-EEA71AC853AB,,Unregistered,,,,,0,1.0,0
PROP-51F742AC064B,RERA-TNR-92113145,Completed,39.0,30.0,100.0,174.0,22,0.682,0
PROP-C1CA5D2867CF,,Unregistered,,,,,0,1.0,0
PROP-B129E7EC2D5F,RERA-TNR-73650272,Completed,71.0,31.0,100.0,114.0,20,0.55,0
PROP-B10588A6BCFE,,Unregistered,,,,,0,1.0,0
PROP-562DA83E6F5E,,Unregistered,,,,,0,1.0,0
PROP-C8ABEEADCA06,RERA-TNR-87158354,Ongoing,8.0,38.0,21.1,154.0,18,0.444,1
PROP-7AFEE3A48B25,RERA-TNR-01794133,Ongoing,35.0,53.0,66.0,12.0,6,0.5,0
PROP-163A7FCBF545,,Unregistered,,,,,0,1.0,0
PROP-744E45540410,,Unregistered,,,,,0,1.0,0
PROP-43FF1FEED483,RERA-TNR-47520573,Ongoing,27.0,53.0,50.9,53.0,7,0.429,0
PROP-61A1E2DA5AD5,RERA-TNR-56417847,Ongoing,29.0,34.0,85.3,117.0,8,0.0,0
PROP-5A879DF90FF0,RERA-TNR-67620251,Ongoing,21.0,51.0,41.2,41.0,14,0.5,0
PROP-20F9393C5B79,,Unregistered,,,,,0,1.0,0
PROP-024DCA08FBB4,,Unregistered,,,,,0,1.0,0
PROP-C0706AAC1468,,Unregistered,,,,,0,1.0,0
PROP-75E290D9B4B1,RERA-TNR-72214979,Ongoing,9.0,58.0,15.5,47.0,14,0.786,2
PROP-3282AA5F382C,,Unregistered,,,,,0,1.0,0
PROP-4DF17EEDA0FB,,Unregistered,,,,,0,1.0,0
PROP-141C4C451E0C,RERA-TNR-16654839,Ongoing,13.0,35.0,37.1,32.0,12,0.833,1
PROP-C1E8167421C6,,Unregistered,,,,,0,1.0,0
PROP-008213E4D941,RERA-TNR-43649557,Ongoing,19.0,29.0,65.5,61.0,15,0.467,0
PROP-07542049EDCD,,Unregistered,,,,,0,1.0,0
PROP-113E49F70FEC,,Unregistered,,,,,0,1.0,0
PROP-AD5970B8725C,RERA-TNR-57075515,Ongoing,52.0,59.0,88.1,239.0,18,0.833,2
PROP-20C1C3775C99,,Unregistered,,,,,0,1.0,0
PROP-B27550B59EF2,,Unregistered,,,,,0,1.0,0
PROP-A9AD15AE4F4B,,Unregistered,,,,,0,1.0,0
PROP-968DCB86BB82,,Unregistered,,,,,0,1.0,0
PROP-7E5D68FEA71F,RERA-TNR-20715085,Ongoing,11.0,45.0,24.4,82.0,16,0.375,0
PROP-44ED17888D48,RERA-TNR-48831346,Ongoing,12.0,44.0,27.3,246.0,9,0.667,0
PROP-81E153A834E7,,Unregistered,,,,,0,1.0,0
PROP-A88B26A7F5A1,,Unregistered,,,,,0,1.0,0
PROP-EE3AB12955E8,,Unregistered,,,,,0,1.0,0
PROP-67EBEA3AE062,,Unregistered,,,,,0,1.0,0
PROP-BE92DFBC3E9C,RERA-TNR-34149088,Ongoing,6.0,47.0,12.8,128.0,7,0.429,0
PROP-E8F817173608,,Unregistered,,,,,0,1.0,0
PROP-6B4235B84BF7,,Unregistered,,,,,0,1.0,0
PROP-A435F5194B94,,Unregistered,,,,,0,1.0,0
PROP-3FBB548884A3,,Unregistered,,,,,0,1.0,0
PROP-74E8BBDB1869,,Unregistered,,,,,0,1.0,0
PROP-A28E9A937C8E,,Unregistered,,,,,0,1.0,0
PROP-7745510EA9DC,,Unregistered,,,,,0,1.0,0
PROP-8F4F97BE042E,,Unregistered,,,,,0,1.0,0
PROP-BF8C21590A2E,RERA-TNR-01994971,Ongoing,37.0,57.0,64.9,54.0,5,0.6,0
PROP-A21E0E395182,,Unregistered,,,,,0,1.0,0
PROP-D623A5BD3259,,Unregistered,,,,,0,1.0,0
PROP-BF8A99D156F1,,Unregistered,,,,,0,1.0,0
PROP-3D8AAD5E73B5,,Unregistered,,,,,0,1.0,0
PROP-0C0BFF42A42C,,Unregistered,,,,,0,1.0,0
PROP-FF9962D2025D,RERA-TNR-96590870,Ongoing,8.0,38.0,21.1,98.0,4,0.5,0
PROP-74543CBC599C,RERA-TNR-66700054,Ongoing,20.0,45.0,44.4,191.0,9,0.556,0
PROP-4BF83DB33530,,Unregistered,,,,,0,1.0,0
PROP-523A9B07D2A1,RERA-TNR-75317459,Ongoing,13.0,60.0,21.7,76.0,6,0.667,0
PROP-39540AD67FD6,,Unregistered,,,,,0,1.0,0
PROP-42C7D4D34A9C,RERA-TNR-05055958,Ongoing,32.0,53.0,60.4,202.0,9,0.667,0
PROP-275C30FED99F,,Unregistered,,,,,0,1.0,0
PROP-43929E420C2D,,Unregistered,,,,,0,1.0,0
PROP-478099107B8F,RERA-TNR-48605930,Completed,49.0,40.0,100.0,108.0,6,0.333,0
PROP-5C52A446420D,,Unregistered,,,,,0,1.0,0
PROP-01AA6022E0C7,RERA-TNR-32282619,Ongoing,33.0,51.0,64.7,83.0,13,0.923,1
PROP-D85BF3221525,RERA-TNR-77948920,Ongoing,26.0,57.0,45.6,63.0,18,0.722,0
PROP-8E14A48ADCC4,,Unregistered,,,,,0,1.0,0
PROP-9AFAD3B06B47,RERA-TNR-06369403,Ongoing,9.0,55.0,16.4,118.0,15,0.667,0
PROP-DC7B2A38EA55,RERA-TNR-82614474,Completed,36.0,28.0,100.0,28.0,13,0.846,1
PROP-F04903424860,,Unregistered,,,,,0,1.0,0
PROP-047960A2E5B3,RERA-TNR-90624411,Ongoing,21.0,50.0,42.0,129.0,5,0.2,0
PROP-1B747B844C95,,Unregistered,,,,,0,1.0,0
PROP-776E72C4DDFE,RERA-TNR-40847400,Completed,38.0,26.0,100.0,78.0,12,0.583,0
PROP-59252CDA84BE,RERA-TNR-24210278,Ongoing,16.0,52.0,30.8,153.0,17,0.471,0
PROP-44645DA39395,,Unregistered,,,,,0,1.0,0
PROP-CC96D0AE4690,,Unregistered,,,,,0,1.0,0
PROP-F1844B7EE282,,Unregistered,,,,,0,1.0,0
PROP-1532E4B7EE5D,,Unregistered,,,,,0,1.0,0
PROP-B95CC1DB318E,RERA-TNR-61092387,Ongoing,29.0,54.0,53.7,245.0,16,0.125,0
PROP-E85EE1279880,RERA-TNR-73103982,Ongoing,12.0,25.0,48.0,197.0,18,0.611,0
PROP-54FB66193060,RERA-TNR-18761240,Ongoing,18.0,26.0,69.2,150.0,16,0.625,0
PROP-F4CBA1F89310,,Unregistered,,,,,0,1.0,0
PROP-AE9FAB73B03E,,Unregistered,,,,,0,1.0,0
PROP-95D9573608EF,,Unregistered,,,,,0,1.0,0
PROP-38611A7D4A8F,RERA-TNR-74105017,Ongoing,15.0,57.0,26.3,36.0,19,0.526,0
PROP-D34256268534,,Unregistered,,,,,0,1.0,0
PROP-278D25C5A9CF,,Unregistered,,,,,0,1.0,0
PROP-B3F66E6E1218,RERA-TNR-25526543,Ongoing,25.0,57.0,43.9,52.0,14,0.786,2
PROP-42CCBB206E1D,RERA-TNR-99504191,Ongoing,33.0,34.0,97.1,13.0,13,0.692,0
PROP-114B555D61E3,,Unregistered,,,,,0,1.0,0
PROP-3081FEFD587E,,Unregistered,,,,,0,1.0,0
PROP-AC0D7FC22FA5,,Unregistered,,,,,0,1.0,0
PROP-2783ED738E18,RERA-TNR-70220842,Ongoing,12.0,50.0,24.0,74.0,7,0.571,2
PROP-C63EC5BF7F6E,,Unregistered,,,,,0,1.0,0
PROP-C8E03C400D54,,Unregistered,,,,,0,1.0,0
PROP-63F47AE16D9B,RERA-TNR-95788935,Ongoing,13.0,47.0,27.7,40.0,8,0.875,1
PROP-F8E3ED1C784D,,Unregistered,,,,,0,1.0,0
PROP-30E17D169E3B,RERA-TNR-48337709,Ongoing,19.0,40.0,47.5,97.0,11,0.818,0
PROP-902AA2B2D73C,,Unregistered,,,,,0,1.0,0
PROP-6CDB5A05F81B,,Unregistered,,,,,0,1.0,0
PROP-5121A05CEFD0,,Unregistered,,,,,0,1.0,0
PROP-5E515C9892F8,RERA-TNR-21355340,Ongoing,6.0,57.0,10.5,109.0,3,0.667,0
PROP-C194DFE317D3,,Unregistered,,,,,0,1.0,0
PROP-86893D56053B,,Unregistered,,,,,0,1.0,0
PROP-52B22AC0144C,,Unregistered,,,,,0,1.0,0
PROP-DA9B29101D08,,Unregistered,,,,,0,1.0,0
PROP-6383FF4A790A,RERA-TNR-23257397,Ongoing,27.0,34.0,79.4,155.0,18,0.333,0
PROP-D2B34E8F00C1,RERA-TNR-23084444,Ongoing,30.0,53.0,56.6,51.0,20,0.6,0
PROP-3A9741912D89,,Unregistered,,,,,0,1.0,0
PROP-2818943A7CED,RERA-TNR-92608062,Ongoing,12.0,42.0,28.6,264.0,11,0.636,1
PROP-54BB992F2BC1,,Unregistered,,,,,0,1.0,0
PROP-7A3F3AEDD544,RERA-TNR-92748073,Ongoing,23.0,47.0,48.9,43.0,11,0.545,0
PROP-45E581D1E971,,Unregistered,,,,,0,1.0,0
PROP-888CCB46DED6,,Unregistered,,,,,0,1.0,0
PROP-0C5AF6DCA391,RERA-TNR-63575806,Ongoing,29.0,49.0,59.2,72.0,5,0.2,0
PROP-2A83D9D4FC49,RERA-TNR-22809029,Ongoing,27.0,53.0,50.9,161.0,11,0.545,0
PROP-2E797152908C,,Unregistered,,,,,0,1.0,0
PROP-B311B7A31695,,Unregistered,,,,,0,1.0,0
PROP-D8A8E133A537,RERA-TNR-05779198,Ongoing,40.0,50.0,80.0,51.0,13,0.846,1
PROP-17AE9C55287D,RERA-TNR-60277224,Completed,57.0,53.0,100.0,12.0,5,0.8,0
PROP-C0504EA01382,,Unregistered,,,,,0,1.0,0
PROP-51638FC7E69A,RERA-TNR-64880445,Ongoing,27.0,54.0,50.0,102.0,7,0.714,0
PROP-BFC344387222,RERA-TNR-58247490,Completed,24.0,24.0,100.0,106.0,20,0.75,0
PROP-44543A5CCDD6,RERA-TNR-33885842,Ongoing,12.0,45.0,26.7,90.0,12,0.583,0
PROP-FE64C4652902,RERA-TNR-29473366,Ongoing,8.0,37.0,21.6,200.0,18,0.944,6
PROP-E0527F2E5C79,RERA-TNR-94714042,Ongoing,24.0,32.0,75.0,156.0,30,0.333,0
PROP-B28B970D1C56,RERA-TNR-17458889,Completed,39.0,25.0,100.0,24.0,12,0.75,1
