property_master_id,rera_id,rera_registered,project_status,project_age,construction_duration_months,completion_percent,unsold_inventory,developer_project_count,developer_completion_rate,developer_lapsed_project_count
PROP-A67AF6F45D75,RERA-TNR-11062267,1,Ongoing,21.0,30.0,70.0,236.0,22,0.727,0
PROP-0CEEF405400A,,0,Unregistered,,,,,0,1.0,0
PROP-4B8E10586D59,RERA-TNR-54283488,1,Ongoing,18.0,30.0,60.0,27.0,9,0.667,0
PROP-86A88A187027,,0,Unregistered,,,,,0,1.0,0
PROP-A18A49EE0073,RERA-TNR-47105449,1,Ongoing,31.0,50.0,62.0,106.0,16,0.438,0
PROP-FC082F802744,RERA-TNR-84636067,1,Ongoing,36.0,56.0,64.3,288.0,16,0.812,1
PROP-F9C90503CA0E,,0,Unregistered,,,,,0,1.0,0
PROP-8030B24C5122,RERA-TNR-60277224,1,Ongoing,18.0,53.0,34.0,12.0,4,0.5,0
PROP-740BEA1D26C7,,0,Unregistered,,,,,0,1.0,0
PROP-57D7E7126783,RERA-TNR-59894421,1,Ongoing,15.0,35.0,42.9,142.0,17,0.765,1
PROP-F4ACF6362C46,RERA-TNR-15300287,1,Ongoing,20.0,43.0,46.5,44.0,12,0.667,0
PROP-A7B4990CB17F,RERA-TNR-01896562,1,Ongoing,24.0,45.0,53.3,77.0,10,0.5,0
PROP-6A8F2CA5D4A7,,0,Unregistered,,,,,0,1.0,0
PROP-3EF538C2BB00,,0,Unregistered,,,,,0,1.0,0
PROP-106DAED671B6,,0,Unregistered,,,,,0,1.0,0
PROP-D5F1834163A7,RERA-TNR-67324170,1,Ongoing,8.0,31.0,25.8,124.0,5,0.4,0
PROP-FDCB07611F18,,0,Unregistered,,,,,0,1.0,0
PROP-A74166BFD422,RERA-TNR-48964070,1,Ongoing,12.0,51.0,23.5,75.0,7,0.714,1
PROP-48E47A79C626,RERA-TNR-06675421,1,Ongoing,35.0,40.0,87.5,48.0,16,0.438,0
PROP-EEA71AC853AB,,0,Unregistered,,,,,0,1.0,0
PROP-51F742AC064B,RERA-TNR-92113145,1,Completed,39.0,30.0,100.0,174.0,22,0.682,0
PROP-C1CA5D2867CF,,0,Unregistered,,,,,0,1.0,0
PROP-B129E7EC2D5F,RERA-TNR-73650272,1,Completed,71.0,31.0,100.0,114.0,20,0.55,0
PROP-B10588A6BCFE,,0,Unregistered,,,,,0,1.0,0
PROP-562DA83E6F5E,,0,Unregistered,,,,,0,1.0,0
PROP-C8ABEEADCA06,RERA-TNR-87158354,1,Ongoing,8.0,38.0,21.1,154.0,18,0.444,1
PROP-7AFEE3A48B25,RERA-TNR-01794133,1,Ongoing,35.0,53.0,66.0,12.0,6,0.5,0
PROP-163A7FCBF545,,0,Unregistered,,,,,0,1.0,0
PROP-744E45540410,,0,Unregistered,,,,,0,1.0,0
PROP-43FF1FEED483,RERA-TNR-47520573,1,Ongoing,27.0,53.0,50.9,53.0,7,0.429,0
PROP-61A1E2DA5AD5,RERA-TNR-56417847,1,Ongoing,29.0,34.0,85.3,117.0,8,0.0,0
PROP-5A879DF90FF0,RERA-TNR-67620251,1,Ongoing,21.0,51.0,41.2,41.0,14,0.5,0
PROP-20F9393C5B79,,0,Unregistered,,,,,0,1.0,0
PROP-024DCA08FBB4,,0,Unregistered,,,,,0,1.0,0
PROP-C0706AAC1468,,0,Unregistered,,,,,0,1.0,0
PROP-75E290D9B4B1,RERA-TNR-72214979,1,Ongoing,9.0,58.0,15.5,47.0,14,0.786,2
PROP-3282AA5F382C,,0,Unregistered,,,,,0,1.0,0
PROP-4DF17EEDA0FB,,0,Unregistered,,,,,0,1.0,0
PROP-141C4C451E0C,RERA-TNR-16654839,1,Ongoing,13.0,35.0,37.1,32.0,12,0.833,1
PROP-C1E8167421C6,,0,Unregistered,,,,,0,1.0,0
PROP-008213E4D941,RERA-TNR-43649557,1,Ongoing,19.0,29.0,65.5,61.0,15,0.467,0
PROP-07542049EDCD,,0,Unregistered,,,,,0,1.0,0
PROP-113E49F70FEC,,0,Unregistered,,,,,0,1.0,0
PROP-AD5970B8725C,RERA-TNR-57075515,1,Ongoing,52.0,59.0,88.1,239.0,18,0.833,2
PROP-20C1C3775C99,,0,Unregistered,,,,,0,1.0,0
PROP-B27550B59EF2,,0,Unregistered,,,,,0,1.0,0
PROP-A9AD15AE4F4B,,0,Unregistered,,,,,0,1.0,0
PROP-968DCB86BB82,,0,Unregistered,,,,,0,1.0,0
PROP-7E5D68FEA71F,RERA-TNR-20715085,1,Ongoing,11.0,45.0,24.4,82.0,16,0.375,0
PROP-44ED17888D48,RERA-TNR-48831346,1,Ongoing,12.0,44.0,27.3,246.0,9,0.667,0
PROP-81E153A834E7,,0,Unregistered,,,,,0,1.0,0
PROP-A88B26A7F5A1,,0,Unregistered,,,,,0,1.0,0
PROP-EE3AB12955E8,,0,Unregistered,,,,,0,1.0,0
PROP-67EBEA3AE062,,0,Unregistered,,,,,0,1.0,0
PROP-BE92DFBC3E9C,RERA-TNR-34149088,1,Ongoing,6.0,47.0,12.8,128.0,7,0.429,0
PROP-E8F817173608,,0,Unregistered,,,,,0,1.0,0
PROP-6B4235B84BF7,,0,Unregistered,,,,,0,1.0,0
PROP-A435F5194B94,,0,Unregistered,,,,,0,1.0,0
PROP-3FBB548884A3,,0,Unregistered,,,,,0,1.0,0
PROP-74E8BBDB1869,,0,Unregistered,,,,,0,1.0,0
PROP-A28E9A937C8E,,0,Unregistered,,,,,0,1.0,0
PROP-7745510EA9DC,,0,Unregistered,,,,,0,1.0,0
PROP-8F4F97BE042E,,0,Unregistered,,,,,0,1.0,0
PROP-BF8C21590A2E,RERA-TNR-01994971,1,Ongoing,37.0,57.0,64.9,54.0,5,0.6,0
PROP-A21E0E395182,,0,Unregistered,,,,,0,1.0,0
PROP-D623A5BD3259,,0,Unregistered,,,,,0,1.0,0
PROP-BF8A99D156F1,,0,Unregistered,,,,,0,1.0,0
PROP-3D8AAD5E73B5,,0,Unregistered,,,,,0,1.0,0
PROP-0C0BFF42A42C,,0,Unregistered,,,,,0,1.0,0
PROP-FF9962D2025D,RERA-TNR-96590870,1,Ongoing,8.0,38.0,21.1,98.0,4,0.5,0
PROP-74543CBC599C,RERA-TNR-66700054,1,Ongoing,20.0,45.0,44.4,191.0,9,0.556,0
PROP-4BF83DB33530,,0,Unregistered,,,,,0,1.0,0
