property_master_id,latitude,longitude,spatial_match_source,accessibility_score,schools_distance_km,hospitals_distance_km,metro_stations_distance_km,railway_stations_distance_km,malls_distance_km,parks_distance_km,restaurants_distance_km,transit_stations_distance_km,highways_distance_km,airports_distance_km,main_roads_distance_km,schools_3km,hospitals_5km,parks_3km,restaurants_1km,transit_stations_3km
PROP-A67AF6F45D75,12.87950981734791,80.23584456593528,city_center_fallback,12.3,3.244,9.43,8.959,10.868,10.873,8.456,1.011,2.283,14.842,61.917,8.996,0,0,0,0,1
PROP-0CEEF405400A,13.219251789386737,80.03773843117284,city_center_fallback,12.2,7.731,5.998,6.894,18.729,5.437,16.074,5.938,13.58,8.531,57.359,7.012,0,0,0,0,0
PROP-4B8E10586D59,13.025600079388195,80.15941840390212,city_center_fallback,24.2,2.324,5.761,5.336,11.542,6.073,6.915,2.695,3.292,5.308,55.286,3.056,1,0,0,0,0
PROP-86A88A187027,13.210690974923809,80.3163241488699,city_center_fallback,34.0,3.723,4.317,0.734,11.687,5.68,6.117,1.704,1.95,6.627,29.481,2.878,0,3,0,0,1
PROP-A18A49EE0073,12.861854970595948,80.08949394222218,city_center_fallback,3.7,11.086,12.39,13.249,22.336,21.024,3.118,2.581,12.256,23.56,73.331,8.378,0,0,0,0,0
PROP-FC082F802744,12.843642998892644,80.24934916451305,city_center_fallback,7.1,4.754,11.785,12.364,14.577,13.94,11.256,4.618,1.166,18.832,64.522,9.137,0,0,0,0,1
PROP-F9C90503CA0E,12.882234431971893,80.38206017869113,city_center_fallback,16.5,2.704,5.801,13.161,16.705,13.264,12.29,2.263,3.94,11.859,54.482,3.809,1,0,0,0,0
PROP-8030B24C5122,13.247849010526577,80.17202645141293,city_center_fallback,45.9,2.208,4.132,0.588,10.17,5.323,8.097,1.709,4.43,0.866,42.487,6.178,1,1,0,0,0
PROP-740BEA1D26C7,13.025600079388195,80.15941840390212,city_center_fallback,24.2,2.324,5.761,5.336,11.542,6.073,6.915,2.695,3.292,5.308,55.286,3.056,1,0,0,0,0
PROP-57D7E7126783,13.233244784490894,80.3229883171754,city_center_fallback,29.3,3.02,3.689,2.283,13.799,4.471,7.094,1.669,3.478,9.198,27.66,3.1,0,1,0,0,0
