property_master_id,city,locality,latitude,longitude,property_type,bhk,bathrooms,balconies,parking,carpet_area_sqft,builtup_area_sqft,super_builtup_area_sqft,plot_area_sqft,floor_no,total_floors,year_built,age_years,furnishing,facing,rera_registered,rera_id,listing_date,price_inr,price_lakhs,price_per_sqft,raw__property_name,raw__property_title,raw__price,raw__location,raw__description,rental_listing_count,avg_monthly_rent,median_monthly_rent,p25_monthly_rent,p75_monthly_rent,avg_rent_per_sqft,median_rent_per_sqft,avg_rental_area_sqft,rent_stddev,pct_furnished,pct_semi_furnished,dominant_bhk,rental_join_quality,annual_rent_estimate_inr,rental_yield_pct,listing_quarter,historical_quarter,hist_hpi_assessment,hist_hpi_market,hist_carpet_area_rate,hist_qoq_growth,hist_yoy_growth,hist_market_regime,hist_cpi_index,hist_cpi_yoy_growth,hist_cpi_3m_change,hist_cpi_12m_change
PROP-A67AF6F45D75,Chennai,Kanathur Reddikuppam,,,Apartment,4,4,1,,,2583,,,13.0,14.0,,,,,0,,2021-11-15,19900000,199.0,7704.22,Casagrand ECR 14,"4 BHK Flat for sale in Kanathur Reddikuppam, Chennai",₹1.99 Cr,"Kanathur Reddikuppam, Chennai","Best 4 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 4 BHK property for sale in one of Chennai's top location, Kanathur Reddikuppam. It is situated on floor 13. The total number of floors in this Apartment is 14. The property price of this unit is Rs 1.99 Cr. The built-up area is 2583 Square feet. There are 4 bedrooms and 4 bathroom. It is an ideal location for young families with kids, as this property is close to Mount Litera Zee School, OMR, Chennai, Amelio Early Education - Siruseri, and Chennai Mathematical Institute. H.",,,,,,,,,,,,,none,,,2021-Q4,2021-Q3,125.47,125.14,6830.81,3.06,9.52,Growth,87.2,4.56,1.87,3.8
PROP-0CEEF405400A,Chennai,Pozhichalur,,,Independent House,10,6,1,,500.0,7000,,,,,,,,,0,,2018-05-15,22500000,225.0,3214.29,"Ramanathan Nagar, Pozhichalur,Chennai","10 BHK Independent House for sale in Pozhichalur, Chennai",₹2.25 Cr,"Ramanathan Nagar, Pozhichalur,Chennai","Looking for a 10 BHK Independent House for sale in Chennai? Your search ends here. Buy this 10 BHK property in Chennai's finest location, Pozhichalur. This is an owner listed property and there is no brokerage involved. This Independent House is available at a reasonable price of Rs 2.25 Cr. Maintenance charges in this property is Rs 2000. The built up area of this property is 7000 Square feet. It is spacious for a family and this property has a carpet area of 500 Square feet. There are 10 bedrooms and 9 bathroom. There are a number of reputed schools in the vicinity such as Peace On Green Ear.",,,,,,,,,,,,,none,,,2018-Q2,2018-Q1,101.8,101.1,5600.0,0.0,0.0,Declining,72.2,0.0,0.14,0.0
PROP-4B8E10586D59,Chennai,West Tambaram,,,Apartment,3,3,0,,,1320,,,1.0,2.0,,,,,0,,2021-02-15,10000000,100.0,7575.76,DAC Prapthi,"3 BHK Flat for sale in West Tambaram, Chennai",₹1.0 Cr,"Kasthuribai Nagar, West Tambaram,Chennai","Property for sale in Tambaram, Chennai. This 3 BHK Apartment is located in Chennai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 1. The total number of floors in this building is 2. This Apartment's price is Rs 1.0 Cr. The built-up area is 1320 Square feet. The property has 3 bedrooms and 2 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as Hindu Mission Hospital, Annai Arul Hospital, and Kasthuri Hospital. Schools like INNOVATION ACADEMY, T.I.M.E. Kids Preschool- Tambaram.",,,,,,,,,,,,,none,,,2021-Q1,2020-Q4,116.61,116.05,6371.42,1.79,1.55,Stable,82.3,4.05,-1.32,3.2
PROP-86A88A187027,Chennai,Triplicane,,,Independent House,7,5,1,1.0,,4250,,,,,,,,,0,,2020-05-15,33300000,333.0,7835.29,"Naveenilaya,Chepauk, Triplicane,Chennai","7 BHK Independent House for sale in Triplicane, Chennai",₹3.33 Cr,"Naveenilaya,Chepauk, Triplicane,Chennai","Entire Building for sale with 7 units of single bedroom and 2 units of double bed room with ground floor Parking with Rental Yield of 1,50,000/- More About This Property 7 BHK Independent House for sale in Chennai. This property is in Triplicane, which is a coveted investment location. This tastefully designed 7 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 7 BHK property is posted directly by Owner. Contact now for more details. The price of the Independent House is Rs 3.33 Cr. Monthly maintenance charges come to Rs 3000. It is best suited for al.",,,,,,,,,,,,,none,,,2020-Q2,2020-Q1,116.25,116.11,6352.82,1.24,6.92,Growth,79.7,7.12,0.76,5.3
PROP-A18A49EE0073,Chennai,Avadi,,,Apartment,2,3,1,,,960,,,1.0,2.0,,,,,0,,2020-02-15,4800000,48.0,5000.0,VGN Spring Field Phase 1,"2 BHK Flat for sale in Avadi, Chennai",₹48.0 L,"Avadi, Chennai","Property for sale in Avadi, Chennai. This 2 BHK Apartment is located in Chennai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 1. The total number of floors in this building is 2. This Apartment's price is Rs 48.0 L. The built-up area is 960 Square feet. The property has 2 bedrooms and 2 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as PG Women & Child Clinic (OLD)-Paediatrician(Child Specialist) & Gynaecologist in Avadi, Sri Sudharsanam Hospital, and Bohra Eye Hospital. .",,,,,,,,,,,,,none,,,2020-Q1,2019-Q4,114.83,114.54,6279.19,2.01,7.64,Growth,79.1,7.62,2.06,5.6
PROP-FC082F802744,Chennai,Siruseri,,,Apartment,2,3,0,,,940,,,4.0,4.0,,,,,0,,2022-02-15,4000000,40.0,4255.32,KG Earth Homes,"2 BHK Flat for sale in Siruseri, Chennai",₹40.0 L,"Siruseri, Chennai","Price negotiable. Big hall, big balcony, gated community, gym, pool, CCP, 24x7 power supply, security, lift, play area. More About This Property 2 BHK Apartment for sale in Thalambur, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Thalambur which is a promising investment destination in Chennai. This might be your chance to grab the best 2 BHK property for sale in Thalambur. The property is on floor 4 and the total number of floors is 4. This 2 BHK Apartment is available at a reasonable price of Rs 40.0 L. Reside.",,,,,,,,,,,,,none,,,2022-Q1,2021-Q4,129.41,129.27,7034.58,3.14,10.98,Growth,87.3,6.08,0.11,5.0
PROP-F9C90503CA0E,Chennai,Sembakkam,,,Apartment,2,3,1,,,880,,,1.0,3.0,,,,,0,,2022-05-15,6000000,60.0,6818.18,"THIRAN FLATS ,Gowrivakkam, Sembakkam,Chennai","2 BHK Flat for sale in Sembakkam, Chennai",₹60.0 L,"THIRAN FLATS ,Gowrivakkam, Sembakkam,Chennai","2 BHK Apartment for sale in Chennai. This property is in Sembakkam, which is a coveted investment location. This tastefully designed 2 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. This property in Chennai is on floor 1. The total number of floors in this Apartment is 3. The price of the Apartment is Rs 60.0 L. Monthly maintenance charges come to Rs 500. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 880 Square feet. I.",,,,,,,,,,,,,none,,,2022-Q2,2022-Q1,133.89,133.84,7266.36,3.46,12.63,Growth,89.6,7.82,2.63,6.5
PROP-8030B24C5122,Chennai,Mahindra World City,,,Independent House,3,3,1,,,1700,,,,,,,,,0,,2018-08-15,7235000,72.35,4255.88,TK Jasmine Grove,"3 BHK Independent House for sale in Mahindra World City, Chennai",₹72.35 L,"Mahindra World City, Chennai","A 3 BHK Independent House for sale in Mahindra World City, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Mahindra World City's most desired properties. Contact now for more information. The price of this Independent House is Rs 72.35 L. Maintenance charges come to Rs 1700. Each unit has a built-up area of 1700 Square feet. The carpet area is 1500 Square feet. There are 3 bedrooms. There is provision for 3 bathroom. This residential property is near Vikas Mantra Public School, Vidhyasagar Happyskool, and GLEAMS K.",,,,,,,,,,,,,none,,,2018-Q3,2018-Q2,103.68,103.24,5698.06,1.85,0.0,Declining,73.6,0.0,1.94,0.0
PROP-740BEA1D26C7,Chennai,West Tambaram,,,Apartment,2,3,0,,,840,,,0.0,2.0,,,,,0,,2020-11-15,4200000,42.0,5000.0,Avenue,"2 BHK Flat for sale in West Tambaram, Chennai",₹42.0 L,"Brindavan Colony, West Tambaram,Chennai","Check out this 2 BHK Apartment for sale in Tambaram, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Tambaram is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 0. The total number of floors in this project is 2. The property's price is Rs 42.0 L. Residents in this property pay Rs 500 towards maintenance. This property is a modern-day abode, with 840 Square feet built-up area. The unit has 2 bedro.",,,,,,,,,,,,,none,,,2020-Q4,2020-Q3,114.56,113.99,6265.4,-0.7,1.77,Stable,83.4,7.61,2.84,5.9
PROP-57D7E7126783,Chennai,Chromepet,,,Apartment,1,2,0,,,535,,,,,,,,,0,,2022-05-15,3000000,30.0,5607.48,Guru Kothai Aparts,"1 BHK Flat for sale in Chromepet, Chennai",₹30.0 L,"New Colony, Chromepet,Chennai","We are the proud owners of this 1 bhk apartment available in Guru kothai apartment , chromepet, chennai south. Property Is located in the Heart place of Chrompet , New Colony Exactly Back Side of Ananda Thirumana Wedding Hall and a 10 minutes Walk To Biggest Cinema Theatre In Chrompet Vetri Theaters . And The property is very near to Railway station and Bus Stop is located very Near and For Shopping Super Saravana Stores is Located Near By the Property , This Semifurnished apartment is a exactly 24 year old property . This Property Has the best resale value and a ready to move in apartment.",,,,,,,,,,,,,none,,,2022-Q2,2022-Q1,133.89,133.84,7266.36,3.46,12.63,Growth,89.6,7.82,2.63,6.5
