city,locality,bhk,raw__bathrooms,furnishing,area_sqft,rent_inr_month,rent_per_sqft,house_type,raw__city,raw__locality,raw__area,raw__beds,raw__bathrooms,balconies,raw__furnishing,area_rate,raw__rent,city_in_primary
Mumbai,Goregaon East,2,2,Semi-Furnished,897.0,120000.0,133.7793,"2 BHK Flat for Rent in Oberoi Woods, Goregaon East, Mumbai",Mumbai,Goregaon East,897.0,2,2,0,Semi-Furnished,134.0,120000.0,True
Mumbai,Powai,1,1,Semi-Furnished,490.0,40000.0,81.6327,"1 BHK Flat for Rent in Sapphire Lakeside, Powai, Mumbai",Mumbai,Powai,490.0,1,1,0,Semi-Furnished,82.0,40000.0,True
Pune,Mundhwa,1,1,Unfurnished,550.0,12000.0,21.8182,1 BHK House for Rent in Mundhwa Pune,Pune,Mundhwa,550.0,1,1,0,Unfurnished,22.0,12000.0,True
Nagpur,Hingna,2,2,Unfurnished,1000.0,8000.0,8.0,"2 BHK Flat for Rent in Hingna, Nagpur",Nagpur,Hingna,1000.0,2,2,0,Unfurnished,8.0,8000.0,False
Mumbai,Mira Road,1,1,Unfurnished,595.0,15000.0,25.2101,"1 BHK Flat for Rent in Unique Star Harsh Vihar, Mira Road Area, Mumbai",Mumbai,Mira Road,595.0,1,1,0,Unfurnished,25.0,15000.0,True
Bengaluru,Jakkur,1,1,Unfurnished,600.0,16000.0,26.6667,1 BHK House for Rent in Jakkur Bangalore,Bangalore,Jakkur,600.0,1,1,0,Unfurnished,27.0,16000.0,True
Delhi,Chittaranjan Park,3,3,Unfurnished,1260.0,60000.0,47.619,"3 BHK Flat for Rent in Chittaranjan Park, New Delhi",New Delhi,Chittaranjan Park,1260.0,3,3,2,Unfurnished,47.66666666666666,60000.0,True
Delhi,Soami Nagar South,3,3,Semi-Furnished,2700.0,200000.0,74.0741,"3 BHK Flat for Rent in Soami Nagar South, Soami Nagar, New Delhi",New Delhi,Soami Nagar South,2700.0,3,3,2,Semi-Furnished,74.11111111111111,200000.0,True
Pune,Hadapsar,1,1,Unfurnished,650.0,11000.0,16.9231,1 BHK House for Rent in Hadapsar Pune,Pune,Hadapsar,650.0,1,1,0,Unfurnished,17.0,11000.0,True
Pune,Kharadi,1,1,Unfurnished,495.0,24000.0,48.4848,"1 BHK Flat for Rent in Riverdale Suites, Kharadi, Pune",Pune,Kharadi,495.0,1,1,0,Unfurnished,48.0,24000.0,True
Bengaluru,Indira Nagar,4,3,Semi-Furnished,2000.0,80000.0,40.0,4 BHK House for Rent in Indiranagar Bangalore,Bangalore,Indira Nagar,2000.0,4,3,0,Semi-Furnished,40.0,80000.0,True
Bengaluru,Whitefield,3,3,Unfurnished,1543.0,60000.0,38.8853,"3 BHK Flat for Rent in Whitefield, Bangalore",Bangalore,Whitefield,1543.0,3,3,0,Unfurnished,39.0,60000.0,True
Mumbai,Powai,1,2,Fully-Furnished,380.0,70000.0,184.2105,"1 BHK Flat for Rent in Hiranandani Gardens, Powai, Mumbai",Mumbai,Powai,380.0,1,2,0,Furnished,184.0,70000.0,True
Mumbai,Bandra East,3,3,Semi-Furnished,1281.0,290000.0,226.3856,"3 BHK Flat for Rent in Rustomjee Seasons, Bandra East, Mumbai",Mumbai,Bandra East,1281.0,3,3,0,Semi-Furnished,222.0,290000.0,True
Mumbai,Bandra East,4,4,Unfurnished,2200.0,350000.0,159.0909,"4 BHK Flat for Rent in Bandra East, Mumbai",Mumbai,Bandra East,2200.0,4,4,3,Unfurnished,159.0,350000.0,True
Mumbai,Jogeshwari Vikhroli Link Road,4,5,Semi-Furnished,2600.0,240000.0,92.3077,"4 BHK Flat for Rent in Oberoi Prisma, Jogeshwari Vikhroli Link Road, Mumbai",Mumbai,Jogeshwari Vikhroli Link Road,2600.0,4,5,0,Semi-Furnished,92.0,240000.0,True
Pune,Hinjewadi,2,2,Semi-Furnished,862.0,30000.0,34.8028,"2 BHK Flat for Rent in Godrej Elements, Hinjawadi, Pune",Pune,Hinjewadi,862.0,2,2,2,Semi-Furnished,35.0,30000.0,True
