canonical_field,source_column,transformation,availability,null_pct
property_master_id,generated,SHA-256 hash of key fields + row index,Full,0.0
city,Location / Property Title,Regex city extraction + canonical map,Full,0.0
locality,Location / Property Title,Prefix before city; title() + punct strip,Full,0.0
latitude,NOT IN SOURCE,None — NULL; geocoding in Phase 4,None,100.0
longitude,NOT IN SOURCE,None — NULL; geocoding in Phase 4,None,100.0
property_type,Property Title,Keyword regex (Flat/Apt/Villa/House/Plot),Full,0.0
bhk,Property Title,"Prefix integer before ""BHK"" in title",Full,0.0
bathrooms,Baths,"Cast to Int64; clipped [1,15]",Full,0.0
balconies,Balcony,Yes→1 / No→0; NaN→0,Full,0.0
parking,Description,"Regex: ""(N) parking"" or keyword present→1",Partial,97.6
carpet_area_sqft,Description,"Regex: ""carpet area of (N)""",Partial,89.4
builtup_area_sqft,Total_Area,"Cast to float; validated [50,50000]",Full,0.0
super_builtup_area_sqft,Description,"Regex: ""super built-up area (N)""",Partial,99.9
plot_area_sqft,Description,"Regex: ""plot area / plot size (N)""",Partial,99.9
floor_no,Description,"Regex: ""on floor (N)"" / ""floor number (N)""",Partial,36.0
total_floors,Description,"Regex: ""total number of floors is (N)""",Partial,49.2
year_built,Description,"Regex: ""built/constructed in (YYYY)""",Sparse,100.0
age_years,Description (derived),current_year - year_built,Sparse,100.0
furnishing,Description,Regex: fully/semi-furnished / unfurnished,Partial,98.9
facing,Description,"Regex: ""(direction)-facing""",Sparse,89.7
rera_registered,Description,"Keyword match ""RERA registered"" → 1 else 0",Full,0.0
rera_id,Description,"Regex: ""RERA (alphanumeric ID)""",Sparse,100.0
listing_date,NOT IN SOURCE,None — NULL; reserved for future enrichment,None,100.0
price_inr,Price,parse_price_to_lakhs × 100000; cast Int64,Full,0.0
price_lakhs,Price,parse Lakh/Crore strings → float Lakhs,Full,0.0
price_per_sqft,Derived,price_inr / builtup_area_sqft,Full,0.0
raw__property_name,Name,Verbatim copy,Full,0.0
raw__property_title,Property Title,Verbatim copy,Full,0.0
raw__price,Price,Verbatim copy,Full,0.0
raw__location,Location,Verbatim copy,Full,0.0
raw__description,Description,Cleaned (whitespace + HTML strip),Full,0.0
