property_master_id,price_inr,city,locality,property_type,bhk,bathrooms,balconies,builtup_area_sqft,floor_no,total_floors,parking,furnishing,facing,latitude,longitude,schools_distance_km,hospitals_distance_km,metro_stations_distance_km,railway_stations_distance_km,malls_distance_km,parks_distance_km,transit_stations_distance_km,accessibility_score,avg_monthly_rent,median_monthly_rent,median_rent_per_sqft,rental_yield_pct,rental_listing_count,hist_hpi_market,hist_qoq_growth,hist_yoy_growth,hist_market_regime,repo_rate,bank_rate,CRR,SLR,repo_rate_change,repo_rate_3m_change,repo_rate_12m_change,hist_cpi_index,hist_cpi_yoy_growth,hist_cpi_3m_change,hist_cpi_12m_change,rera_registered,project_status,completion_percent,construction_duration_months,project_age,developer_project_count,developer_completion_rate,developer_lapsed_project_count,aqi,pm25,pm10,aqi_30d_avg,aqi_90d_avg,derived_area_per_bhk,derived_bathrooms_per_bhk,derived_carpet_efficiency,derived_floor_ratio,derived_area_per_bhk_log1p,derived_carpet_efficiency_log1p,derived_rent_per_sqft_log1p,derived_rental_yield_log1p,listing_date,price_per_sqft,target_locality_median_ppsf
PROP-A67AF6F45D75,19900000,Chennai,Kanathur Reddikuppam,Apartment,4,4,1,2583,13.0,14.0,,,,12.87950981734791,80.23584456593528,3.244,9.43,8.959,10.868,10.873,8.456,2.283,12.3,,,,,,125.14,3.06,9.52,Growth,4.0,4.25,4.0,18.0,0.0,0.0,0.0,87.2,4.56,1.87,3.8,1,Ongoing,70.0,30.0,21.0,22,0.727,0,73,39,64,73,44.3,645.75,1.0,,0.929,6.471959821066139,,,,2021-11-15,7704.22,6619.72
PROP-0CEEF405400A,22500000,Chennai,Pozhichalur,Independent House,10,6,1,7000,,,,,,13.219251789386735,80.03773843117284,7.731,5.998,6.894,18.729,5.437,16.074,13.58,12.2,,,,,,101.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,81,46,75,81,83.7,700.0,0.6,0.071,,6.55250788703459,0.0685927914656117,,,2018-05-15,3214.29,4230.315
PROP-4B8E10586D59,10000000,Chennai,West Tambaram,Apartment,3,3,0,1320,1.0,2.0,,,,13.025600079388196,80.15941840390212,2.324,5.761,5.336,11.542,6.073,6.915,3.292,24.2,,,,,,116.05,1.79,1.55,Stable,4.0,4.25,3.0,18.0,0.0,0.0,-1.15,82.3,4.05,-1.32,3.2,1,Ongoing,60.0,30.0,18.0,9,0.667,0,102,53,88,102,102.3,440.0,1.0,,0.5,6.089044875446846,,,,2021-02-15,7575.76,5323.895
PROP-86A88A187027,33300000,Chennai,Triplicane,Independent House,7,5,1,4250,,,1.0,,,13.210690974923809,80.3163241488699,3.723,4.317,0.734,11.687,5.68,6.117,1.95,34.0,,,,,,116.11,1.24,6.92,Growth,4.4,4.65,3.0,18.0,0.0,-0.75,-1.6,79.7,7.12,0.76,5.3,0,Unregistered,,,,0,1.0,0,72,38,62,72,74.7,607.143,0.714,,,6.410410051680024,,,,2020-05-15,7835.29,9487.18
PROP-A18A49EE0073,4800000,Chennai,Avadi,Apartment,2,3,1,960,1.0,2.0,,,,12.861854970595948,80.08949394222218,11.086,12.39,13.249,22.336,21.024,3.118,12.256,3.7,,,,,,114.54,2.01,7.64,Growth,5.15,5.4,4.0,18.25,0.0,0.0,-1.35,79.1,7.62,2.06,5.6,1,Ongoing,62.0,50.0,31.0,16,0.438,0,94,50,82,94,99.0,480.0,1.5,,0.5,6.175867270105761,,,,2020-02-15,5000.0,4959.014999999999
PROP-FC082F802744,4000000,Chennai,Siruseri,Apartment,2,3,0,940,4.0,4.0,,,,12.843642998892644,80.24934916451305,4.754,11.785,12.364,14.577,13.94,11.256,1.166,7.1,,,,,,129.27,3.14,10.98,Growth,4.0,4.25,4.0,18.0,0.0,0.0,0.0,87.3,6.08,0.11,5.0,1,Ongoing,64.3,56.0,36.0,16,0.812,1,97,51,84,97,94.7,470.0,1.5,,1.0,6.154858094016418,,,,2022-02-15,4255.32,4838.504999999999
PROP-F9C90503CA0E,6000000,Chennai,Sembakkam,Apartment,2,3,1,880,1.0,3.0,,,,12.882234431971892,80.38206017869113,2.704,5.801,13.161,16.705,13.264,12.29,3.94,16.5,,,,,,133.84,3.46,12.63,Growth,4.0,4.25,4.0,18.0,0.0,0.0,0.0,89.6,7.82,2.63,6.5,0,Unregistered,,,,0,1.0,0,56,29,47,56,59.3,440.0,1.5,,0.333,6.089044875446846,,,,2022-05-15,6818.18,5688.28
PROP-8030B24C5122,7235000,Chennai,Mahindra World City,Independent House,3,3,1,1700,,,,,,13.247849010526576,80.17202645141293,2.208,4.132,0.588,10.17,5.323,8.097,4.43,45.9,,,,,,103.24,1.85,0.0,Declining,6.25,6.5,4.0,19.5,0.0,0.25,0.0,73.6,0.0,1.94,0.0,1,Ongoing,34.0,53.0,18.0,4,0.5,0,37,21,34,37,64.7,566.667,1.0,,,6.341534979193467,,,,2018-08-15,4255.88,4971.17
PROP-740BEA1D26C7,4200000,Chennai,West Tambaram,Apartment,2,3,0,840,0.0,2.0,,,,13.025600079388196,80.15941840390212,2.324,5.761,5.336,11.542,6.073,6.915,3.292,24.2,,,,,,113.99,-0.7,1.77,Stable,4.0,4.25,3.0,18.0,0.0,0.0,-1.15,83.4,7.61,2.84,5.9,0,Unregistered,,,,0,1.0,0,71,39,64,71,43.0,420.0,1.5,,0.0,6.042632833682381,,,,2020-11-15,5000.0,5323.895
PROP-57D7E7126783,3000000,Chennai,Chromepet,Apartment,1,2,0,535,,,,,,13.233244784490894,80.3229883171754,3.02,3.689,2.283,13.799,4.471,7.094,3.478,29.3,,,,,,133.84,3.46,12.63,Growth,4.0,4.25,4.0,18.0,0.0,0.0,0.0,89.6,7.82,2.63,6.5,1,Ongoing,42.9,35.0,15.0,17,0.765,1,81,44,72,81,84.7,535.0,2.0,,,6.284134161070802,,,,2022-05-15,5607.48,5607.48
PROP-F4ACF6362C46,2940000,Chennai,Mahindra World City,Apartment,1,2,1,581,5.0,,,,,13.247849010526576,80.17202645141293,2.208,4.132,0.588,10.17,5.323,8.097,4.43,45.9,,,,,,116.05,1.79,1.55,Stable,4.0,4.25,3.0,18.0,0.0,0.0,-1.15,82.3,4.05,-1.32,3.2,1,Ongoing,46.5,43.0,20.0,12,0.667,0,109,59,98,109,113.0,581.0,2.0,,,6.366470447731438,,,,2021-02-15,5060.24,4971.17
PROP-A7B4990CB17F,13000000,Chennai,Pallikaranai,Apartment,3,3,0,1444,4.0,,,,,13.02300646385837,80.27019484891737,3.301,1.852,2.106,2.964,5.071,1.317,0.774,44.9,,,,,,106.45,1.36,0.0,Declining,6.5,6.75,4.0,19.25,0.0,0.0,0.5,73.5,1.94,-0.81,1.4,1,Ongoing,53.3,45.0,24.0,10,0.5,0,90,49,80,90,96.7,481.333,1.0,,,6.178634746878132,,,,2019-02-15,9002.77,5993.48
PROP-6A8F2CA5D4A7,85000000,Chennai,West Mambalam,Villa,6,1,1,6000,,,,,,13.2692270641549,80.2579986514664,3.657,4.883,4.163,12.296,8.486,1.503,0.894,25.5,,,,,,103.24,1.85,0.0,Declining,6.25,6.5,4.0,19.5,0.0,0.25,0.0,73.6,0.0,1.94,0.0,0,Unregistered,,,,0,1.0,0,37,21,34,37,64.7,1000.0,0.167,,,6.90875477931522,,,,2018-08-15,14166.67,11387.2
PROP-3EF538C2BB00,11500000,Chennai,Ashok Nagar,Apartment,2,3,1,878,3.0,,,,,13.293018719344795,80.08112589339463,7.121,10.429,10.802,20.21,7.479,18.126,14.986,11.3,,,,,,137.05,2.5,12.72,Growth,4.9,5.15,4.5,18.0,0.0,0.9,0.9,91.3,6.66,1.9,5.7,0,Unregistered,,,,0,1.0,0,35,19,31,35,62.3,439.0,1.5,,,6.0867747269123065,,,,2022-08-15,13097.95,12017.725
PROP-106DAED671B6,4900000,Chennai,Madambakkam,Apartment,2,3,0,944,1.0,2.0,,,,13.087314477574838,80.08595065143106,2.682,2.674,5.269,11.341,4.094,4.088,4.053,28.2,,,,,,106.45,1.36,0.0,Declining,6.5,6.75,4.0,19.25,0.0,0.0,0.5,73.5,1.94,-0.81,1.4,0,Unregistered,,,,0,1.0,0,90,49,80,90,96.7,472.0,1.5,,0.5,6.159095388491933,,,,2019-02-15,5190.68,5174.64
PROP-D5F1834163A7,5700000,Chennai,Perungalathur,Apartment,3,3,0,1317,4.0,4.0,,,,12.910005261985884,80.11588154060858,5.024,8.119,7.493,17.203,15.888,6.217,7.816,8.7,,,,,,112.48,1.68,6.95,Growth,5.15,5.4,4.0,18.5,-0.25,-0.6,-1.35,77.5,4.59,1.97,3.4,1,Ongoing,25.8,31.0,8.0,5,0.4,0,69,39,63,69,43.0,439.0,1.0,,1.0,6.0867747269123065,,,,2019-11-15,4328.02,4866.18
PROP-FDCB07611F18,2500000,Chennai,Padappai,Apartment,2,3,0,820,2.0,2.0,,,,13.119156389350255,80.31923108544203,1.604,3.772,3.497,6.013,3.483,2.438,0.717,38.7,,,,,,114.54,2.01,7.64,Growth,5.15,5.4,4.0,18.25,0.0,0.0,-1.35,79.1,7.62,2.06,5.6,0,Unregistered,,,,0,1.0,0,117,64,106,117,118.3,410.0,1.5,,1.0,6.018593214496234,,,,2020-02-15,3048.78,3200.0
PROP-A74166BFD422,26000000,Chennai,Nungambakkam,Apartment,3,3,1,1658,3.0,3.0,,,,13.13954631165087,80.3484827068331,2.502,1.256,2.121,7.489,1.545,4.11,1.148,45.0,,,,,,133.84,3.46,12.63,Growth,4.0,4.25,4.0,18.0,0.0,0.0,0.0,89.6,7.82,2.63,6.5,1,Ongoing,23.5,51.0,12.0,7,0.714,1,81,44,72,81,84.7,552.667,1.0,,1.0,6.316563422991964,,,,2022-05-15,15681.54,11555.84
