property_master_id,price_inr,city,locality,property_type,bhk,bathrooms,balconies,builtup_area_sqft,floor_no,total_floors,parking,furnishing,facing,latitude,longitude,schools_distance_km,hospitals_distance_km,metro_stations_distance_km,railway_stations_distance_km,malls_distance_km,parks_distance_km,transit_stations_distance_km,accessibility_score,avg_monthly_rent,median_monthly_rent,median_rent_per_sqft,rental_listing_count,hist_hpi_market,hist_qoq_growth,hist_yoy_growth,hist_market_regime,repo_rate,bank_rate,CRR,SLR,repo_rate_change,repo_rate_3m_change,repo_rate_12m_change,hist_cpi_index,hist_cpi_yoy_growth,hist_cpi_3m_change,hist_cpi_12m_change,rera_registered,project_status,completion_percent,construction_duration_months,project_age,developer_project_count,developer_completion_rate,developer_lapsed_project_count,aqi,pm25,pm10,aqi_30d_avg,aqi_90d_avg,derived_area_per_bhk,derived_bathrooms_per_bhk,derived_carpet_efficiency,derived_floor_ratio,derived_area_per_bhk_log1p,derived_carpet_efficiency_log1p,derived_rent_per_sqft_log1p,historical_locality_median_ppsf,historical_rental_yield_pct,derived_historical_rental_yield_log1p
PROP-38EA3789666C,17500000,Chennai,Alwarpet,Apartment,2,3,0,1250,1.0,4.0,,,,13.050309459149275,80.50809243663892,5.431,5.421,6.895,6.762,6.895,7.217,3.391,13.6,,,,,101.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,81,46,75,81,83.7,625.0,1.5,,0.25,6.439350371100098,,,6033.485000000001,,
PROP-E798164E84DB,3500000,Bengaluru,Kengeri Satellite Town,Apartment,1,2,0,600,0.0,3.0,,,,13.049486620076587,77.83412368577534,2.89,9.73,9.253,15.574,13.655,5.336,7.372,16.3,11166.67,8000.0,15.38,3.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,75.0,52.0,39.0,13,0.231,0,61,32,53,61,63.0,600.0,2.0,,0.0,6.398594934535208,,2.796061078424924,6033.485000000001,2.651867038701513,1.295238554266413
PROP-A79BAE478D1E,3000000,Delhi,Sector 2 Rohini,Apartment,2,2,0,500,1.0,1.0,,,North,28.73235219676586,77.3597353956887,2.775,6.206,7.244,7.448,13.626,2.447,4.086,22.3,12000.0,12000.0,20.0,1.0,100.2,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,228,126,207,228,239.7,250.0,1.0,,1.0,5.525452939131784,,3.044522437723423,6033.485000000001,4.773360669662723,1.7532543493850026
PROP-FED461A27222,4000000,Chennai,West Tambaram,Apartment,2,2,1,790,1.0,3.0,,,,13.025600079388196,80.15941840390212,2.324,5.761,5.336,11.542,6.073,6.915,3.292,24.2,,,,,101.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,45.0,60.0,27.0,7,0.571,0,56,30,49,56,62.3,395.0,1.0,,0.333,5.981414211254481,,,6033.485000000001,,
PROP-92F449C3516F,7123000,Chennai,Tharapakkam,Apartment,2,3,0,1023,1.0,,,,,13.068265362542462,80.10935060546676,1.944,1.178,1.997,10.258,2.724,2.149,1.827,46.4,,,,,101.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,56,30,49,56,62.3,511.5,1.5,,,6.239300711012564,,,6033.485000000001,,
PROP-1386E0282A51,12000000,Bengaluru,Sanjaynagar,Apartment,3,3,1,1500,2.0,12.0,,,,12.759924219379304,77.44036686068749,11.516,5.045,4.293,12.526,7.254,13.803,12.518,13.9,56584.17,35000.0,30.0,1777.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,64,34,55,64,67.3,500.0,1.0,,0.167,6.2166061010848646,,3.4339872044851463,6033.485000000001,4.640767317727648,1.7300201054985995
PROP-5A15969E04AC,9780000,Delhi,Bindapur,Independent House,3,3,1,900,,3.0,,,South,28.476855219774567,77.12218747058725,3.152,5.043,6.268,9.153,3.797,2.328,3.261,23.9,10666.67,11000.0,17.08,6.0,100.2,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,182,105,171,182,201.7,300.0,1.0,,,5.707110264748875,,2.89480635496403,6033.485000000001,2.43087811880972,1.2328162397273312
PROP-FF908741BF94,7500000,Delhi,Patparganj,Apartment,3,3,0,1000,1.0,3.0,,,,28.61406274207121,77.27629104568665,1.907,5.127,3.228,10.989,7.078,4.329,1.572,27.9,31400.0,31000.0,28.84,10.0,100.2,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,228,126,207,228,239.7,333.333,1.0,,0.333,5.812137502284356,,3.3958497753355603,6033.485000000001,6.165590864981017,1.96929052333448
PROP-2B923AFC9958,7500000,Bengaluru,Vijayanagar,Independent House,2,2,1,500,,,,,,12.91575106016337,77.45353955692009,2.594,3.251,5.921,6.084,3.707,6.285,2.613,28.1,22700.0,25000.0,21.88,5.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,64,34,55,64,67.3,250.0,1.0,,,5.525452939131784,,3.130263166511597,6033.485000000001,9.944501395130674,2.392837174444286
PROP-64A9933E4584,6500000,Delhi,Sangam Vihar,Independent House,2,2,0,450,,,,,,28.63918615545982,77.10704009089369,3.249,2.104,8.192,3.784,3.275,3.116,4.532,31.8,10625.0,9000.0,25.04,4.0,100.2,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,182,105,171,182,201.7,225.0,1.0,,,5.420534999272286,,3.2596338173403683,6033.485000000001,3.977800558052269,1.6049881384686775
PROP-BEDF6EE3E0C3,3700000,Chennai,Kalavakkam,Apartment,2,3,0,827,8.0,8.0,,,,12.915080658030613,80.22679126570141,2.679,6.979,5.041,7.518,8.485,6.805,2.177,18.4,,,,,101.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Completed,100.0,25.0,37.0,12,0.583,0,56,30,49,56,62.3,413.5,1.5,,1.0,6.02707297457535,,,6033.485000000001,,
PROP-98A17047105D,13300000,Chennai,Shenoy Nagar,Apartment,2,3,1,1110,3.0,3.0,,,,12.976073238630978,80.47949545888667,5.968,5.37,10.456,13.944,2.517,3.613,7.608,21.4,,,,,101.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,56,30,49,56,62.3,555.0,1.5,,1.0,6.320768294250582,,,6033.485000000001,,
PROP-8E7090840C1D,4000000,Hyderabad,Badangpet,Apartment,2,3,1,1000,2.0,3.0,,,,17.581285345423805,78.64816453530057,2.379,7.81,5.62,17.93,9.105,4.517,4.457,18.0,,,,,102.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,73,40,67,73,78.7,500.0,1.5,,0.667,6.2166061010848646,,,6033.485000000001,,
