property_master_id,price_inr,city,locality,property_type,bhk,bathrooms,balconies,builtup_area_sqft,floor_no,total_floors,parking,furnishing,facing,latitude,longitude,schools_distance_km,hospitals_distance_km,metro_stations_distance_km,railway_stations_distance_km,malls_distance_km,parks_distance_km,transit_stations_distance_km,accessibility_score,avg_monthly_rent,median_monthly_rent,median_rent_per_sqft,rental_listing_count,hist_hpi_market,hist_qoq_growth,hist_yoy_growth,hist_market_regime,repo_rate,bank_rate,CRR,SLR,repo_rate_change,repo_rate_3m_change,repo_rate_12m_change,hist_cpi_index,hist_cpi_yoy_growth,hist_cpi_3m_change,hist_cpi_12m_change,rera_registered,project_status,completion_percent,construction_duration_months,project_age,developer_project_count,developer_completion_rate,developer_lapsed_project_count,aqi,pm25,pm10,aqi_30d_avg,aqi_90d_avg,derived_area_per_bhk,derived_bathrooms_per_bhk,derived_carpet_efficiency,derived_floor_ratio,derived_area_per_bhk_log1p,derived_carpet_efficiency_log1p,derived_rent_per_sqft_log1p,historical_locality_median_ppsf,historical_rental_yield_pct,derived_historical_rental_yield_log1p
PROP-7530E7CD300A,6500000,Hyderabad,Chandanagar,Apartment,3,3,0,1520,3.0,3.0,,,,17.538025753178143,78.44334842399994,1.671,1.989,2.791,13.274,4.396,8.443,2.631,41.8,,,,,117.24,-0.62,5.48,Growth,4.0,4.25,3.0,18.0,0.0,-0.4,-1.75,81.1,6.71,1.76,5.1,1,Ongoing,19.2,52.0,10.0,12,0.667,0,45,24,40,45,72.3,506.667,1.0,,1.0,6.229825720825654,,,4799.13,,
PROP-D8EBB2D3F904,2115000,Chennai,Chengalpattu,Independent House,1,2,0,400,,,,,,13.317836255024051,80.40625085475251,9.48,4.153,2.574,25.169,10.623,5.824,4.976,15.3,,,,,125.14,3.06,9.52,Growth,4.0,4.25,4.0,18.0,0.0,0.0,0.0,87.2,4.56,1.87,3.8,0,Unregistered,,,,0,1.0,0,90,48,79,90,55.0,400.0,2.0,,,5.993961427306569,,,4375.0,,
PROP-CAC8EE55D7D0,4200000,Mumbai,Bhandup West,Apartment,2,1,1,285,2.0,7.0,,,,19.311547673297827,73.05614244004238,9.498,11.762,5.508,14.448,22.396,9.7,2.124,4.0,37136.36,38500.0,61.88,22.0,136.43,2.35,12.35,Growth,4.9,5.15,4.5,18.0,0.0,0.9,0.9,91.3,6.66,1.9,5.7,0,Unregistered,,,,0,1.0,0,44,23,39,44,75.7,142.5,0.5,,0.286,4.966335035199676,,4.141228148120951,15104.105,10.732530206714978,2.4623653433019133
PROP-CB5580689434,2500000,Pune,Vadgaon Budruk,Apartment,1,2,1,520,2.0,5.0,,,,18.400138101875648,73.95699438113189,3.355,1.614,2.456,4.346,2.013,6.797,5.033,39.5,23500.0,10500.0,18.58,3.0,121.68,2.23,5.83,Growth,4.0,4.25,4.0,18.0,0.0,0.0,0.0,85.6,5.55,3.01,4.5,0,Unregistered,,,,0,1.0,0,38,21,34,38,70.7,520.0,2.0,,0.4,6.255750041753367,,2.9745086371023644,4313.860000000001,5.616957720178501,1.8896357054339463
PROP-95D54E473276,6000000,Delhi,Kondli,Apartment,2,3,1,1000,3.0,3.0,,,North-East,28.80837154890786,77.16373446212687,3.589,6.017,4.785,10.024,5.467,0.943,3.277,25.9,2900.0,2900.0,24.17,1.0,100.2,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Completed,100.0,25.0,33.0,48,0.146,0,228,126,207,228,239.7,500.0,1.5,,1.0,6.2166061010848646,,3.2256528091472245,6033.485000000001,0.5767810809175791,0.4553854783810301
PROP-B1637C52AA5D,6500000,Bengaluru,Chikkanagamangala,Apartment,2,3,1,1650,2.0,4.0,,,,13.051522757767746,77.74400078617172,3.086,3.313,2.622,8.68,5.486,4.111,3.129,29.3,56584.17,35000.0,30.0,1777.0,106.95,1.83,0.0,Declining,6.5,6.75,4.0,19.25,0.0,0.0,0.5,73.5,1.94,-0.81,1.4,1,Ongoing,80.0,45.0,36.0,4,0.75,0,93,50,82,93,91.7,825.0,1.5,,0.5,6.716594773520978,,3.4339872044851463,5875.96,4.331980723923487,1.6737227871417892
PROP-3CEE656CF538,1600000,Bengaluru,Anjanapura Township,Apartment,1,2,0,475,3.0,10.0,,,South,13.097792912580337,77.56211269188564,1.453,4.693,4.645,9.309,0.693,5.54,1.833,34.3,30000.0,30000.0,18.75,1.0,117.94,1.5,7.77,Growth,4.4,4.65,3.0,18.0,0.0,-0.75,-1.6,79.7,7.12,0.76,5.3,0,Unregistered,,,,0,1.0,0,61,32,53,61,63.0,475.0,2.0,,0.3,6.16541785423142,,2.9831534913471307,4938.27,15.34737340894899,2.794067236667323
PROP-20486AE557BE,15000000,Bengaluru,Srirampuram,Independent House,5,3,1,1040,,,,,,12.764670279862838,77.58654200577821,5.386,5.94,4.068,22.419,4.693,3.029,5.51,18.2,13000.0,13000.0,32.5,1.0,117.59,-0.38,4.44,Stable,4.0,4.25,3.0,18.0,0.0,-0.4,-1.75,81.1,6.71,1.76,5.1,0,Unregistered,,,,0,1.0,0,35,19,31,35,59.0,208.0,0.6,,,5.342334251964811,,3.5115454388310208,7753.900000000001,1.93451037542398,1.076540616680126
PROP-78A1015958BC,2400000,Bengaluru,Electronic City Phase Ii,Apartment,2,3,1,870,2.0,4.0,,,,12.893519276569284,77.49948076057048,5.608,5.278,6.906,8.366,5.058,2.38,2.268,24.5,56584.17,35000.0,30.0,1777.0,109.42,2.27,7.29,Growth,6.0,6.25,4.0,19.25,-0.25,-0.5,0.0,74.4,3.05,1.22,2.2,0,Unregistered,,,,0,1.0,0,68,37,61,68,70.7,435.0,1.5,,0.5,6.077642243349034,,3.4339872044851463,5384.62,8.965509556656833,2.29913008699434
PROP-D27FE8ED9C9F,7200000,Bengaluru,Chikkabidarakallu,Independent House,6,3,1,1800,,,,,,12.963201187977512,77.8387680538789,3.993,5.192,9.037,9.295,13.482,8.469,6.234,15.8,8000.0,8000.0,10.81,1.0,136.83,2.79,11.52,Growth,4.9,5.15,4.5,18.0,0.0,0.9,0.9,91.3,6.66,1.9,5.7,0,Unregistered,,,,0,1.0,0,32,16,27,32,52.7,300.0,0.5,,,5.707110264748875,,2.468946630209271,5747.13,0.9279994246403568,0.6564828977652578
