property_master_id,price_inr,city,locality,property_type,bhk,bathrooms,balconies,builtup_area_sqft,floor_no,total_floors,parking,furnishing,facing,latitude,longitude,schools_distance_km,hospitals_distance_km,metro_stations_distance_km,railway_stations_distance_km,malls_distance_km,parks_distance_km,transit_stations_distance_km,accessibility_score,avg_monthly_rent,median_monthly_rent,median_rent_per_sqft,rental_yield_pct,rental_listing_count,hist_hpi_market,hist_qoq_growth,hist_yoy_growth,hist_market_regime,repo_rate,bank_rate,CRR,SLR,repo_rate_change,repo_rate_3m_change,repo_rate_12m_change,hist_cpi_index,hist_cpi_yoy_growth,hist_cpi_3m_change,hist_cpi_12m_change,rera_registered,project_status,completion_percent,construction_duration_months,project_age,developer_project_count,developer_completion_rate,developer_lapsed_project_count,aqi,pm25,pm10,aqi_30d_avg,aqi_90d_avg,derived_area_per_bhk,derived_bathrooms_per_bhk,derived_carpet_efficiency,derived_floor_ratio,derived_area_per_bhk_log1p,derived_carpet_efficiency_log1p,derived_rent_per_sqft_log1p,derived_rental_yield_log1p,listing_date,price_per_sqft,target_locality_median_ppsf
PROP-13F72F2ABBF5,3200000,Kolkata,Garfa,Apartment,2,3,1,917,1.0,4.0,,,,22.4853383718275,88.56177485359795,10.493,8.416,9.944,13.756,3.087,14.74,2.609,10.4,,,,,,100.4,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,108,56,92,108,106.3,458.5,1.5,,0.25,6.1301389417957415,,,,2018-05-15,3489.64,3489.64
PROP-D2DA3F3C8CBC,3500000,Pune,Hadapsar,Independent House,2,2,1,500,,,,,,18.38689666136795,73.75193017434535,2.644,1.512,4.281,5.773,6.954,6.752,0.424,32.3,25679.16,20500.0,27.76,7.0286,104.0,100.5,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,74,41,67,74,84.0,250.0,1.0,,,5.525452939131784,,3.358985532852846,2.083010166556861,2018-05-15,7000.0,5197.8
PROP-7CA6E0A93091,6500000,Kolkata,Tollygunge,Apartment,2,3,1,900,1.0,3.0,,,,22.558715,88.4134895,0.536,2.772,3.589,8.012,0.982,2.628,2.383,50.0,,,,,,100.4,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,51.9,54.0,28.0,5,0.4,0,108,56,92,108,106.3,450.0,1.5,,0.333,6.111467339502679,,,,2018-05-15,7222.22,5686.335
PROP-38EA3789666C,17500000,Chennai,Alwarpet,Apartment,2,3,0,1250,1.0,4.0,,,,13.050309459149275,80.50809243663892,5.431,5.421,6.895,6.762,6.895,7.217,3.391,13.6,,,,,,101.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,81,46,75,81,83.7,625.0,1.5,,0.25,6.439350371100098,,,,2018-05-15,14000.0,11851.85
PROP-E798164E84DB,3500000,Bengaluru,Kengeri Satellite Town,Apartment,1,2,0,600,0.0,3.0,,,,13.049486620076587,77.83412368577534,2.89,9.73,9.253,15.574,13.655,5.336,7.372,16.3,11166.67,8000.0,15.38,2.7429,3.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,75.0,52.0,39.0,13,0.231,0,61,32,53,61,63.0,600.0,2.0,,0.0,6.398594934535208,,2.796061078424924,1.3198607120278625,2018-05-15,5833.33,5512.62
PROP-CBCFC1E18ED9,17500000,Pune,Wakad,Apartment,3,3,0,1210,2.0,12.0,,,,18.543019,73.865467,1.47,2.735,1.347,6.634,2.928,1.732,1.878,49.8,33144.23,30000.0,33.86,2.0571,52.0,100.5,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,47.2,53.0,25.0,8,0.25,0,74,41,67,74,84.0,403.333,1.0,,0.167,6.002238795873293,,3.551340040091875,1.117466754182641,2018-05-15,14462.81,7780.08
PROP-A79BAE478D1E,3000000,Delhi,Sector 2 Rohini,Apartment,2,2,0,500,1.0,1.0,,,North,28.73235219676586,77.3597353956887,2.775,6.206,7.244,7.448,13.626,2.447,4.086,22.3,12000.0,12000.0,20.0,4.8,1.0,100.2,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,228,126,207,228,239.7,250.0,1.0,,1.0,5.525452939131784,,3.044522437723423,1.7578579175523736,2018-05-15,6000.0,6611.110000000001
PROP-FED461A27222,4000000,Chennai,West Tambaram,Apartment,2,2,1,790,1.0,3.0,,,,13.025600079388196,80.15941840390212,2.324,5.761,5.336,11.542,6.073,6.915,3.292,24.2,,,,,,101.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,45.0,60.0,27.0,7,0.571,0,56,30,49,56,62.3,395.0,1.0,,0.333,5.981414211254481,,,,2018-05-15,5063.29,5166.67
PROP-92F449C3516F,7123000,Chennai,Tharapakkam,Apartment,2,3,0,1023,1.0,,,,,13.068265362542462,80.10935060546676,1.944,1.178,1.997,10.258,2.724,2.149,1.827,46.4,,,,,,101.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,56,30,49,56,62.3,511.5,1.5,,,6.239300711012564,,,,2018-05-15,6962.85,5333.33
PROP-8139CFDBDEB2,7500000,Kolkata,Kamardanga,Apartment,3,3,1,1000,2.0,5.0,,,,22.540306985751275,88.45854032618254,3.114,1.725,2.149,8.087,5.624,4.912,0.748,37.0,,,,,,100.4,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,108,56,92,108,106.3,333.333,1.0,,0.4,5.812137502284356,,,,2018-05-15,7500.0,4266.67
