property_master_id,price_inr,city,locality,property_type,bhk,bathrooms,balconies,builtup_area_sqft,floor_no,total_floors,parking,furnishing,facing,latitude,longitude,schools_distance_km,hospitals_distance_km,metro_stations_distance_km,railway_stations_distance_km,malls_distance_km,parks_distance_km,transit_stations_distance_km,accessibility_score,avg_monthly_rent,median_monthly_rent,median_rent_per_sqft,rental_listing_count,hist_hpi_market,hist_qoq_growth,hist_yoy_growth,hist_market_regime,repo_rate,bank_rate,CRR,SLR,repo_rate_change,repo_rate_3m_change,repo_rate_12m_change,hist_cpi_index,hist_cpi_yoy_growth,hist_cpi_3m_change,hist_cpi_12m_change,rera_registered,project_status,completion_percent,construction_duration_months,project_age,developer_project_count,developer_completion_rate,developer_lapsed_project_count,aqi,pm25,pm10,aqi_30d_avg,aqi_90d_avg,derived_area_per_bhk,derived_bathrooms_per_bhk,derived_carpet_efficiency,derived_floor_ratio,derived_area_per_bhk_log1p,derived_carpet_efficiency_log1p,derived_rent_per_sqft_log1p,historical_locality_median_ppsf,historical_rental_yield_pct,derived_historical_rental_yield_log1p
PROP-13F72F2ABBF5,3200000,Kolkata,Garfa,Apartment,2,3,1,917,1.0,4.0,,,,22.4853383718275,88.56177485359795,10.493,8.416,9.944,13.756,3.087,14.74,2.609,10.4,,,,,100.4,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,108,56,92,108,106.3,458.5,1.5,,0.25,6.1301389417957415,,,6033.485000000001,,
PROP-970EEEE66188,12000000,Bengaluru,Kattigenahalli,Independent House,4,2,1,3200,,,,,,12.986742763470367,77.62821694571846,1.794,1.882,0.834,1.462,2.517,2.504,1.118,54.6,60000.0,60000.0,20.98,1.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,61,32,53,61,63.0,800.0,0.5,,,6.68586094706836,,3.090132948975475,6033.485000000001,3.729188023174003,1.553753522476761
PROP-29381761D8F2,1600000,Pune,Bebadohal,Apartment,2,2,1,500,2.0,7.0,,,,18.517768936386634,73.68677173138448,5.678,4.043,3.147,7.048,2.789,0.139,3.958,38.5,32222.55,23000.0,28.39,1762.0,100.5,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,21.7,60.0,13.0,9,0.333,0,74,41,67,74,84.0,250.0,1.0,0.86,0.286,5.525452939131784,0.6205764877251099,3.380654480430826,6033.485000000001,9.14894128352022,2.317369393005096
PROP-662AE6BBCBAD,9500000,Mumbai,Borivali West,Apartment,1,2,1,515,3.0,4.0,,,South,18.86840065738881,72.58436989984196,5.908,11.049,7.102,36.068,15.724,6.975,14.855,6.0,42866.67,40000.0,69.09,30.0,100.9,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,90,48,79,90,96.3,515.0,2.0,,0.75,6.246106765481563,,4.249780130512233,6033.485000000001,15.447769157484542,2.80018985448826
PROP-0A1560B47D8E,4500000,Mumbai,Malad East,Apartment,2,1,0,315,6.0,7.0,,,,19.136530749845065,72.61268998234127,1.418,8.045,11.548,30.709,8.416,5.805,8.848,22.8,61193.55,45000.0,76.0,31.0,100.9,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,32.1,56.0,18.0,13,0.538,0,90,48,79,90,96.3,157.5,0.5,,0.857,5.065754593317335,,4.343805421853684,6033.485000000001,28.412861128944783,3.3814320320552764
PROP-46539ADA8711,2000000,Pune,Bhosari,Apartment,2,1,1,365,1.0,3.0,,,,18.628139797819028,73.88062477148745,1.622,1.463,4.929,8.915,6.755,2.004,2.198,39.1,17666.67,17500.0,18.33,3.0,100.5,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,32.6,43.0,14.0,6,0.333,0,74,41,67,74,84.0,182.5,0.5,,0.333,5.212214667494625,,2.9616582932202395,6033.485000000001,9.535823255604756,2.3547811890159864
PROP-459481581893,12000000,Pune,Rasta Peth,Apartment,2,3,0,800,3.0,5.0,,,,18.3633340845264,73.99937165468293,4.45,4.706,7.525,8.628,5.128,12.254,5.408,20.9,32222.55,23000.0,28.39,1762.0,100.5,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,88,50,83,88,93.7,400.0,1.5,,0.6,5.993961427306569,,3.380654480430826,6033.485000000001,5.7180883022001385,1.9048036352240123
PROP-ACA53D1062A9,20500000,Bengaluru,Maruthi Sevanagar,Apartment,3,4,1,2200,1.0,3.0,,,,13.181869269039822,77.60130118151497,3.807,5.364,9.127,12.963,10.813,4.107,1.871,15.9,56584.17,35000.0,30.0,1777.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,61,32,53,61,63.0,733.333,1.333,,0.333,6.598962604207666,,3.4339872044851463,6033.485000000001,3.164159534814305,1.4265144628944766
PROP-B60CD7FF25F8,2700000,Mumbai,Nalasopara West,Apartment,1,2,0,550,5.0,,,,,19.145745819744192,72.91653325373174,0.905,3.31,2.65,3.592,2.09,2.968,1.598,42.4,6750.0,6750.0,11.39,2.0,100.9,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,55.6,45.0,25.0,5,0.4,0,102,56,92,102,105.7,550.0,2.0,,,6.311734809152915,,2.516889695641051,6033.485000000001,2.4409230697138926,1.2357397696092742
PROP-45D3624AB043,5300000,Bengaluru,Jp Nagar,Apartment,2,3,0,1030,3.0,4.0,,,,13.163401801134947,77.51549012783907,4.489,2.022,5.472,16.445,9.527,10.005,4.886,27.3,50566.67,38000.0,26.82,15.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,61,32,53,61,63.0,515.0,1.5,,0.75,6.246106765481563,,3.325755186495297,6033.485000000001,7.337690349805157,2.120786241542467
PROP-9BB2FF54999F,4475000,Bengaluru,Talaghattapura,Apartment,2,3,0,1179,3.0,,,,,12.996601539408788,77.39747490909589,3.076,2.086,4.07,5.776,7.61,0.603,6.975,36.3,24500.0,24500.0,24.09,2.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,55.2,58.0,32.0,10,0.5,0,61,32,53,61,63.0,589.5,1.5,,,6.380969635637417,,3.222469360378331,6033.485000000001,4.13299888347246,1.6356900660586529
