property_master_id,derived_age_years,derived_area_per_bhk,derived_bathrooms_per_bhk,derived_carpet_efficiency,derived_floor_ratio,derived_locality_price_premium,derived_accessibility_score,derived_amenity_score,derived_hpi_growth,derived_local_price_growth,derived_rent_per_sqft,derived_rental_yield,derived_school_access,derived_hospital_access,derived_metro_access,derived_transit_density,derived_age_years_log1p,derived_area_per_bhk_log1p,derived_locality_price_premium_log1p,derived_amenity_score_log1p,derived_rent_per_sqft_log1p,derived_rental_yield_log1p,derived_school_access_log1p,derived_hospital_access_log1p,derived_metro_access_log1p,derived_city_locality,derived_market_regime,listing_date,city,locality,price_inr,price_per_sqft,target_locality_median_ppsf
PROP-A67AF6F45D75,9.5,645.75,1.0,0.833,0.929,1.0,12.3,2.0,9.52,3.06,0.0,0.0,0.299,0.105,0.11,1.0,2.3514,6.472,0.6931,1.0986,0.0,0.0,0.2616,0.0998,0.1044,Chennai_Kanathur Reddikuppam,Growth,2021-11-15,Chennai,Kanathur Reddikuppam,19900000,7704.22,6619.72
PROP-0CEEF405400A,9.5,700.0,0.6,0.071,0.5,1.0,12.2,0.0,0.0,0.0,0.0,0.0,0.128,0.164,0.143,0.0,2.3514,6.5525,0.6931,0.0,0.0,0.0,0.1204,0.1519,0.1337,Chennai_Pozhichalur,Declining,2018-05-15,Chennai,Pozhichalur,22500000,3214.29,4230.315
PROP-4B8E10586D59,9.5,440.0,1.0,0.833,0.5,1.0,24.2,0.0,1.55,1.79,0.0,0.0,0.413,0.171,0.184,0.0,2.3514,6.089,0.6931,0.0,0.0,0.0,0.3457,0.1579,0.1689,Chennai_West Tambaram,Stable,2021-02-15,Chennai,West Tambaram,10000000,7575.76,5323.895
PROP-86A88A187027,9.5,607.14,0.71,0.833,0.5,1.0,34.0,2.0,6.92,1.24,0.0,0.0,0.262,0.226,1.199,1.0,2.3514,6.4104,0.6931,1.0986,0.0,0.0,0.2327,0.2038,0.788,Chennai_Triplicane,Growth,2020-05-15,Chennai,Triplicane,33300000,7835.29,9487.18
PROP-A18A49EE0073,9.5,480.0,1.5,0.833,0.5,1.0,3.7,0.0,7.64,2.01,0.0,0.0,0.089,0.08,0.075,0.0,2.3514,6.1759,0.6931,0.0,0.0,0.0,0.0853,0.077,0.0723,Chennai_Avadi,Growth,2020-02-15,Chennai,Avadi,4800000,5000.0,4959.014999999999
PROP-FC082F802744,9.5,470.0,1.5,0.833,1.0,1.0,7.1,2.0,10.98,3.14,0.0,0.0,0.206,0.084,0.08,1.0,2.3514,6.1549,0.6931,1.0986,0.0,0.0,0.1873,0.0807,0.077,Chennai_Siruseri,Growth,2022-02-15,Chennai,Siruseri,4000000,4255.32,4838.504999999999
PROP-F9C90503CA0E,9.5,440.0,1.5,0.833,0.333,1.0,16.5,0.0,12.63,3.46,0.0,0.0,0.357,0.169,0.075,0.0,2.3514,6.089,0.6931,0.0,0.0,0.0,0.3053,0.1561,0.0723,Chennai_Sembakkam,Growth,2022-05-15,Chennai,Sembakkam,6000000,6818.18,5688.28
PROP-8030B24C5122,9.5,566.67,1.0,0.833,0.5,1.0,45.9,0.0,0.0,1.85,0.0,0.0,0.433,0.236,1.453,0.0,2.3514,6.3415,0.6931,0.0,0.0,0.0,0.3598,0.2119,0.8973,Chennai_Mahindra World City,Declining,2018-08-15,Chennai,Mahindra World City,7235000,4255.88,4971.17
PROP-740BEA1D26C7,9.5,420.0,1.5,0.833,0.0,1.0,24.2,0.0,1.77,-0.7,0.0,0.0,0.413,0.171,0.184,0.0,2.3514,6.0426,0.6931,0.0,0.0,0.0,0.3457,0.1579,0.1689,Chennai_West Tambaram,Stable,2020-11-15,Chennai,West Tambaram,4200000,5000.0,5323.895
PROP-57D7E7126783,9.5,535.0,2.0,0.833,0.5,1.0,29.3,0.0,12.63,3.46,0.0,0.0,0.321,0.264,0.42,0.0,2.3514,6.2841,0.6931,0.0,0.0,0.0,0.2784,0.2343,0.3507,Chennai_Chromepet,Growth,2022-05-15,Chennai,Chromepet,3000000,5607.48,5607.48
PROP-F4ACF6362C46,9.5,581.0,2.0,0.833,0.5,1.0,45.9,0.0,1.55,1.79,0.0,0.0,0.433,0.236,1.453,0.0,2.3514,6.3665,0.6931,0.0,0.0,0.0,0.3598,0.2119,0.8973,Chennai_Mahindra World City,Stable,2021-02-15,Chennai,Mahindra World City,2940000,5060.24,4971.17
PROP-A7B4990CB17F,9.5,481.33,1.0,0.833,0.5,1.0,44.9,5.0,0.0,1.36,0.0,0.0,0.294,0.512,0.453,1.0,2.3514,6.1786,0.6931,1.7918,0.0,0.0,0.2577,0.4134,0.3736,Chennai_Pallikaranai,Declining,2019-02-15,Chennai,Pallikaranai,13000000,9002.77,5993.48
PROP-6A8F2CA5D4A7,9.5,1000.0,0.17,0.833,0.5,1.0,25.5,7.0,0.0,1.85,0.0,0.0,0.266,0.201,0.235,2.0,2.3514,6.9088,0.6931,2.0794,0.0,0.0,0.2359,0.1832,0.2111,Chennai_West Mambalam,Declining,2018-08-15,Chennai,West Mambalam,85000000,14166.67,11387.2
PROP-3EF538C2BB00,9.5,439.0,1.5,0.833,0.5,1.0,11.3,0.0,12.72,2.5,0.0,0.0,0.138,0.095,0.092,0.0,2.3514,6.0868,0.6931,0.0,0.0,0.0,0.1293,0.0908,0.088,Chennai_Ashok Nagar,Growth,2022-08-15,Chennai,Ashok Nagar,11500000,13097.95,12017.725
PROP-106DAED671B6,9.5,472.0,1.5,0.833,0.5,1.0,28.2,1.0,0.0,1.36,0.0,0.0,0.359,0.36,0.186,0.0,2.3514,6.1591,0.6931,0.6931,0.0,0.0,0.3067,0.3075,0.1706,Chennai_Madambakkam,Declining,2019-02-15,Chennai,Madambakkam,4900000,5190.68,5174.64
PROP-D5F1834163A7,9.5,439.0,1.0,0.833,1.0,1.0,8.7,0.0,6.95,1.68,0.0,0.0,0.195,0.122,0.132,0.0,2.3514,6.0868,0.6931,0.0,0.0,0.0,0.1781,0.1151,0.124,Chennai_Perungalathur,Growth,2019-11-15,Chennai,Perungalathur,5700000,4328.02,4866.18
