property_master_id,derived_age_years,derived_area_per_bhk,derived_bathrooms_per_bhk,derived_carpet_efficiency,derived_floor_ratio,derived_locality_price_premium,derived_accessibility_score,derived_amenity_score,derived_hpi_growth,derived_local_price_growth,derived_rent_per_sqft,derived_rental_yield,derived_school_access,derived_hospital_access,derived_metro_access,derived_transit_density,derived_age_years_log1p,derived_area_per_bhk_log1p,derived_locality_price_premium_log1p,derived_amenity_score_log1p,derived_rent_per_sqft_log1p,derived_rental_yield_log1p,derived_school_access_log1p,derived_hospital_access_log1p,derived_metro_access_log1p,derived_city_locality,derived_market_regime,listing_date,city,locality,price_inr,price_per_sqft,target_locality_median_ppsf
PROP-245995EFBD96,9.5,425.0,1.5,0.833,0.5,0.146,42.4,4.0,12.35,2.35,11.39,3.6818,0.995,0.293,0.364,2.0,2.3514,6.0544,0.1363,1.6094,2.5169,1.5437,0.6906,0.257,0.3104,Mumbai_Nalasopara West,Growth,2022-08-15,Mumbai,Nalasopara West,2200000,2588.24,6086.96
PROP-D35189812D63,9.5,500.0,1.0,0.833,0.833,1.023,28.6,2.0,0.0,1.96,28.39,1.84,0.285,0.25,0.331,1.0,2.3514,6.2166,0.7046,1.0986,3.3807,1.0438,0.2508,0.2231,0.2859,Pune_Parvati Darshan,Declining,2018-08-15,Pune,Parvati Darshan,15000000,10000.0,8593.75
PROP-AABFB17B7D65,9.5,59.4,0.2,0.833,0.5,1.01,30.8,0.0,12.11,2.67,27.78,3.6923,0.243,0.252,0.77,0.0,2.3514,4.101,0.6981,0.0,3.3597,1.5459,0.2175,0.2247,0.571,Delhi_Mehrauli,Growth,2022-08-15,Delhi,Mehrauli,6500000,21885.52,3829.545
PROP-008552FBDAC6,9.5,550.0,1.5,0.833,0.5,0.834,31.2,4.0,6.88,1.37,23.15,2.88,0.154,0.272,0.341,0.0,2.3514,6.3117,0.6065,1.6094,3.1843,1.3558,0.1432,0.2406,0.2934,Pune_Mohammed Wadi,Growth,2019-08-15,Pune,Mohammed Wadi,7500000,6818.18,6097.56
PROP-146D1DB2DCCE,9.5,532.0,1.5,0.833,0.125,1.0,29.3,0.0,0.0,1.51,0.0,0.0,0.321,0.264,0.42,0.0,2.3514,6.2785,0.6931,0.0,0.0,0.0,0.2784,0.2343,0.3507,Chennai_Chromepet,Declining,2018-11-15,Chennai,Chromepet,6800000,6390.98,5613.139999999999
PROP-8372DD59954B,9.5,501.67,1.0,0.833,0.9,0.571,42.0,12.0,8.37,1.24,17.14,1.3091,0.885,0.474,0.207,3.0,2.3514,6.2199,0.4517,2.5649,2.8981,0.8369,0.6339,0.388,0.1881,Bengaluru_Annapurneshwari Nagar,Growth,2019-11-15,Bengaluru,Annapurneshwari Nagar,11000000,7308.97,6636.52
PROP-2FB6AD94BDC2,9.5,390.0,1.0,0.701,0.5,0.344,35.5,5.0,5.63,1.72,26.91,2.7049,0.235,0.687,0.149,1.0,2.3514,5.9687,0.2957,1.7918,3.329,1.3097,0.2111,0.523,0.1389,Mumbai_Naigaon East,Growth,2020-02-15,Mumbai,Naigaon East,6100000,7820.51,5738.014999999999
PROP-BC551C6A038B,9.5,462.5,1.5,0.833,0.667,2.425,20.9,0.0,0.0,1.13,189.47,5.1818,0.345,0.134,0.15,0.0,2.3514,6.1388,1.2311,0.0,5.2495,1.8216,0.2964,0.1258,0.1398,Mumbai_Bandra West,Declining,2018-11-15,Mumbai,Bandra West,44000000,47567.57,47517.96
PROP-FE5C89D83284,9.5,575.0,1.5,0.833,0.75,1.0,8.2,0.0,8.44,3.26,30.0,6.4615,0.242,0.072,0.068,0.0,2.3514,6.3561,0.6931,0.0,3.434,2.0098,0.2167,0.0695,0.0658,Bengaluru_Mattanahalli,Growth,2021-11-15,Bengaluru,Mattanahalli,6500000,5652.17,5741.035
PROP-745990587C5B,9.5,112.5,0.5,0.833,0.5,0.667,16.3,0.0,2.43,-1.05,18.33,3.0,0.29,0.124,0.147,0.0,2.3514,4.7318,0.511,0.0,2.9617,1.3863,0.2546,0.1169,0.1371,Delhi_Palam,Stable,2020-11-15,Delhi,Palam,5000000,11111.11,7222.22
PROP-93D29C8E22B3,9.5,150.0,0.5,0.867,0.5,0.877,35.6,4.0,10.58,3.38,68.49,16.1143,0.75,0.217,0.362,2.0,2.3514,5.0173,0.6297,1.6094,4.2412,2.8399,0.5596,0.1964,0.309,Mumbai_Malad West,Growth,2022-02-15,Mumbai,Malad West,3500000,11666.67,20000.0
PROP-53444714087E,9.5,198.0,0.6,0.833,0.5,0.929,39.3,3.0,8.16,2.79,27.88,7.5771,0.371,0.35,0.354,1.0,2.3514,5.2933,0.657,1.3863,3.3631,2.1491,0.3155,0.3001,0.3031,Bengaluru_Banashankari,Growth,2019-08-15,Bengaluru,Banashankari,10500000,10606.06,6400.0
PROP-FE305EAADF69,9.5,650.0,1.0,0.769,0.5,1.0,29.5,7.0,8.93,2.27,0.0,0.0,0.183,0.164,0.371,2.0,2.3514,6.4785,0.6931,2.0794,0.0,0.0,0.1681,0.1519,0.3155,Kolkata_Purba Barisha,Growth,2019-11-15,Kolkata,Purba Barisha,14000000,5384.62,3741.4449999999997
PROP-A47DA716A2F2,9.5,500.0,1.5,0.833,0.667,0.533,7.5,2.0,8.37,1.24,16.0,1.7143,0.136,0.107,0.103,1.0,2.3514,6.2166,0.4272,1.0986,2.8332,0.9985,0.1275,0.1017,0.098,Bengaluru_Deepanjali Nagar,Growth,2019-11-15,Bengaluru,Deepanjali Nagar,5600000,5600.0,5600.0
PROP-308319A38177,9.5,1000.0,3.0,0.833,0.2,0.873,24.8,3.0,3.98,1.24,24.0,5.4545,0.305,0.128,0.222,0.0,2.3514,6.9088,0.6275,1.3863,3.2189,1.8648,0.2662,0.1204,0.2005,Delhi_Mahipalpur,Stable,2021-08-15,Delhi,Mahipalpur,2200000,2200.0,4343.75
PROP-D8253EB4AC8F,9.5,225.0,1.0,0.833,0.75,1.01,28.4,2.0,2.34,2.09,27.78,18.8571,0.277,0.335,0.257,1.0,2.3514,5.4205,0.6981,1.0986,3.3597,2.9886,0.2445,0.2889,0.2287,Delhi_Jaitpur,Stable,2021-05-15,Delhi,Jaitpur,1400000,3111.11,3146.07
PROP-946CE94986C5,9.5,535.33,1.0,0.833,0.25,0.98,10.5,0.0,0.0,1.04,29.41,2.1429,0.144,0.107,0.253,0.0,2.3514,6.2847,0.6831,0.0,3.4148,1.1451,0.1345,0.1017,0.2255,Bengaluru_Mathikere,Declining,2018-11-15,Bengaluru,Mathikere,14000000,8717.31,8333.33
PROP-855C7545D2C1,9.5,442.83,0.67,0.833,0.6,1.0,41.2,3.0,7.45,1.58,0.0,0.0,0.861,0.351,0.316,0.0,2.3514,6.0954,0.6931,1.3863,0.0,0.0,0.6211,0.3008,0.2746,Kolkata_Kankurgachi,Growth,2020-05-15,Kolkata,Kankurgachi,22000000,8280.02,10216.98
PROP-E6DF6DA88276,9.5,92.5,0.25,0.833,0.5,0.652,30.0,2.0,0.0,0.0,17.92,1.0875,0.339,0.309,0.294,1.0,2.3514,4.538,0.502,1.0986,2.9402,0.736,0.2919,0.2693,0.2577,Delhi_Sector 1 Rohini,Declining,2018-05-15,Delhi,Sector 1 Rohini,8000000,21621.62,29706.159999999996
PROP-756995A4DB5E,9.5,342.5,1.0,0.833,0.333,1.0,11.1,2.0,4.48,-1.02,0.0,0.0,0.103,0.174,0.158,1.0,2.3514,5.8392,0.6931,1.0986,0.0,0.0,0.098,0.1604,0.1467,Kolkata_Thakurpukur,Stable,2020-08-15,Kolkata,Thakurpukur,1950000,2846.72,4108.825
PROP-091D4A015A48,9.5,396.33,1.0,0.833,1.0,1.0,23.8,1.0,12.11,3.15,0.0,0.0,0.165,0.389,0.476,0.0,2.3514,5.9848,0.6931,0.6931,0.0,0.0,0.1527,0.3286,0.3893,Kolkata_Rajpur,Growth,2022-08-15,Kolkata,Rajpur,5000000,4205.21,3296.7
PROP-757C59EC7B31,9.5,570.0,2.0,0.833,1.0,1.0,7.1,2.0,6.95,1.68,0.0,0.0,0.206,0.084,0.08,1.0,2.3514,6.3474,0.6931,1.0986,0.0,0.0,0.1873,0.0807,0.077,Chennai_Siruseri,Growth,2019-11-15,Chennai,Siruseri,1950000,3421.05,3421.05
PROP-B9A2B6E5A541,9.5,425.0,2.0,0.833,0.75,0.237,29.6,0.0,0.0,1.94,18.52,7.5,0.364,0.434,0.131,0.0,2.3514,6.0544,0.2127,0.0,2.9714,2.1401,0.3104,0.3605,0.1231,Mumbai_Virar East,Declining,2019-02-15,Mumbai,Virar East,1600000,3764.71,3764.71
PROP-48455A86821A,9.5,405.0,2.0,0.833,0.0,0.267,38.5,2.0,6.25,1.15,20.84,3.8333,0.435,0.563,0.435,1.0,2.3514,6.0064,0.2367,1.0986,3.0837,1.5755,0.3612,0.4466,0.3612,Mumbai_Vasai West,Growth,2019-05-15,Mumbai,Vasai West,3600000,8888.89,7135.585
PROP-04D8ECC5920C,9.5,752.0,1.33,0.833,0.556,1.0,27.8,0.0,13.31,3.59,0.0,0.0,0.316,0.158,0.255,0.0,2.3514,6.6241,0.6931,0.0,0.0,0.0,0.2746,0.1467,0.2271,Chennai_Hirco Palace Gardens,Growth,2022-11-15,Chennai,Hirco Palace Gardens,9500000,4210.99,4432.625
PROP-C379DC43B420,9.5,390.0,1.0,0.833,0.333,1.023,43.8,4.0,0.0,1.8,28.39,6.1333,0.732,4.032,0.265,2.0,2.3514,5.9687,0.7046,1.6094,3.3807,1.9648,0.5493,1.6158,0.2351,Pune_Kasarwadi,Declining,2018-11-15,Pune,Kasarwadi,4500000,5769.23,6479.86
PROP-85BD8779A415,9.5,732.5,1.5,0.833,0.25,1.0,20.1,2.0,11.52,2.79,30.0,4.4211,0.261,0.166,0.383,1.0,2.3514,6.5978,0.6931,1.0986,3.434,1.6903,0.2319,0.1536,0.3243,Bengaluru_Bannerughatta,Growth,2022-08-15,Bengaluru,Bannerughatta,9500000,6484.64,5120.625
