property_master_id,derived_age_years,derived_area_per_bhk,derived_bathrooms_per_bhk,derived_carpet_efficiency,derived_floor_ratio,derived_locality_price_premium,derived_accessibility_score,derived_amenity_score,derived_hpi_growth,derived_local_price_growth,derived_rent_per_sqft,derived_rental_yield,derived_school_access,derived_hospital_access,derived_metro_access,derived_transit_density,derived_age_years_log1p,derived_area_per_bhk_log1p,derived_locality_price_premium_log1p,derived_amenity_score_log1p,derived_rent_per_sqft_log1p,derived_rental_yield_log1p,derived_school_access_log1p,derived_hospital_access_log1p,derived_metro_access_log1p,derived_city_locality,derived_market_regime,listing_date,city,locality,price_inr,price_per_sqft,target_locality_median_ppsf
PROP-13F72F2ABBF5,9.5,458.5,1.5,0.833,0.25,1.0,10.4,2.0,0.0,0.0,0.0,0.0,0.094,0.117,0.1,1.0,2.3514,6.1301,0.6931,1.0986,0.0,0.0,0.0898,0.1106,0.0953,Kolkata_Garfa,Declining,2018-05-15,Kolkata,Garfa,3200000,3489.64,3489.64
PROP-D2DA3F3C8CBC,9.5,250.0,1.0,0.833,0.5,1.0,32.3,4.0,0.0,0.0,27.76,7.0286,0.364,0.62,0.228,2.0,2.3514,5.5255,0.6931,1.6094,3.359,2.083,0.3104,0.4824,0.2054,Pune_Hadapsar,Declining,2018-05-15,Pune,Hadapsar,3500000,7000.0,5197.8
PROP-7CA6E0A93091,9.5,450.0,1.5,0.833,0.333,1.0,50.0,11.0,0.0,0.0,0.0,0.0,1.572,0.348,0.271,4.0,2.3514,6.1115,0.6931,2.4849,0.0,0.0,0.9447,0.2986,0.2398,Kolkata_Tollygunge,Declining,2018-05-15,Kolkata,Tollygunge,6500000,7222.22,5686.335
PROP-38EA3789666C,9.5,625.0,1.5,0.833,0.25,1.0,13.6,0.0,0.0,0.0,0.0,0.0,0.181,0.181,0.143,0.0,2.3514,6.4394,0.6931,0.0,0.0,0.0,0.1664,0.1664,0.1337,Chennai_Alwarpet,Declining,2018-05-15,Chennai,Alwarpet,17500000,14000.0,11851.85
PROP-E798164E84DB,9.5,600.0,2.0,0.833,0.0,0.513,16.3,0.0,0.0,0.0,15.38,2.7429,0.334,0.102,0.107,0.0,2.3514,6.3986,0.4141,0.0,2.7961,1.3199,0.2882,0.0971,0.1017,Bengaluru_Kengeri Satellite Town,Declining,2018-05-15,Bengaluru,Kengeri Satellite Town,3500000,5833.33,5512.62
PROP-CBCFC1E18ED9,9.5,403.33,1.0,0.833,0.167,1.22,49.8,17.0,0.0,0.0,33.86,2.0571,0.637,0.353,0.691,2.0,2.3514,6.0022,0.7975,2.8904,3.5513,1.1175,0.4929,0.3023,0.5253,Pune_Wakad,Declining,2018-05-15,Pune,Wakad,17500000,14462.81,7780.08
PROP-A79BAE478D1E,9.5,250.0,1.0,0.833,1.0,0.727,22.3,3.0,0.0,0.0,20.0,4.8,0.348,0.159,0.136,0.0,2.3514,5.5255,0.5464,1.3863,3.0445,1.7579,0.2986,0.1476,0.1275,Delhi_Sector 2 Rohini,Declining,2018-05-15,Delhi,Sector 2 Rohini,3000000,6000.0,6611.110000000001
PROP-FED461A27222,9.5,395.0,1.0,0.833,0.333,1.0,24.2,0.0,0.0,0.0,0.0,0.0,0.413,0.171,0.184,0.0,2.3514,5.9814,0.6931,0.0,0.0,0.0,0.3457,0.1579,0.1689,Chennai_West Tambaram,Declining,2018-05-15,Chennai,West Tambaram,4000000,5063.29,5166.67
PROP-92F449C3516F,9.5,511.5,1.5,0.833,0.5,1.0,46.4,5.0,0.0,0.0,0.0,0.0,0.489,0.782,0.477,1.0,2.3514,6.2393,0.6931,1.7918,0.0,0.0,0.3981,0.5777,0.39,Chennai_Tharapakkam,Declining,2018-05-15,Chennai,Tharapakkam,7123000,6962.85,5333.33
PROP-8139CFDBDEB2,9.5,333.33,1.0,0.833,0.4,1.0,37.0,2.0,0.0,0.0,0.0,0.0,0.311,0.548,0.445,1.0,2.3514,5.8121,0.6931,1.0986,0.0,0.0,0.2708,0.437,0.3681,Kolkata_Kamardanga,Declining,2018-05-15,Kolkata,Kamardanga,7500000,7500.0,4266.67
PROP-1386E0282A51,9.5,500.0,1.0,0.833,0.167,1.0,13.9,0.0,0.0,0.0,30.0,3.5,0.086,0.194,0.228,0.0,2.3514,6.2166,0.6931,0.0,3.434,1.5041,0.0825,0.1773,0.2054,Bengaluru_Sanjaynagar,Declining,2018-05-15,Bengaluru,Sanjaynagar,12000000,8000.0,12676.279999999999
PROP-46D99E06C28A,9.5,500.0,1.5,0.833,0.5,0.585,20.9,0.0,0.0,0.0,16.25,1.9038,0.32,0.183,0.268,0.0,2.3514,6.2166,0.4606,0.0,2.8478,1.066,0.2776,0.1681,0.2374,Pune_Narhe,Declining,2018-05-15,Pune,Narhe,5200000,5200.0,4922.15
PROP-5A15969E04AC,9.5,300.0,1.0,0.833,0.5,0.621,23.9,3.0,0.0,0.0,17.08,1.3497,0.308,0.194,0.157,0.0,2.3514,5.7071,0.483,1.3863,2.8948,0.8543,0.2685,0.1773,0.1458,Delhi_Bindapur,Declining,2018-05-15,Delhi,Bindapur,9780000,10866.67,9877.779999999999
PROP-FF908741BF94,9.5,333.33,1.0,0.833,0.333,1.049,27.9,2.0,0.0,0.0,28.84,4.96,0.498,0.191,0.3,1.0,2.3514,5.8121,0.7174,1.0986,3.3958,1.7851,0.4041,0.1748,0.2624,Delhi_Patparganj,Declining,2018-05-15,Delhi,Patparganj,7500000,7500.0,10937.5
PROP-2B923AFC9958,9.5,250.0,1.0,0.833,0.5,0.729,28.1,2.0,0.0,0.0,21.88,4.0,0.371,0.298,0.166,1.0,2.3514,5.5255,0.5475,1.0986,3.1303,1.6094,0.3155,0.2608,0.1536,Bengaluru_Vijayanagar,Declining,2018-05-15,Bengaluru,Vijayanagar,7500000,15000.0,8819.445
PROP-64A9933E4584,9.5,225.0,1.0,0.833,0.5,0.911,31.8,1.0,0.0,0.0,25.04,1.6615,0.299,0.454,0.121,0.0,2.3514,5.4205,0.6476,0.6931,3.2596,0.9789,0.2616,0.3743,0.1142,Delhi_Sangam Vihar,Declining,2018-05-15,Delhi,Sangam Vihar,6500000,14444.44,7333.33
PROP-BEDF6EE3E0C3,9.5,413.5,1.5,0.833,1.0,1.0,18.4,2.0,0.0,0.0,0.0,0.0,0.36,0.141,0.195,1.0,2.3514,6.0271,0.6931,1.0986,0.0,0.0,0.3075,0.1319,0.1781,Chennai_Kalavakkam,Declining,2018-05-15,Chennai,Kalavakkam,3700000,4474.0,4382.12
PROP-98A17047105D,9.5,555.0,1.5,0.833,1.0,1.0,21.4,0.0,0.0,0.0,0.0,0.0,0.165,0.183,0.095,0.0,2.3514,6.3208,0.6931,0.0,0.0,0.0,0.1527,0.1681,0.0908,Chennai_Shenoy Nagar,Declining,2018-05-15,Chennai,Shenoy Nagar,13300000,11981.98,11981.98
PROP-BB51B4C642B2,9.5,390.0,1.0,0.833,0.286,1.023,26.6,0.0,0.0,0.0,28.39,5.0182,0.209,0.167,0.852,0.0,2.3514,5.9687,0.7046,0.0,3.3807,1.7948,0.1898,0.1544,0.6163,Pune_Pune Cantonment,Declining,2018-05-15,Pune,Pune Cantonment,5500000,7051.28,6303.42
PROP-8E7090840C1D,9.5,500.0,1.5,0.833,0.667,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.403,0.126,0.175,0.0,2.3514,6.2166,0.6931,0.0,0.0,0.0,0.3386,0.1187,0.1613,Hyderabad_Badangpet,Declining,2018-05-15,Hyderabad,Badangpet,4000000,4000.0,5957.45
PROP-29E05F68CDDC,9.5,142.86,0.43,0.833,0.5,1.0,23.3,3.0,0.0,0.0,0.0,0.0,0.253,0.204,0.155,0.0,2.3514,4.9688,0.6931,1.3863,0.0,0.0,0.2255,0.1856,0.1441,Chennai_Veppampattu,Declining,2018-05-15,Chennai,Veppampattu,7500000,7500.0,3939.39
