figure_number,figure_title,figure_type,data_source,model_dependency,status,png_path,pdf_path,paper_section
Fig 1,Complete System Architecture,Diagram,System Pipeline,AST-XGB Pipeline,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig01_system_architecture.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig01_system_architecture.pdf,Methodology
Fig 2,Data Processing Pipeline,Diagram,Pipeline Architecture,Data Layer,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig02_data_pipeline.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig02_data_pipeline.pdf,Feature Engineering
Fig 3,Target Price Distribution,Histogram,final_features_v4.csv,Target Variable,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig03_price_distribution.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig03_price_distribution.pdf,Dataset
Fig 4,Price Distribution by City,Boxplot,final_features_v4.csv,Exploratory,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig04_city_price_distribution.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig04_city_price_distribution.pdf,Dataset
Fig 5,Price vs Property Characteristics,Scatter/Bar,final_features_v4.csv,Exploratory,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig05_price_vs_characteristics.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig05_price_vs_characteristics.pdf,Dataset
Fig 6,Price vs Spatial Features,Scatter,final_features_v4.csv,Exploratory,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig06_spatial_relationships.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig06_spatial_relationships.pdf,Spatial Analysis
Fig 7,Rental Market Relationships,Scatter/Histogram,final_features_v4.csv,Rental Features,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig07_rental_relationship.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig07_rental_relationship.pdf,Rental Integration
Fig 8,Market / HPI Trends,Line Plot,final_features_v4.csv,Market Features,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig08_market_trend.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig08_market_trend.pdf,Market Analysis
Fig 9,Macroeconomic Features,Line Plot Dual Axis,RBI & MoSPI Time Series,Macro Features,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig09_macro_features.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig09_macro_features.pdf,Macro Integration
Fig 10,RERA Features,Histogram/Bar,RERA Integration,RERA Features,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig10_rera_features.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig10_rera_features.pdf,RERA Integration
Fig 11,Environmental Features,Histogram/Scatter,CPCB Air Quality Data,CPCB Features,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig11_environmental_features.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig11_environmental_features.pdf,CPCB Integration
Fig 12A,Model Performance MAE,Bar Chart,phase_15_model_comparison.csv,Model Evaluation,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig12_model_performance_mae.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig12_model_performance_mae.pdf,Results
Fig 12B,Model Performance RMSE,Bar Chart,phase_15_model_comparison.csv,Model Evaluation,COMPLETED,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig12_model_performance_rmse.png,C:\Users\apoorv mishra\Desktop\Ml_project\figures\phase_17\fig12_model_performance_rmse.pdf,Results
