Model,Phase,MAE,RMSE,R2,MAPE,MedAE
Median Baseline,Val,6655108.42,15591788.58,-0.0711,80.36,3100000.0
Median Baseline,Test,7477751.9,19634120.67,-0.0587,89.53,3500000.0
Linear Regression,Val,3468300.7,10721913.22,0.4935,28.46,1152388.92
Linear Regression,Test,3868187.36,13453899.81,0.5029,30.94,1242058.61
Ridge Regression,Val,3468335.4,10722259.41,0.4935,28.46,1152412.41
Ridge Regression,Test,3868217.28,13453885.52,0.5029,30.94,1241282.34
Random Forest,Val,2527423.35,8662456.22,0.6694,20.77,719659.65
Random Forest,Test,2986826.26,11973963.31,0.6062,21.92,702309.17
Gradient Boosting,Val,2522114.26,8702346.65,0.6663,20.79,780925.25
Gradient Boosting,Test,2980047.23,11940236.72,0.6084,22.38,832550.37
XGBoost,Val,2537131.0,8978592.7,0.6448,21.73,792198.0
XGBoost,Test,3059112.25,12276698.03,0.5861,23.08,876030.0
