model,split_strategy,dataset,train_rows,validation_rows,test_rows,MAE,RMSE,R2,MAPE,median_absolute_error,training_time_seconds
Median Baseline,Temporal,Train,9814,2103,2104,6777860.81,16694115.35,-0.0632,86.39,3100000.0,0.0
Median Baseline,Temporal,Validation,9814,2103,2104,6655108.42,15591788.58,-0.0711,80.36,3100000.0,0.0
Median Baseline,Temporal,Test,9814,2103,2104,7477751.9,19634120.67,-0.0587,89.53,3500000.0,0.0
Linear Regression,Temporal,Train,9814,2103,2104,3093900.86,11528265.49,0.493,24.32,954482.01,0.042
Linear Regression,Temporal,Validation,9814,2103,2104,3138564.32,10393629.33,0.5241,23.6,1032696.83,0.042
Linear Regression,Temporal,Test,9814,2103,2104,3771837.89,13094708.15,0.5291,32.29,1265069.13,0.042
Ridge Regression,Temporal,Train,9814,2103,2104,3092567.22,11552499.08,0.4908,24.32,955823.26,0.014
Ridge Regression,Temporal,Validation,9814,2103,2104,3119743.95,10374924.39,0.5258,23.51,1003414.23,0.014
Ridge Regression,Temporal,Test,9814,2103,2104,3532578.77,13201614.39,0.5213,27.18,1043813.41,0.014
Random Forest,Temporal,Train,9814,2103,2104,953631.18,3080192.53,0.9638,9.82,366402.03,1.757
Random Forest,Temporal,Validation,9814,2103,2104,1828611.23,6123486.48,0.8348,17.27,587494.33,1.757
Random Forest,Temporal,Test,9814,2103,2104,1889125.95,7130715.6,0.8604,17.9,609601.94,1.757
Gradient Boosting,Temporal,Train,9814,2103,2104,839465.23,2663840.84,0.9729,8.42,317518.43,9.826
Gradient Boosting,Temporal,Validation,9814,2103,2104,1639230.14,5969949.93,0.843,14.11,524399.94,9.826
Gradient Boosting,Temporal,Test,9814,2103,2104,1723560.49,6585843.73,0.8809,14.67,529556.01,9.826
Basic XGBoost,Temporal,Train,9814,2103,2104,908876.19,3134783.13,0.9625,8.7,320266.88,0.357
Basic XGBoost,Temporal,Validation,9814,2103,2104,1594880.0,6435248.46,0.8175,14.19,487054.5,0.357
Basic XGBoost,Temporal,Test,9814,2103,2104,1698859.5,7696396.53,0.8373,14.13,471409.5,0.357
Median Baseline,Random,Train,11216,1402,1403,6868654.87,17431831.84,-0.0598,85.93,3150000.0,0.0
Median Baseline,Random,Validation,11216,1402,1403,6685365.19,14681493.38,-0.0789,89.18,3300000.0,0.0
Median Baseline,Random,Test,11216,1402,1403,7010045.62,15727696.98,-0.0835,82.9,3300000.0,0.0
Linear Regression,Random,Train,11216,1402,1403,3673289.93,52822183.51,-8.7312,24.49,930296.17,0.039
Linear Regression,Random,Validation,11216,1402,1403,3434800.77,17824462.33,-0.5902,31.59,981733.19,0.039
Linear Regression,Random,Test,11216,1402,1403,3412793.05,11508285.29,0.4199,28.01,960580.13,0.039
Ridge Regression,Random,Train,11216,1402,1403,3671355.77,52729016.26,-8.6969,24.49,935041.39,0.01
Ridge Regression,Random,Validation,11216,1402,1403,3432624.76,17744339.97,-0.576,31.55,985435.72,0.01
Ridge Regression,Random,Test,11216,1402,1403,3410421.88,11474557.46,0.4233,27.96,952281.66,0.01
Random Forest,Random,Train,11216,1402,1403,928733.24,3202976.91,0.9642,9.35,329015.48,2.04
Random Forest,Random,Validation,11216,1402,1403,1530229.32,3759465.93,0.9293,20.49,576180.42,2.04
Random Forest,Random,Test,11216,1402,1403,1727672.42,5490864.89,0.8679,16.23,554580.24,2.04
Gradient Boosting,Random,Train,11216,1402,1403,836125.02,2847594.02,0.9717,8.21,299241.5,11.66
Gradient Boosting,Random,Validation,11216,1402,1403,1266713.64,3277775.58,0.9462,16.25,448214.06,11.66
Gradient Boosting,Random,Test,11216,1402,1403,1433814.87,4344161.42,0.9173,13.22,462719.99,11.66
Basic XGBoost,Random,Train,11216,1402,1403,933551.5,3510376.55,0.957,8.65,307500.62,0.379
Basic XGBoost,Random,Validation,11216,1402,1403,1406652.25,4672372.75,0.8907,15.77,459941.75,0.379
Basic XGBoost,Random,Test,11216,1402,1403,1574614.0,5173772.95,0.8827,13.34,454904.0,0.379
Median Baseline,Geographic,Train,9773,0,4248,7795471.91,18556091.99,-0.0718,86.38,3600000.0,0.0
Median Baseline,Geographic,Test,9773,0,4248,5018601.69,11785821.72,-0.0032,133.02,4000000.0,0.0
Linear Regression,Geographic,Train,9773,0,4248,3591345.78,14093941.75,0.3817,24.85,1147113.12,0.025
Linear Regression,Geographic,Test,9773,0,4248,4371530.44,10232711.9,0.2438,96.81,1166902.92,0.025
Ridge Regression,Geographic,Train,9773,0,4248,3589580.94,13971527.08,0.3924,24.84,1150741.56,0.009
Ridge Regression,Geographic,Test,9773,0,4248,3687088.99,9603160.07,0.334,79.13,1138602.04,0.009
Random Forest,Geographic,Train,9773,0,4248,932921.61,3286406.55,0.9664,7.97,310495.85,1.712
Random Forest,Geographic,Test,9773,0,4248,1651615.59,5374692.1,0.7914,30.22,645934.74,1.712
Gradient Boosting,Geographic,Train,9773,0,4248,854502.47,2852717.9,0.9747,7.18,303438.19,9.665
Gradient Boosting,Geographic,Test,9773,0,4248,1368339.95,4890827.49,0.8272,19.49,451490.54,9.665
Basic XGBoost,Geographic,Train,9773,0,4248,946578.06,3336327.62,0.9654,7.7,321708.0,0.282
Basic XGBoost,Geographic,Test,9773,0,4248,1490047.25,5800401.52,0.757,24.48,406071.62,0.282
