model,bhk_segment,sample_count,MAE,RMSE,R2,MAPE
Basic XGBoost,1 BHK,422,1467170.86,2792373.57,0.4143,51.11
Basic XGBoost,2 BHK,842,1909083.32,3558315.69,0.5449,34.72
Basic XGBoost,3 BHK,467,4804226.8,10756776.35,0.3731,42.77
Basic XGBoost,4 BHK,163,11501037.7,35505026.24,0.1919,50.75
Basic XGBoost,5+ BHK,210,13700148.31,27135129.02,0.2819,72.01
Gradient Boosting,1 BHK,422,2217878.89,3730065.05,-0.045,89.22
Gradient Boosting,2 BHK,842,2044920.16,3693475.68,0.5097,39.7
Gradient Boosting,3 BHK,467,4854866.82,10927289.93,0.353,44.3
Gradient Boosting,4 BHK,163,11313871.15,35048913.57,0.2125,51.36
Gradient Boosting,5+ BHK,210,13694138.21,28205692.63,0.2241,71.1
Linear Regression,1 BHK,422,1973130.62,3826354.47,-0.0997,73.66
Linear Regression,2 BHK,842,2383190.34,3805258.18,0.4796,51.68
Linear Regression,3 BHK,467,5196476.91,11270411.65,0.3118,50.82
Linear Regression,4 BHK,163,12094661.96,36814667.35,0.1312,53.98
Linear Regression,5+ BHK,210,18304778.37,31944593.63,0.0048,111.09
Median Baseline,1 BHK,422,3669317.54,4352852.89,-0.4231,160.39
Median Baseline,2 BHK,842,3314627.08,5276838.88,-0.0008,74.61
Median Baseline,3 BHK,467,7498764.45,15035724.31,-0.2249,50.53
Median Baseline,4 BHK,163,18115030.67,43295363.99,-0.2017,56.88
Median Baseline,5+ BHK,210,23051095.24,39300189.38,-0.5063,69.09
Random Forest,1 BHK,422,1887729.02,3397915.61,0.1328,67.62
Random Forest,2 BHK,842,2039560.07,3757345.91,0.4926,34.75
Random Forest,3 BHK,467,4857206.86,11012358.32,0.3429,41.16
Random Forest,4 BHK,163,11227723.04,36274451.91,0.1565,43.8
Random Forest,5+ BHK,210,13594998.79,26548147.04,0.3126,67.28
Ridge,1 BHK,422,1931811.35,3775220.54,-0.0705,71.97
Ridge,2 BHK,842,2335230.03,3785540.25,0.485,50.22
Ridge,3 BHK,467,5153805.54,11271825.65,0.3116,49.72
Ridge,4 BHK,163,12081126.49,36877274.17,0.1282,53.01
Ridge,5+ BHK,210,18100229.6,31758557.7,0.0163,108.98
