model,city,sample_count,MAE,RMSE,R2,MAPE
Basic XGBoost,Bengaluru,706,4633636.31,9994512.78,0.4775,50.66
Basic XGBoost,Chennai,220,3071668.97,6224130.96,0.6297,34.5
Basic XGBoost,Delhi,338,7753931.67,21390416.81,0.4266,61.72
Basic XGBoost,Hyderabad,73,3175199.72,5913008.75,0.7178,21.7
Basic XGBoost,Kolkata,198,2099002.06,4053563.56,0.7195,42.66
Basic XGBoost,Mumbai,159,4516658.57,9584146.81,0.6219,38.62
Basic XGBoost,Pune,410,3142401.08,20599810.87,0.1993,33.6
Gradient Boosting,Bengaluru,706,4591461.27,9923732.09,0.4849,51.12
Gradient Boosting,Chennai,220,3095664.67,5885247.12,0.6689,40.14
Gradient Boosting,Delhi,338,8257809.84,21474277.06,0.4221,96.23
Gradient Boosting,Hyderabad,73,3335646.41,5898499.53,0.7191,22.41
Gradient Boosting,Kolkata,198,2018356.3,3448249.53,0.797,45.87
Gradient Boosting,Mumbai,159,5308059.01,10093866.08,0.5806,50.02
Gradient Boosting,Pune,410,3522060.4,21317205.12,0.1426,46.23
Linear Regression,Bengaluru,706,5738190.57,12083328.22,0.2362,66.11
Linear Regression,Chennai,220,3921512.46,7168495.4,0.5088,52.83
Linear Regression,Delhi,338,9203945.27,24012282.89,0.2774,87.7
Linear Regression,Hyderabad,73,4775443.15,7413684.44,0.5563,40.85
Linear Regression,Kolkata,198,2580797.16,4602106.41,0.6384,60.13
Linear Regression,Mumbai,159,4870017.92,10279366.81,0.5651,56.57
Linear Regression,Pune,410,3470069.84,20872619.34,0.1779,45.46
Median Baseline,Bengaluru,706,7435500.0,15019641.42,-0.1801,61.82
Median Baseline,Chennai,220,5366486.36,10550549.71,-0.064,69.67
Median Baseline,Delhi,338,11740133.14,29516096.96,-0.0918,104.73
Median Baseline,Hyderabad,73,7555767.12,13026678.28,-0.3699,43.57
Median Baseline,Kolkata,198,4612924.24,7654045.55,-0.0001,106.8
Median Baseline,Mumbai,159,8936320.75,17105405.72,-0.2043,80.39
Median Baseline,Pune,410,5733441.46,23067984.09,-0.0041,113.18
Random Forest,Bengaluru,706,4636336.34,10147068.47,0.4614,48.12
Random Forest,Chennai,220,3064006.89,6280169.69,0.623,36.26
Random Forest,Delhi,338,7946987.59,21530550.58,0.4191,74.16
Random Forest,Hyderabad,73,3518357.11,6825324.67,0.6239,22.27
Random Forest,Kolkata,198,2161825.56,4316586.55,0.6819,40.04
Random Forest,Mumbai,159,5130557.85,9525299.8,0.6266,46.04
Random Forest,Pune,410,3251849.81,20737241.68,0.1886,35.11
Ridge,Bengaluru,706,5674378.41,11987998.04,0.2482,64.83
Ridge,Chennai,220,3861710.46,7110987.19,0.5166,51.35
Ridge,Delhi,338,9143462.63,24000124.81,0.2781,85.73
Ridge,Hyderabad,73,4529206.58,7138051.68,0.5887,38.29
Ridge,Kolkata,198,2529403.43,4582392.26,0.6415,57.95
Ridge,Mumbai,159,4799304.25,10239141.18,0.5685,55.0
Ridge,Pune,410,3458209.6,20898663.92,0.1759,44.72
