segment_type,segment_value,count,MAE,RMSE,R2,MAPE
city,Bengaluru,646,1218627.99,2407623.11,0.9716,9.63
city,Chennai,192,3061242.45,7250413.15,0.5417,29.19
city,Delhi,309,1871242.01,7314475.66,0.9332,10.93
city,Hyderabad,89,3642490.83,7100792.92,0.6069,22.7
city,Kolkata,219,1889202.01,4325407.95,0.7743,32.48
city,Mumbai,190,1568076.76,8523156.26,0.8585,8.97
city,Pune,459,1275256.82,12513389.55,0.6722,8.01
bhk,1,442,475679.44,1426829.82,0.8596,11.24
bhk,2,840,806912.68,1709441.18,0.8938,13.47
bhk,3,467,1750795.38,3965891.44,0.9113,13.18
bhk,4,157,6000517.52,24517054.28,0.6897,19.83
bhk,5,71,6034400.71,12771343.95,0.8898,16.98
bhk,6,45,2396566.76,4507205.8,0.9199,12.06
bhk,7,17,8097979.76,16151248.38,0.8727,15.8
bhk,8,32,2982989.59,5209002.73,0.9772,53.17
bhk,9,6,2658337.5,3957094.16,0.9579,8.93
bhk,10,27,5232646.22,7859094.72,0.7832,14.7
property_type,Apartment,1404,851417.14,1870537.51,0.9582,11.36
property_type,Independent House,606,3186939.03,12951415.58,0.7904,20.15
property_type,Villa,94,4763039.31,13863710.41,0.846,16.66
price_segment,< ₹50 lakh,793,413937.08,933764.96,0.268,16.35
price_segment,> ₹5 crore,66,19019248.03,40740751.94,0.5734,17.58
price_segment,₹1 crore–₹2 crore,400,1688623.23,2532799.21,0.1172,12.45
price_segment,₹2 crore–₹5 crore,181,4160419.0,7403974.02,0.0371,14.58
price_segment,₹50 lakh–₹1 crore,664,846977.1,1692641.72,-0.5478,12.0
