model,property_type,sample_count,MAE,RMSE,R2,MAPE
Basic XGBoost,Apartment,1377,2252118.47,5312421.07,0.6642,30.25
Basic XGBoost,Independent House,631,8342785.81,23519855.47,0.2927,74.34
Basic XGBoost,Villa,96,8920869.65,20456287.2,0.4298,58.44
Gradient Boosting,Apartment,1377,2482749.68,5489926.47,0.6414,39.22
Gradient Boosting,Independent House,631,8615610.12,23987008.52,0.2643,88.59
Gradient Boosting,Villa,96,8226293.72,19326459.62,0.4911,53.84
Linear Regression,Apartment,1377,2772689.95,6164607.5,0.5478,44.62
Linear Regression,Independent House,631,9887438.64,25299138.27,0.1816,97.37
Linear Regression,Villa,96,10672162.57,24303751.4,0.1952,78.89
Median Baseline,Apartment,1377,4773020.33,9289400.86,-0.0267,85.02
Median Baseline,Independent House,631,11971486.53,29716324.18,-0.1291,85.16
Median Baseline,Villa,96,15711604.17,30766054.41,-0.2897,73.74
Random Forest,Apartment,1377,2419838.35,5459176.31,0.6454,32.8
Random Forest,Independent House,631,8405894.11,23822578.72,0.2743,76.07
Random Forest,Villa,96,8657071.17,19563793.67,0.4785,53.39
Ridge,Apartment,1377,2725016.52,6141451.35,0.5512,43.31
Ridge,Independent House,631,9808044.78,25255471.16,0.1844,95.67
Ridge,Villa,96,10597532.16,24255161.98,0.1984,77.07
