trial,parameters,val_rmse,val_mae,val_r2,training_time
0,"{""n_estimators"": 250, ""max_depth"": 10, ""learning_rate"": 0.08960785365368121, ""subsample"": 0.7993292420985183, ""colsample_bytree"": 0.5780093202212182, ""min_child_weight"": 2, ""gamma"": 0.2904180608409973, ""reg_alpha"": 2.9154431891537547, ""reg_lambda"": 0.2537815508265665, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",13174686.42,3899158.75,0.3332,0.785
1,"{""n_estimators"": 383, ""max_depth"": 4, ""learning_rate"": 0.18276027831785724, ""subsample"": 0.9162213204002109, ""colsample_bytree"": 0.6061695553391381, ""min_child_weight"": 2, ""gamma"": 0.9170225492671691, ""reg_alpha"": 0.016480446427978974, ""reg_lambda"": 0.12561043700013558, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",12417299.46,3852389.25,0.4076,0.725
2,"{""n_estimators"": 273, ""max_depth"": 6, ""learning_rate"": 0.06252287916406217, ""subsample"": 0.569746930326021, ""colsample_bytree"": 0.6460723242676091, ""min_child_weight"": 4, ""gamma"": 2.28034992108518, ""reg_alpha"": 1.382623217936987, ""reg_lambda"": 0.006290644294586149, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",12581975.97,3774969.75,0.3918,0.75
3,"{""n_estimators"": 306, ""max_depth"": 8, ""learning_rate"": 0.011492999300221412, ""subsample"": 0.8037724259507192, ""colsample_bytree"": 0.5852620618436457, ""min_child_weight"": 1, ""gamma"": 4.7444276862666666, ""reg_alpha"": 7.2866537374910445, ""reg_lambda"": 1.7123375973163988, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",13419866.26,3994749.75,0.3081,1.419
4,"{""n_estimators"": 222, ""max_depth"": 4, ""learning_rate"": 0.07766184280392888, ""subsample"": 0.7200762468698007, ""colsample_bytree"": 0.5610191174223894, ""min_child_weight"": 5, ""gamma"": 0.17194260557609198, ""reg_alpha"": 4.337920697490942, ""reg_lambda"": 0.010842262717330166, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",12545688.27,3737209.0,0.3953,0.758
5,"{""n_estimators"": 365, ""max_depth"": 6, ""learning_rate"": 0.04749239763680407, ""subsample"": 0.7733551396716398, ""colsample_bytree"": 0.5924272277627636, ""min_child_weight"": 10, ""gamma"": 3.8756641168055728, ""reg_alpha"": 5.727904470799623, ""reg_lambda"": 3.7958531426706403, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",13009755.54,3862509.5,0.3498,0.81
6,"{""n_estimators"": 339, ""max_depth"": 10, ""learning_rate"": 0.01303561122512888, ""subsample"": 0.5979914312095727, ""colsample_bytree"": 0.522613644455269, ""min_child_weight"": 4, ""gamma"": 1.9433864484474102, ""reg_alpha"": 0.01217295809836997, ""reg_lambda"": 2.0651425578959257, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",12842335.06,3817975.75,0.3664,2.284
7,"{""n_estimators"": 243, ""max_depth"": 5, ""learning_rate"": 0.05082341959721458, ""subsample"": 0.5704621124873813, ""colsample_bytree"": 0.9010984903770198, ""min_child_weight"": 1, ""gamma"": 4.9344346830025865, ""reg_alpha"": 1.2273800987852967, ""reg_lambda"": 0.0062353771356731605, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",12876148.49,3889108.5,0.3631,0.622
8,"{""n_estimators"": 102, ""max_depth"": 9, ""learning_rate"": 0.08310795711416077, ""subsample"": 0.8645035840204937, ""colsample_bytree"": 0.8856351733429728, ""min_child_weight"": 1, ""gamma"": 1.7923286427213632, ""reg_alpha"": 0.0029072088906598446, ""reg_lambda"": 2.8340904295147746, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",12736217.43,3815105.75,0.3768,0.614
9,"{""n_estimators"": 349, ""max_depth"": 6, ""learning_rate"": 0.012097379927033842, ""subsample"": 0.6554911608578311, ""colsample_bytree"": 0.6625916610133735, ""min_child_weight"": 8, ""gamma"": 3.1877873567760657, ""reg_alpha"": 3.53875886477924, ""reg_lambda"": 0.0774211647399625, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",13090849.32,3887669.5,0.3416,1.569
10,"{""n_estimators"": 487, ""max_depth"": 8, ""learning_rate"": 0.18255631599020644, ""subsample"": 0.9664740059186966, ""colsample_bytree"": 0.7828065453407016, ""min_child_weight"": 7, ""gamma"": 1.240501180707692, ""reg_alpha"": 0.09776871115894545, ""reg_lambda"": 0.07192862127502485, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",12809672.08,3854560.5,0.3696,0.955
11,"{""n_estimators"": 150, ""max_depth"": 4, ""learning_rate"": 0.17003049371529194, ""subsample"": 0.95751920625436, ""colsample_bytree"": 0.7171781358782057, ""min_child_weight"": 4, ""gamma"": 0.058660786034561166, ""reg_alpha"": 0.1964101424424174, ""reg_lambda"": 0.001110936683531924, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",12569105.76,3774972.25,0.3931,0.508
12,"{""n_estimators"": 450, ""max_depth"": 4, ""learning_rate"": 0.12155435269569201, ""subsample"": 0.6748377804523467, ""colsample_bytree"": 0.5136838498519677, ""min_child_weight"": 6, ""gamma"": 0.9081932656466285, ""reg_alpha"": 0.001362522051403353, ""reg_lambda"": 0.017822787430829164, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",12510489.58,3819166.75,0.3987,1.023
