model,split_strategy,dataset,train_rows,validation_rows,test_rows,MAE,RMSE,R2,MAPE,median_absolute_error,training_time_seconds
Median Baseline,Temporal,Train,9814,2103,2104,6802638.68,16623132.55,-0.0647,86.71,3100000.0,0.0
Median Baseline,Temporal,Validation,9814,2103,2104,6586277.7,16587658.05,-0.0571,83.83,3100000.0,0.0
Median Baseline,Temporal,Test,9814,2103,2104,7430974.81,19091846.23,-0.0634,84.55,3500000.0,0.0
Linear Regression,Temporal,Train,9814,2103,2104,4519012.34,12504622.65,0.3975,48.7,1558293.05,0.026
Linear Regression,Temporal,Validation,9814,2103,2104,4474890.7,12916235.0,0.3591,52.64,1745234.51,0.026
Linear Regression,Temporal,Test,9814,2103,2104,5266870.46,15613303.31,0.2888,62.01,2002313.42,0.026
Ridge,Temporal,Train,9814,2103,2104,4517691.87,12504423.39,0.3975,48.69,1559293.48,0.008
Ridge,Temporal,Validation,9814,2103,2104,4447519.56,12893249.44,0.3614,52.08,1716244.25,0.008
Ridge,Temporal,Test,9814,2103,2104,5208453.94,15582651.4,0.2916,60.55,1920155.48,0.008
Random Forest,Temporal,Train,9814,2103,2104,2696997.41,7695514.16,0.7718,25.54,1097420.08,1.657
Random Forest,Temporal,Validation,9814,2103,2104,4045934.56,12939496.35,0.3568,44.07,1488691.4,1.657
Random Forest,Temporal,Test,9814,2103,2104,4499674.63,14393366.1,0.3956,46.71,1597493.35,1.657
Gradient Boosting,Temporal,Train,9814,2103,2104,2862851.76,7760189.5,0.768,27.54,1134094.84,14.506
Gradient Boosting,Temporal,Validation,9814,2103,2104,4017109.25,12510964.73,0.3987,48.3,1545786.0,14.506
Gradient Boosting,Temporal,Test,9814,2103,2104,4584087.69,14468097.57,0.3893,54.69,1738628.52,14.506
Basic XGBoost,Temporal,Train,9814,2103,2104,2855280.25,8146641.27,0.7443,28.25,1113271.75,0.718
Basic XGBoost,Temporal,Validation,9814,2103,2104,3901905.0,12656928.97,0.3846,41.55,1365644.5,0.718
Basic XGBoost,Temporal,Test,9814,2103,2104,4383017.5,14264149.9,0.4064,44.76,1483584.25,0.718
Median Baseline,Random,Train,11216,1402,1403,6866983.59,17326492.83,-0.0609,85.66,3200000.0,0.0
Median Baseline,Random,Validation,11216,1402,1403,6847049.93,15066443.19,-0.0895,82.93,3000000.0,0.0
Median Baseline,Random,Test,11216,1402,1403,6861836.78,16284579.6,-0.0621,91.38,3300000.0,0.0
Linear Regression,Random,Train,11216,1402,1403,4554633.05,13515448.81,0.3545,46.71,1518029.96,0.091
Linear Regression,Random,Validation,11216,1402,1403,4466967.31,10659246.13,0.4547,52.96,1588142.96,0.091
Linear Regression,Random,Test,11216,1402,1403,4194945.71,11517610.6,0.4687,47.07,1413856.92,0.091
Ridge,Random,Train,11216,1402,1403,4553360.14,13515049.79,0.3545,46.71,1512744.29,0.018
Ridge,Random,Validation,11216,1402,1403,4466760.43,10654398.15,0.4552,52.83,1583954.49,0.018
Ridge,Random,Test,11216,1402,1403,4196918.32,11513585.99,0.4691,47.1,1428039.63,0.018
Random Forest,Random,Train,11216,1402,1403,2769239.73,8769578.04,0.7282,25.61,1080162.02,7.295
Random Forest,Random,Validation,11216,1402,1403,4051311.38,10280983.9,0.4927,49.66,1460679.45,7.295
Random Forest,Random,Test,11216,1402,1403,3812782.5,10642136.92,0.5464,43.89,1398226.56,7.295
Gradient Boosting,Random,Train,11216,1402,1403,3052258.57,9595901.8,0.6746,28.63,1132347.46,22.01
Gradient Boosting,Random,Validation,11216,1402,1403,3982980.14,10364215.77,0.4845,49.13,1388326.58,22.01
Gradient Boosting,Random,Test,11216,1402,1403,3634930.52,10087240.24,0.5925,43.5,1280693.15,22.01
Basic XGBoost,Random,Train,11216,1402,1403,3053362.0,9939128.63,0.6509,29.4,1135018.5,0.77
Basic XGBoost,Random,Validation,11216,1402,1403,3977163.5,10158931.37,0.5047,49.64,1407081.25,0.77
Basic XGBoost,Random,Test,11216,1402,1403,3702902.25,10326714.62,0.5729,44.07,1299365.5,0.77
Median Baseline,Geographic,Train,9773,0,4248,7795471.91,18556091.99,-0.0718,86.38,3600000.0,0.0
Median Baseline,Geographic,Test,9773,0,4248,5018601.69,11785821.72,-0.0032,133.02,4000000.0,0.0
Linear Regression,Geographic,Train,9773,0,4248,5344064.12,14198458.41,0.3725,51.45,1917052.78,0.024
Linear Regression,Geographic,Test,9773,0,4248,2936474.23,9685762.02,0.3225,60.29,1546548.91,0.024
Ridge,Geographic,Train,9773,0,4248,5342719.68,14198747.09,0.3725,51.43,1906156.26,0.011
Ridge,Geographic,Test,9773,0,4248,2726826.03,9696551.17,0.321,52.18,1288260.22,0.011
Random Forest,Geographic,Train,9773,0,4248,3119601.85,8710664.75,0.7638,25.95,1265873.96,1.369
Random Forest,Geographic,Test,9773,0,4248,2642212.59,9680195.63,0.3233,45.6,1069056.01,1.369
Gradient Boosting,Geographic,Train,9773,0,4248,3392260.34,9127379.07,0.7407,29.27,1345181.06,17.842
Gradient Boosting,Geographic,Test,9773,0,4248,2694200.88,9713624.59,0.3186,46.91,1107894.74,17.842
Basic XGBoost,Geographic,Train,9773,0,4248,3409543.5,9461201.44,0.7214,30.27,1343234.0,0.993
Basic XGBoost,Geographic,Test,9773,0,4248,2702882.0,9759656.28,0.3121,46.96,1121253.75,0.993
Optimized XGBoost,Temporal,Test,11917,2103,2104,4285145.0,14408575.88,0.3943,39.96,1340292.0,0.763
Optimized XGBoost,Random,Test,11216,1402,1403,3587763.25,10027824.49,0.5973,43.02,1288392.0,0.763
Optimized XGBoost,Geographic,Test,9773,0,4248,2654172.25,9624576.82,0.331,46.19,1129500.5,0.763
