property_master_id,city,locality,actual_price,predicted_price,base_value_log,prediction_error,top_positive_contributors,top_negative_contributors
PROP-299EECD690EE,Pune,Koregaon Bhima,200000.0,1367872.62,15.7221,1167872.62,"[[""railway_stations_distance_km"", 0.0204], [""transit_stations_distance_km"", 0.0196], [""derived_floor_ratio"", 0.0174], [""longitude"", 0.0172], [""accessibility_score"", 0.0135]]","[[""builtup_area_sqft"", -0.5548], [""historical_locality_median_ppsf"", -0.3124], [""bhk"", -0.1641], [""hist_yoy_growth"", -0.1117], [""historical_rental_yield_pct"", -0.0897]]"
PROP-F466BD78E78E,Pune,Dhayari,2400000.0,2209274.75,15.7221,190725.25,"[[""historical_rental_yield_pct"", 0.0288], [""transit_stations_distance_km"", 0.0193], [""malls_distance_km"", 0.0176], [""rental_listing_count"", 0.0145], [""derived_area_per_bhk"", 0.0113]]","[[""builtup_area_sqft"", -0.452], [""bhk"", -0.1758], [""historical_locality_median_ppsf"", -0.1168], [""median_rent_per_sqft"", -0.1125], [""hist_yoy_growth"", -0.0795]]"
PROP-CB420390021B,Mumbai,Virar West,3450000.0,3021881.5,15.7221,428118.5,"[[""longitude"", 0.0454], [""derived_area_per_bhk"", 0.0331], [""historical_rental_yield_pct"", 0.0301], [""transit_stations_distance_km"", 0.026], [""rental_listing_count"", 0.0196]]","[[""builtup_area_sqft"", -0.3716], [""bhk"", -0.1863], [""hist_yoy_growth"", -0.0854], [""median_rent_per_sqft"", -0.073], [""bathrooms"", -0.0667]]"
PROP-D13F1E999F2A,Bengaluru,Kambipura,4500000.0,4570300.5,15.7221,70300.5,"[[""floor_no"", 0.0574], [""developer_project_count"", 0.0464], [""bathrooms"", 0.0373], [""derived_floor_ratio"", 0.0146], [""railway_stations_distance_km"", 0.0113]]","[[""builtup_area_sqft"", -0.1524], [""bhk"", -0.0953], [""rental_listing_count"", -0.0605], [""hist_yoy_growth"", -0.0442], [""historical_locality_median_ppsf"", -0.0382]]"
PROP-6B6B7816E643,Bengaluru,Hsr Layout,5800000.0,6216527.0,15.7221,416527.0,"[[""median_rent_per_sqft"", 0.0585], [""bathrooms"", 0.0451], [""hospitals_distance_km"", 0.0228], [""malls_distance_km"", 0.0217], [""derived_rent_per_sqft_log1p"", 0.021]]","[[""bhk"", -0.1025], [""historical_locality_median_ppsf"", -0.0331], [""builtup_area_sqft"", -0.0319], [""historical_rental_yield_pct"", -0.0188], [""property_type_Independent House"", -0.0159]]"
PROP-0878E585B1A9,Delhi,Sector 16 Rohini,7000000.0,4051031.25,15.7221,2948968.75,"[[""historical_locality_median_ppsf"", 0.2342], [""bhk"", 0.2082], [""derived_bathrooms_per_bhk"", 0.0758], [""property_type_Villa"", 0.0595], [""property_type_Apartment"", 0.0376]]","[[""builtup_area_sqft"", -0.8656], [""railway_stations_distance_km"", -0.0994], [""derived_area_per_bhk"", -0.0831], [""bathrooms"", -0.0541], [""hist_yoy_growth"", -0.028]]"
PROP-D1C9187B98AF,Kolkata,Ariadaha,9400000.0,5512629.5,15.7221,3887370.5,"[[""builtup_area_sqft"", 0.2498], [""bhk"", 0.076], [""bathrooms"", 0.0318], [""schools_distance_km"", 0.0144], [""metro_stations_distance_km"", 0.013]]","[[""historical_locality_median_ppsf"", -0.3449], [""longitude"", -0.0725], [""hist_yoy_growth"", -0.0643], [""malls_distance_km"", -0.0362], [""median_rent_per_sqft"", -0.0338]]"
PROP-6E2FD2362270,Delhi,Mansa Ram Park,13000000.0,5850428.0,15.7221,7149572.0,"[[""bhk"", 0.2531], [""historical_locality_median_ppsf"", 0.1032], [""rental_listing_count"", 0.058], [""property_type_Apartment"", 0.0401], [""property_type_Independent House"", 0.0401]]","[[""builtup_area_sqft"", -0.3317], [""median_rent_per_sqft"", -0.1287], [""railway_stations_distance_km"", -0.0751], [""bathrooms"", -0.0541], [""derived_area_per_bhk"", -0.0436]]"
PROP-BF758B14EF8B,Pune,Ghorpadi,20000000.0,15126251.0,15.7221,4873749.0,"[[""historical_locality_median_ppsf"", 0.3344], [""builtup_area_sqft"", 0.2755], [""median_rent_per_sqft"", 0.1345], [""bhk"", 0.078], [""derived_rent_per_sqft_log1p"", 0.0535]]","[[""hist_yoy_growth"", -0.0656], [""derived_floor_ratio"", -0.052], [""hist_hpi_market"", -0.0207], [""metro_stations_distance_km"", -0.019], [""derived_area_per_bhk"", -0.0165]]"
PROP-9777B4A5461C,Pune,Balewadi,402000000.0,17238780.0,15.7221,384761220.0,"[[""builtup_area_sqft"", 0.4761], [""historical_locality_median_ppsf"", 0.2371], [""bhk"", 0.2007], [""median_rent_per_sqft"", 0.0721], [""derived_bathrooms_per_bhk"", 0.0379]]","[[""hist_yoy_growth"", -0.0569], [""derived_area_per_bhk"", -0.0227], [""malls_distance_km"", -0.0145], [""total_floors"", -0.0129], [""accessibility_score"", -0.0128]]"
