experiment_id,experiment_type,removed_group,included_groups,feature_count,train_rows,validation_rows,test_rows,train_MAE,validation_MAE,test_MAE,train_RMSE,validation_RMSE,test_RMSE,train_R2,validation_R2,test_R2,train_MAPE,validation_MAPE,test_MAPE,test_median_absolute_error,training_time_seconds
A0,Full Model,NONE,ALL,63,11917,2103,2104,2933593.25,2800529.0,4265419.5,8808269.2,10346139.26,14222156.66,0.7012,0.5888,0.4099,29.31,27.11,39.5,1344796.25,0.7281196117401123
A1,Leave-One-Group-Out,PROPERTY,ALL - PROPERTY,48,11917,2103,2104,3274047.0,3110680.0,4590100.0,9599126.97,10895307.26,14916316.09,0.6452,0.544,0.3509,32.73,30.3,43.41,1573488.5,0.5677788257598877
A2,Leave-One-Group-Out,SPATIAL,ALL - SPATIAL,55,11917,2103,2104,3046001.0,2906865.5,4228310.0,9074369.77,10444924.49,14421594.88,0.6829,0.5809,0.3932,31.39,29.07,39.85,1374570.75,0.6294879913330078
A3,Leave-One-Group-Out,RENTAL,ALL - RENTAL,56,11917,2103,2104,3041904.75,2852004.5,4369964.5,9184552.33,10590029.18,14738533.28,0.6751,0.5692,0.3663,30.2,27.27,41.06,1388486.38,0.617302417755127
A4,Leave-One-Group-Out,MARKET,ALL - MARKET,58,11917,2103,2104,2944628.75,2818114.75,4177485.0,8791006.54,10423791.29,14266947.17,0.7024,0.5826,0.4062,29.5,27.62,39.58,1281165.5,0.733534574508667
A5,Leave-One-Group-Out,RBI,ALL - RBI,56,11917,2103,2104,2945755.0,2811386.0,4225632.0,8870441.95,10516117.26,14280464.78,0.697,0.5751,0.4051,29.41,27.04,40.33,1322164.75,0.655510425567627
A6,Leave-One-Group-Out,MOSPI,ALL - MOSPI,60,11917,2103,2104,2928725.5,2806139.5,4261913.5,8840445.3,10479802.31,14381960.68,0.699,0.5781,0.3966,29.24,26.9,39.82,1316979.0,0.6503787040710449
A7,Leave-One-Group-Out,RERA,ALL - RERA,56,11917,2103,2104,2952469.0,2845157.5,4257858.0,8913337.4,10542046.13,14319409.79,0.6941,0.5731,0.4018,29.37,27.43,39.66,1319800.0,0.6414811611175537
A8,Leave-One-Group-Out,CPCB,ALL - CPCB,58,11917,2103,2104,2958985.75,2868709.5,4226591.0,8894423.68,10514843.67,14261884.98,0.6953,0.5753,0.4066,29.33,27.27,40.17,1294761.75,0.6273970603942871
A9,Leave-One-Group-Out,DERIVED,ALL - DERIVED,57,11917,2103,2104,2968561.25,2849372.75,4271824.5,8985875.8,10833273.06,14374518.53,0.6891,0.5491,0.3972,29.72,27.81,40.78,1318972.5,0.6403794288635254
