feature,feature_group,included,reason
city,PROPERTY,YES,Valid leakage-free feature
property_type,PROPERTY,YES,Valid leakage-free feature
bhk,PROPERTY,YES,Valid leakage-free feature
bathrooms,PROPERTY,YES,Valid leakage-free feature
balconies,PROPERTY,YES,Valid leakage-free feature
builtup_area_sqft,PROPERTY,YES,Valid leakage-free feature
floor_no,PROPERTY,YES,Valid leakage-free feature
total_floors,PROPERTY,YES,Valid leakage-free feature
parking,PROPERTY,YES,Valid leakage-free feature
furnishing,PROPERTY,YES,Valid leakage-free feature
facing,PROPERTY,YES,Valid leakage-free feature
latitude,PROPERTY,YES,Valid leakage-free feature
longitude,PROPERTY,YES,Valid leakage-free feature
schools_distance_km,SPATIAL,YES,Valid leakage-free feature
hospitals_distance_km,SPATIAL,YES,Valid leakage-free feature
metro_stations_distance_km,SPATIAL,YES,Valid leakage-free feature
railway_stations_distance_km,SPATIAL,YES,Valid leakage-free feature
malls_distance_km,SPATIAL,YES,Valid leakage-free feature
parks_distance_km,SPATIAL,YES,Valid leakage-free feature
transit_stations_distance_km,SPATIAL,YES,Valid leakage-free feature
accessibility_score,SPATIAL,YES,Valid leakage-free feature
avg_monthly_rent,RENTAL,YES,Valid leakage-free feature
median_monthly_rent,RENTAL,YES,Valid leakage-free feature
median_rent_per_sqft,RENTAL,YES,Valid leakage-free feature
rental_listing_count,RENTAL,YES,Valid leakage-free feature
hist_hpi_market,MARKET,YES,Valid leakage-free feature
hist_qoq_growth,MARKET,YES,Valid leakage-free feature
hist_yoy_growth,MARKET,YES,Valid leakage-free feature
hist_market_regime,MARKET,YES,Valid leakage-free feature
repo_rate,RBI,YES,Valid leakage-free feature
bank_rate,RBI,YES,Valid leakage-free feature
CRR,RBI,YES,Valid leakage-free feature
SLR,RBI,YES,Valid leakage-free feature
repo_rate_change,RBI,YES,Valid leakage-free feature
repo_rate_3m_change,RBI,YES,Valid leakage-free feature
repo_rate_12m_change,RBI,YES,Valid leakage-free feature
hist_cpi_index,MOSPI,YES,Valid leakage-free feature
hist_cpi_yoy_growth,MARKET,YES,Valid leakage-free feature
hist_cpi_3m_change,MOSPI,YES,Valid leakage-free feature
hist_cpi_12m_change,MOSPI,YES,Valid leakage-free feature
rera_registered,RERA,YES,Valid leakage-free feature
project_status,RERA,YES,Valid leakage-free feature
completion_percent,RERA,YES,Valid leakage-free feature
construction_duration_months,PROPERTY,YES,Valid leakage-free feature
project_age,RERA,YES,Valid leakage-free feature
developer_project_count,RERA,YES,Valid leakage-free feature
developer_completion_rate,RERA,YES,Valid leakage-free feature
developer_lapsed_project_count,RERA,YES,Valid leakage-free feature
aqi,CPCB,YES,Valid leakage-free feature
pm25,CPCB,YES,Valid leakage-free feature
pm10,CPCB,YES,Valid leakage-free feature
aqi_30d_avg,CPCB,YES,Valid leakage-free feature
aqi_90d_avg,CPCB,YES,Valid leakage-free feature
derived_area_per_bhk,DERIVED,YES,Valid leakage-free feature
derived_bathrooms_per_bhk,DERIVED,YES,Valid leakage-free feature
derived_carpet_efficiency,DERIVED,YES,Valid leakage-free feature
derived_floor_ratio,DERIVED,YES,Valid leakage-free feature
derived_area_per_bhk_log1p,DERIVED,YES,Valid leakage-free feature
derived_carpet_efficiency_log1p,DERIVED,YES,Valid leakage-free feature
derived_rent_per_sqft_log1p,RENTAL,YES,Valid leakage-free feature
historical_locality_median_ppsf,PROPERTY,YES,Valid leakage-free feature
historical_rental_yield_pct,RENTAL,YES,Valid leakage-free feature
derived_historical_rental_yield_log1p,RENTAL,YES,Valid leakage-free feature
