feature_config,feature_count,MAE,RMSE,R2,MAPE
Full Model (All 9 Groups),63,4265419.5,14222156.66,0.4099,39.5
PROPERTY,15,4353026.0,14706809.35,0.369,42.72
PROPERTY + SPATIAL,23,4270049.0,14444869.07,0.3913,42.3
PROPERTY + SPATIAL + RENTAL,30,4195831.5,14232829.7,0.409,41.27
PROPERTY + SPATIAL + RENTAL + MARKET,35,4262150.0,14298084.68,0.4036,40.79
PROPERTY + SPATIAL + RENTAL + MARKET + RBI,42,4225388.0,14152623.65,0.4157,40.69
PROPERTY + SPATIAL + RENTAL + MARKET + RBI + MOSPI,45,4238191.0,14224890.83,0.4097,40.47
PROPERTY + SPATIAL + RENTAL + MARKET + RBI + MOSPI + RERA,52,4250297.5,14105855.09,0.4195,42.35
PROPERTY + SPATIAL + RENTAL + MARKET + RBI + MOSPI + RERA + CPCB,57,4271824.5,14374518.53,0.3972,40.78
PROPERTY + SPATIAL + RENTAL + MARKET + RBI + MOSPI + RERA + CPCB + DERIVED,63,4265419.5,14222156.66,0.4099,39.5
