experiment_id,experiment_type,removed_group,test_MAE,test_RMSE,test_R2,test_MAPE
G0,Full Model,NONE,2684052.0,9708451.06,0.3193,47.12
G1,Leave-One-Out,PROPERTY,2854755.25,9601529.0,0.3342,55.89
G2,Leave-One-Out,SPATIAL,2496294.0,9583024.66,0.3368,40.38
G3,Leave-One-Out,RENTAL,2904725.0,9750964.82,0.3133,56.52
G4,Leave-One-Out,MARKET,2738281.25,9802836.24,0.306,47.87
G5,Leave-One-Out,RBI,2725624.5,9770074.53,0.3106,47.88
G6,Leave-One-Out,MOSPI,2648245.75,9659830.93,0.3261,45.48
G7,Leave-One-Out,RERA,2609725.5,9603301.52,0.334,44.72
G8,Leave-One-Out,CPCB,2673333.25,9538391.09,0.3429,46.72
G9,Leave-One-Out,DERIVED,2693029.5,9762724.71,0.3117,46.55
