experiment_id,experiment_type,removed_group,test_MAE,test_RMSE,test_R2,test_MAPE
R0,Full Model,NONE,3576430.25,10080070.42,0.593,42.72
R1,Leave-One-Out,PROPERTY,3958681.5,10729083.23,0.539,45.78
R2,Leave-One-Out,SPATIAL,3570086.5,9518291.9,0.6371,42.87
R3,Leave-One-Out,RENTAL,3690688.0,10893331.83,0.5247,42.0
R4,Leave-One-Out,MARKET,3539137.5,9772543.56,0.6175,42.15
R5,Leave-One-Out,RBI,3543994.75,9892536.63,0.608,42.69
R6,Leave-One-Out,MOSPI,3533955.0,9755056.77,0.6189,42.18
R7,Leave-One-Out,RERA,3535438.5,9868306.22,0.61,42.65
R8,Leave-One-Out,CPCB,3533299.5,9784576.72,0.6166,42.57
R9,Leave-One-Out,DERIVED,3624888.0,10156254.39,0.5869,43.33
