property_master_id,city,property_type,feature_changed,scenario,original_value,counterfactual_value,baseline_prediction,counterfactual_prediction,delta_price,delta_percent,validity
PROP-1F790EFD8125,Pune,Apartment,builtup_area_sqft,0.80x Area,595,476.0,1847878.25,1480746.25,-367132.0,-19.8700008392334,VALID
PROP-1F790EFD8125,Pune,Apartment,builtup_area_sqft,0.90x Area,595,535.5,1847878.25,1540524.125,-307354.125,-16.6299991607666,VALID
PROP-1F790EFD8125,Pune,Apartment,builtup_area_sqft,1.00x Area,595,595.0,1847878.25,1847878.25,0.0,0.0,VALID
PROP-1F790EFD8125,Pune,Apartment,builtup_area_sqft,1.10x Area,595,654.5,1847878.25,2065692.375,217814.125,11.789999961853027,VALID
PROP-1F790EFD8125,Pune,Apartment,builtup_area_sqft,1.20x Area,595,714.0,1847878.25,2303627.0,455748.75,24.65999984741211,VALID
PROP-731A2F56E657,Delhi,Apartment,builtup_area_sqft,0.80x Area,585,468.0,3651072.5,3027475.0,-623597.75,-17.079999923706055,VALID
PROP-731A2F56E657,Delhi,Apartment,builtup_area_sqft,0.90x Area,585,526.5,3651072.5,3137648.0,-513424.46875,-14.0600004196167,VALID
PROP-731A2F56E657,Delhi,Apartment,builtup_area_sqft,1.00x Area,585,585.0,3651072.5,3651072.75,0.0,0.0,VALID
PROP-731A2F56E657,Delhi,Apartment,builtup_area_sqft,1.10x Area,585,643.5,3651072.5,3768547.5,117475.0,3.2200000286102295,VALID
PROP-731A2F56E657,Delhi,Apartment,builtup_area_sqft,1.20x Area,585,702.0,3651072.5,3711505.25,60432.75,1.659999966621399,VALID
PROP-B0FC8841569E,Chennai,Independent House,builtup_area_sqft,0.80x Area,900,720.0,6269276.5,6289415.5,20139.0,0.3199999928474426,VALID
PROP-B0FC8841569E,Chennai,Independent House,builtup_area_sqft,0.90x Area,900,810.0,6269276.5,6082758.0,-186519.0,-2.9800000190734863,VALID
PROP-B0FC8841569E,Chennai,Independent House,builtup_area_sqft,1.00x Area,900,900.0,6269276.5,6269277.0,0.0,0.0,VALID
PROP-B0FC8841569E,Chennai,Independent House,builtup_area_sqft,1.10x Area,900,990.0000000000001,6269276.5,6706468.0,437191.53125,6.96999979019165,VALID
PROP-B0FC8841569E,Chennai,Independent House,builtup_area_sqft,1.20x Area,900,1080.0,6269276.5,7396149.0,1126872.5,17.969999313354492,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,builtup_area_sqft,0.80x Area,1650,1320.0,11126201.0,8237728.5,-2888472.75,-25.959999084472656,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,builtup_area_sqft,0.90x Area,1650,1485.0,11126201.0,9396170.0,-1730031.0,-15.550000190734863,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,builtup_area_sqft,1.00x Area,1650,1650.0,11126201.0,11126202.0,0.0,0.0,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,builtup_area_sqft,1.10x Area,1650,1815.0000000000002,11126201.0,13146779.0,2020577.875,18.15999984741211,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,builtup_area_sqft,1.20x Area,1650,1980.0,11126201.0,15532526.0,4406325.0,39.599998474121094,VALID
PROP-B2BD4E3603E1,Bengaluru,Independent House,builtup_area_sqft,0.80x Area,4150,3320.0,27380700.0,19303388.0,-8077312.0,-29.5,VALID
PROP-B2BD4E3603E1,Bengaluru,Independent House,builtup_area_sqft,0.90x Area,4150,3735.0,27380700.0,24851320.0,-2529380.0,-9.239999771118164,VALID
PROP-B2BD4E3603E1,Bengaluru,Independent House,builtup_area_sqft,1.00x Area,4150,4150.0,27380700.0,27380700.0,0.0,0.0,VALID
PROP-B2BD4E3603E1,Bengaluru,Independent House,builtup_area_sqft,1.10x Area,4150,4565.0,27380700.0,29789972.0,2409272.0,8.800000190734863,VALID
PROP-B2BD4E3603E1,Bengaluru,Independent House,builtup_area_sqft,1.20x Area,4150,4980.0,27380700.0,29678700.0,2298000.0,8.390000343322754,VALID
PROP-1F790EFD8125,Pune,Apartment,bhk,1 BHK,1,1,1847878.25,1847878.25,0.0,0.0,VALID
PROP-1F790EFD8125,Pune,Apartment,bhk,2 BHK,1,2,1847878.25,1820142.375,-27735.880859375,-1.5,VALID
PROP-1F790EFD8125,Pune,Apartment,bhk,3 BHK,1,3,1847878.25,2507826.0,659947.75,35.709999084472656,VALID
PROP-1F790EFD8125,Pune,Apartment,bhk,4 BHK,1,4,1847878.25,3356296.75,1508418.5,81.62999725341797,UNREALISTIC_DENSITY
PROP-1F790EFD8125,Pune,Apartment,bhk,5 BHK,1,5,1847878.25,3714122.0,1866243.625,100.98999786376953,UNREALISTIC_DENSITY
PROP-731A2F56E657,Delhi,Apartment,bhk,1 BHK,1,1,3651072.5,3651072.75,0.0,0.0,VALID
PROP-731A2F56E657,Delhi,Apartment,bhk,2 BHK,1,2,3651072.5,3917993.0,266920.5,7.309999942779541,VALID
PROP-731A2F56E657,Delhi,Apartment,bhk,3 BHK,1,3,3651072.5,5086508.5,1435436.0,39.31999969482422,VALID
PROP-731A2F56E657,Delhi,Apartment,bhk,4 BHK,1,4,3651072.5,5799604.0,2148531.5,58.849998474121094,UNREALISTIC_DENSITY
PROP-731A2F56E657,Delhi,Apartment,bhk,5 BHK,1,5,3651072.5,6744193.5,3093121.0,84.72000122070312,UNREALISTIC_DENSITY
PROP-B0FC8841569E,Chennai,Independent House,bhk,1 BHK,1,1,6269276.5,6269277.0,0.0,0.0,VALID
PROP-B0FC8841569E,Chennai,Independent House,bhk,2 BHK,1,2,6269276.5,6932775.5,663499.0,10.579999923706055,VALID
PROP-B0FC8841569E,Chennai,Independent House,bhk,3 BHK,1,3,6269276.5,8530177.0,2260900.5,36.060001373291016,VALID
PROP-B0FC8841569E,Chennai,Independent House,bhk,4 BHK,1,4,6269276.5,11132718.0,4863441.5,77.58000183105469,VALID
PROP-B0FC8841569E,Chennai,Independent House,bhk,5 BHK,1,5,6269276.5,11409556.0,5140279.5,81.98999786376953,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,bhk,1 BHK,3,1,11126201.0,8167217.5,-2958984.0,-26.59000015258789,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,bhk,2 BHK,3,2,11126201.0,10829788.0,-296413.0,-2.6600000858306885,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,bhk,3 BHK,3,3,11126201.0,11126202.0,0.0,0.0,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,bhk,4 BHK,3,4,11126201.0,13394600.0,2268399.0,20.389999389648438,VALID
