property_master_id,city,property_type,feature_changed,scenario,original_value,counterfactual_value,baseline_prediction,counterfactual_prediction,delta_price,delta_percent,validity
PROP-1F790EFD8125,Pune,Apartment,builtup_area_sqft,0.80x Area,595,476.0,1847878.25,1.4807462e+06,-367132.0,-19.87,VALID
PROP-1F790EFD8125,Pune,Apartment,builtup_area_sqft,0.90x Area,595,535.5,1847878.25,1.5405241e+06,-307354.12,-16.63,VALID
PROP-1F790EFD8125,Pune,Apartment,builtup_area_sqft,1.00x Area,595,595.0,1847878.25,1.8478782e+06,0.0,0.0,VALID
PROP-1F790EFD8125,Pune,Apartment,builtup_area_sqft,1.10x Area,595,654.5,1847878.25,2.0656924e+06,217814.12,11.79,VALID
PROP-1F790EFD8125,Pune,Apartment,builtup_area_sqft,1.20x Area,595,714.0,1847878.25,2.303627e+06,455748.75,24.66,VALID
PROP-731A2F56E657,Delhi,Apartment,builtup_area_sqft,0.80x Area,585,468.0,3651072.5,3.027475e+06,-623597.75,-17.08,VALID
PROP-731A2F56E657,Delhi,Apartment,builtup_area_sqft,0.90x Area,585,526.5,3651072.5,3.137648e+06,-513424.47,-14.06,VALID
PROP-731A2F56E657,Delhi,Apartment,builtup_area_sqft,1.00x Area,585,585.0,3651072.5,3.6510728e+06,0.0,0.0,VALID
PROP-731A2F56E657,Delhi,Apartment,builtup_area_sqft,1.10x Area,585,643.5,3651072.5,3.7685475e+06,117475.0,3.22,VALID
PROP-731A2F56E657,Delhi,Apartment,builtup_area_sqft,1.20x Area,585,702.0,3651072.5,3.7115052e+06,60432.75,1.66,VALID
PROP-B0FC8841569E,Chennai,Independent House,builtup_area_sqft,0.80x Area,900,720.0,6269276.5,6.2894155e+06,20139.0,0.32,VALID
PROP-B0FC8841569E,Chennai,Independent House,builtup_area_sqft,0.90x Area,900,810.0,6269276.5,6.082758e+06,-186519.0,-2.98,VALID
PROP-B0FC8841569E,Chennai,Independent House,builtup_area_sqft,1.00x Area,900,900.0,6269276.5,6.269277e+06,0.0,0.0,VALID
PROP-B0FC8841569E,Chennai,Independent House,builtup_area_sqft,1.10x Area,900,990.0000000000001,6269276.5,6.706468e+06,437191.53,6.97,VALID
PROP-B0FC8841569E,Chennai,Independent House,builtup_area_sqft,1.20x Area,900,1080.0,6269276.5,7.396149e+06,1.1268725e+06,17.97,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,builtup_area_sqft,0.80x Area,1650,1320.0,11126201.0,8.2377285e+06,-2.8884728e+06,-25.96,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,builtup_area_sqft,0.90x Area,1650,1485.0,11126201.0,9.39617e+06,-1.730031e+06,-15.55,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,builtup_area_sqft,1.00x Area,1650,1650.0,11126201.0,1.1126202e+07,0.0,0.0,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,builtup_area_sqft,1.10x Area,1650,1815.0000000000002,11126201.0,1.3146779e+07,2.0205779e+06,18.16,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,builtup_area_sqft,1.20x Area,1650,1980.0,11126201.0,1.5532526e+07,4.406325e+06,39.6,VALID
PROP-B2BD4E3603E1,Bengaluru,Independent House,builtup_area_sqft,0.80x Area,4150,3320.0,27380700.0,1.9303388e+07,-8.077312e+06,-29.5,VALID
PROP-B2BD4E3603E1,Bengaluru,Independent House,builtup_area_sqft,0.90x Area,4150,3735.0,27380700.0,2.485132e+07,-2.52938e+06,-9.24,VALID
PROP-B2BD4E3603E1,Bengaluru,Independent House,builtup_area_sqft,1.00x Area,4150,4150.0,27380700.0,2.73807e+07,0.0,0.0,VALID
PROP-B2BD4E3603E1,Bengaluru,Independent House,builtup_area_sqft,1.10x Area,4150,4565.0,27380700.0,2.9789972e+07,2.409272e+06,8.8,VALID
PROP-B2BD4E3603E1,Bengaluru,Independent House,builtup_area_sqft,1.20x Area,4150,4980.0,27380700.0,2.96787e+07,2.298e+06,8.39,VALID
