property_master_id,city,property_type,feature_changed,scenario,original_value,counterfactual_value,baseline_prediction,counterfactual_prediction,delta_price,delta_percent,validity
PROP-1F790EFD8125,Pune,Apartment,bhk,1 BHK,1,1,1847878.25,1.8478782e+06,0.0,0.0,VALID
PROP-1F790EFD8125,Pune,Apartment,bhk,2 BHK,1,2,1847878.25,1.8201424e+06,-27735.88,-1.5,VALID
PROP-1F790EFD8125,Pune,Apartment,bhk,3 BHK,1,3,1847878.25,2.507826e+06,659947.75,35.71,VALID
PROP-1F790EFD8125,Pune,Apartment,bhk,4 BHK,1,4,1847878.25,3.3562968e+06,1.5084185e+06,81.63,UNREALISTIC_DENSITY
PROP-1F790EFD8125,Pune,Apartment,bhk,5 BHK,1,5,1847878.25,3.714122e+06,1.8662436e+06,100.99,UNREALISTIC_DENSITY
PROP-731A2F56E657,Delhi,Apartment,bhk,1 BHK,1,1,3651072.5,3.6510728e+06,0.0,0.0,VALID
PROP-731A2F56E657,Delhi,Apartment,bhk,2 BHK,1,2,3651072.5,3.917993e+06,266920.5,7.31,VALID
PROP-731A2F56E657,Delhi,Apartment,bhk,3 BHK,1,3,3651072.5,5.0865085e+06,1.435436e+06,39.32,VALID
PROP-731A2F56E657,Delhi,Apartment,bhk,4 BHK,1,4,3651072.5,5.799604e+06,2.1485315e+06,58.85,UNREALISTIC_DENSITY
PROP-731A2F56E657,Delhi,Apartment,bhk,5 BHK,1,5,3651072.5,6.7441935e+06,3.093121e+06,84.72,UNREALISTIC_DENSITY
PROP-B0FC8841569E,Chennai,Independent House,bhk,1 BHK,1,1,6269276.5,6.269277e+06,0.0,0.0,VALID
PROP-B0FC8841569E,Chennai,Independent House,bhk,2 BHK,1,2,6269276.5,6.9327755e+06,663499.0,10.58,VALID
PROP-B0FC8841569E,Chennai,Independent House,bhk,3 BHK,1,3,6269276.5,8.530177e+06,2.2609005e+06,36.06,VALID
PROP-B0FC8841569E,Chennai,Independent House,bhk,4 BHK,1,4,6269276.5,1.1132718e+07,4.8634415e+06,77.58,VALID
PROP-B0FC8841569E,Chennai,Independent House,bhk,5 BHK,1,5,6269276.5,1.1409556e+07,5.1402795e+06,81.99,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,bhk,1 BHK,3,1,11126201.0,8.1672175e+06,-2.958984e+06,-26.59,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,bhk,2 BHK,3,2,11126201.0,1.0829788e+07,-296413.0,-2.66,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,bhk,3 BHK,3,3,11126201.0,1.1126202e+07,0.0,0.0,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,bhk,4 BHK,3,4,11126201.0,1.33946e+07,2.268399e+06,20.39,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,bhk,5 BHK,3,5,11126201.0,1.539558e+07,4.269379e+06,38.37,VALID
PROP-B2BD4E3603E1,Bengaluru,Independent House,bhk,1 BHK,6,1,27380700.0,1.1539931e+07,-1.5840769e+07,-57.85,VALID
PROP-B2BD4E3603E1,Bengaluru,Independent House,bhk,2 BHK,6,2,27380700.0,1.9651064e+07,-7.729636e+06,-28.23,VALID
PROP-B2BD4E3603E1,Bengaluru,Independent House,bhk,3 BHK,6,3,27380700.0,2.3066056e+07,-4.314644e+06,-15.76,VALID
PROP-B2BD4E3603E1,Bengaluru,Independent House,bhk,4 BHK,6,4,27380700.0,2.7336868e+07,-43832.0,-0.16,VALID
PROP-B2BD4E3603E1,Bengaluru,Independent House,bhk,5 BHK,6,5,27380700.0,2.4645512e+07,-2.7351878e+06,-9.99,VALID
