property_master_id,city,property_type,feature_changed,scenario,original_value,counterfactual_value,baseline_prediction,counterfactual_prediction,delta_price,delta_percent,validity
PROP-1F790EFD8125,Pune,Apartment,aqi,P10 (32.00),89,32.0,1847878.25,1.8491264e+06,1248.12,0.07,VALID
PROP-1F790EFD8125,Pune,Apartment,aqi,P25 (44.00),89,44.0,1847878.25,1.8469868e+06,-891.5,-0.05,VALID
PROP-1F790EFD8125,Pune,Apartment,aqi,P50 (73.00),89,73.0,1847878.25,1.8469868e+06,-891.5,-0.05,VALID
PROP-1F790EFD8125,Pune,Apartment,aqi,P75 (96.00),89,96.0,1847878.25,1.8553761e+06,7497.88,0.41,VALID
PROP-1F790EFD8125,Pune,Apartment,aqi,P90 (190.00),89,190.0,1847878.25,1.8272124e+06,-20666.0,-1.12,VALID
PROP-731A2F56E657,Delhi,Apartment,aqi,P10 (32.00),254,32.0,3651072.5,3.8154618e+06,164389.25,4.5,VALID
PROP-731A2F56E657,Delhi,Apartment,aqi,P25 (44.00),254,44.0,3651072.5,3.7358735e+06,84801.0,2.32,VALID
PROP-731A2F56E657,Delhi,Apartment,aqi,P50 (73.00),254,73.0,3651072.5,3.7213655e+06,70293.0,1.93,VALID
PROP-731A2F56E657,Delhi,Apartment,aqi,P75 (96.00),254,96.0,3651072.5,3.712061e+06,60988.5,1.67,VALID
PROP-731A2F56E657,Delhi,Apartment,aqi,P90 (190.00),254,190.0,3651072.5,3.7369318e+06,85859.25,2.35,VALID
PROP-B0FC8841569E,Chennai,Independent House,aqi,P10 (32.00),35,32.0,6269276.5,6.231705e+06,-37571.5,-0.6,VALID
PROP-B0FC8841569E,Chennai,Independent House,aqi,P25 (44.00),35,44.0,6269276.5,6.269277e+06,0.0,0.0,VALID
PROP-B0FC8841569E,Chennai,Independent House,aqi,P50 (73.00),35,73.0,6269276.5,6.249941e+06,-19335.5,-0.31,VALID
PROP-B0FC8841569E,Chennai,Independent House,aqi,P75 (96.00),35,96.0,6269276.5,6.2529575e+06,-16319.0,-0.26,VALID
PROP-B0FC8841569E,Chennai,Independent House,aqi,P90 (190.00),35,190.0,6269276.5,6.060742e+06,-208534.5,-3.33,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,aqi,P10 (32.00),73,32.0,11126201.0,1.0973196e+07,-153006.0,-1.38,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,aqi,P25 (44.00),73,44.0,11126201.0,1.1201088e+07,74887.0,0.67,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,aqi,P50 (73.00),73,73.0,11126201.0,1.1126202e+07,0.0,0.0,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,aqi,P75 (96.00),73,96.0,11126201.0,1.1148358e+07,22157.0,0.2,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,aqi,P90 (190.00),73,190.0,11126201.0,1.1953805e+07,827604.0,7.44,VALID
PROP-B2BD4E3603E1,Bengaluru,Independent House,aqi,P10 (32.00),75,32.0,27380700.0,2.7632424e+07,251724.0,0.92,VALID
PROP-B2BD4E3603E1,Bengaluru,Independent House,aqi,P25 (44.00),75,44.0,27380700.0,2.7523384e+07,142684.0,0.52,VALID
PROP-B2BD4E3603E1,Bengaluru,Independent House,aqi,P50 (73.00),75,73.0,27380700.0,2.73807e+07,0.0,0.0,VALID
PROP-B2BD4E3603E1,Bengaluru,Independent House,aqi,P75 (96.00),75,96.0,27380700.0,2.73807e+07,0.0,0.0,VALID
PROP-B2BD4E3603E1,Bengaluru,Independent House,aqi,P90 (190.00),75,190.0,27380700.0,2.675694e+07,-623760.0,-2.28,VALID
