property_master_id,city,property_type,feature_changed,scenario,original_value,counterfactual_value,baseline_prediction,counterfactual_prediction,delta_price,delta_percent,validity
PROP-1F790EFD8125,Pune,Apartment,median_monthly_rent,P10 (10000.00),23000.0,10000.0,1847878.25,1.7165659e+06,-131312.38,-7.11,VALID
PROP-1F790EFD8125,Pune,Apartment,median_monthly_rent,P25 (18000.00),23000.0,18000.0,1847878.25,1.8474836e+06,-394.62,-0.02,VALID
PROP-1F790EFD8125,Pune,Apartment,median_monthly_rent,P50 (25000.00),23000.0,25000.0,1847878.25,1.8702544e+06,22376.12,1.21,VALID
PROP-1F790EFD8125,Pune,Apartment,median_monthly_rent,P75 (35000.00),23000.0,35000.0,1847878.25,1.9985724e+06,150694.0,8.15,VALID
PROP-1F790EFD8125,Pune,Apartment,median_monthly_rent,P90 (51500.00),23000.0,51500.0,1847878.25,2.0033468e+06,155468.5,8.41,VALID
PROP-731A2F56E657,Delhi,Apartment,median_monthly_rent,P10 (10000.00),12500.0,10000.0,3651072.5,3.4929265e+06,-158146.0,-4.33,VALID
PROP-731A2F56E657,Delhi,Apartment,median_monthly_rent,P25 (18000.00),12500.0,18000.0,3651072.5,3.6339052e+06,-17167.25,-0.47,VALID
PROP-731A2F56E657,Delhi,Apartment,median_monthly_rent,P50 (25000.00),12500.0,25000.0,3651072.5,3.6648415e+06,13769.25,0.38,VALID
PROP-731A2F56E657,Delhi,Apartment,median_monthly_rent,P75 (35000.00),12500.0,35000.0,3651072.5,4.0964038e+06,445331.25,12.2,VALID
PROP-731A2F56E657,Delhi,Apartment,median_monthly_rent,P90 (51500.00),12500.0,51500.0,3651072.5,4.1909208e+06,539848.0,14.79,VALID
PROP-B0FC8841569E,Chennai,Independent House,median_monthly_rent,P10 (10000.00),,10000.0,6269276.5,6.4146195e+06,145343.0,2.32,VALID
PROP-B0FC8841569E,Chennai,Independent House,median_monthly_rent,P25 (18000.00),,18000.0,6269276.5,6.318158e+06,48881.5,0.78,VALID
PROP-B0FC8841569E,Chennai,Independent House,median_monthly_rent,P50 (25000.00),,25000.0,6269276.5,6.269277e+06,0.0,0.0,VALID
PROP-B0FC8841569E,Chennai,Independent House,median_monthly_rent,P75 (35000.00),,35000.0,6269276.5,6.5535995e+06,284323.0,4.54,VALID
PROP-B0FC8841569E,Chennai,Independent House,median_monthly_rent,P90 (51500.00),,51500.0,6269276.5,6.639286e+06,370009.53,5.9,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,median_monthly_rent,P10 (10000.00),35000.0,10000.0,11126201.0,1.1519699e+07,393498.0,3.54,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,median_monthly_rent,P25 (18000.00),35000.0,18000.0,11126201.0,1.1102332e+07,-23869.0,-0.21,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,median_monthly_rent,P50 (25000.00),35000.0,25000.0,11126201.0,1.116206e+07,35859.0,0.32,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,median_monthly_rent,P75 (35000.00),35000.0,35000.0,11126201.0,1.1126202e+07,0.0,0.0,VALID
PROP-B8888E831EFC,Bengaluru,Apartment,median_monthly_rent,P90 (51500.00),35000.0,51500.0,11126201.0,1.1223672e+07,97471.0,0.88,VALID
PROP-B2BD4E3603E1,Bengaluru,Independent House,median_monthly_rent,P10 (10000.00),35000.0,10000.0,27380700.0,2.6791512e+07,-589188.0,-2.15,VALID
PROP-B2BD4E3603E1,Bengaluru,Independent House,median_monthly_rent,P25 (18000.00),35000.0,18000.0,27380700.0,2.6929122e+07,-451580.0,-1.65,VALID
PROP-B2BD4E3603E1,Bengaluru,Independent House,median_monthly_rent,P50 (25000.00),35000.0,25000.0,27380700.0,2.7400816e+07,20116.0,0.07,VALID
PROP-B2BD4E3603E1,Bengaluru,Independent House,median_monthly_rent,P75 (35000.00),35000.0,35000.0,27380700.0,2.73807e+07,0.0,0.0,VALID
PROP-B2BD4E3603E1,Bengaluru,Independent House,median_monthly_rent,P90 (51500.00),35000.0,51500.0,27380700.0,2.8353936e+07,973236.0,3.55,VALID
