trial_number,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda,MAE,RMSE,R2,MAPE,MedAE,training_time_secs
0,337,7,0.19466061084512343,0.8205746364250579,0.7364785506114863,1,2.3398650123389633,0.0771424212546445,0.1013193097800534,2041645.5,7643018.01,0.7426,17.92,677718.0,0.276
1,143,5,0.013288578740414466,0.9988515807855969,0.9710851608404162,5,0.18933591198346922,6.858838520584594e-05,1.511559546264642e-07,3006362.75,9706701.63,0.5849,25.19,946816.0,0.294
2,296,6,0.097421340403792,0.7809370694030788,0.86052553350749,3,2.2192471009067094,2.809210445284367e-05,0.03246055877714405,1958829.0,7607085.59,0.745,16.62,652325.5,0.243
3,71,8,0.2325677633748089,0.9213129356826559,0.6327729838437509,10,3.8342086891119056,0.05617047990512612,1.4305769755411643e-05,2118873.5,8100051.53,0.7109,17.65,643519.0,0.092
4,182,5,0.0502990214086674,0.6376063418657555,0.8628613302428063,9,0.8487797625947546,2.116855898133358e-06,8.904716924534719e-07,1881622.38,7033562.84,0.782,16.55,598612.0,0.231
5,337,10,0.014860737761636373,0.8744011206197357,0.6466428135402101,9,3.3694615934569407,0.004408856792734041,0.010695854848846548,1996329.62,7885522.88,0.726,16.5,607540.0,0.635
6,325,8,0.0417521408011152,0.7819809969045485,0.6976350568053793,6,1.0769122774029922,3.0387938719187932,0.0011208351162725855,1929997.0,7864192.8,0.7275,15.91,561868.0,0.431
7,213,8,0.05659610325759182,0.6229028428560269,0.9755442314877716,8,1.975313482867359,1.0339573489461882,2.505909515248711e-06,1862294.0,7339239.39,0.7627,16.39,577185.0,0.328
8,298,9,0.15158467647897145,0.9742109171944174,0.8862419923590847,1,4.7203387875008165,1.110305645172537,0.0023057248201385607,2091723.5,8181898.92,0.7051,17.44,658374.75,0.253
9,57,8,0.11941279153311626,0.9871130601502631,0.954167301231274,6,3.950898234468533,0.19012451983834608,0.0004264030256035461,1993439.38,7714680.35,0.7378,17.14,647273.0,0.128
10,219,4,0.026122079218243117,0.6326264148769425,0.8117299103961612,4,0.3621006673894227,1.1396644329474715e-08,2.633575290533464,2163606.25,8162710.9,0.7064,18.36,697096.0,0.315
11,220,4,0.0617025230002037,0.6196635435640998,0.9952714291134053,8,1.4755479635886104,1.6127567126113622e-08,1.7527509346100907e-08,2089903.12,7676450.68,0.7404,18.16,687951.5,0.227
12,202,6,0.04921847114807421,0.6899136022546151,0.8996770043024314,8,1.7099834036809458,6.818869950560927e-07,3.234946970275201e-06,1879698.38,7053225.77,0.7808,17.08,645232.0,0.22
13,155,6,0.033095068466523755,0.6930295129456457,0.8107853775014868,8,1.014826990519394,1.1920306209440734e-06,1.0987850821272692e-05,1809150.0,7117156.25,0.7768,16.02,594881.0,0.28
14,148,6,0.021396465779847437,0.697432626721653,0.8973483220321563,10,1.6112681153770205,9.254726454366924e-07,6.773010759510359e-07,2050171.88,7716334.32,0.7377,17.64,665361.75,0.315
15,257,5,0.08059660378131697,0.6976040748715058,0.808319711720666,7,3.0878328424966153,6.104311846977675e-07,6.698351374023367e-05,2123607.0,7778058.65,0.7335,18.96,745314.5,0.208
16,386,5,0.046687002080519326,0.6631423175357659,0.9185810732691772,9,0.8108471788272951,4.621922103215975e-05,1.5428899150986068e-08,1831933.0,6753919.29,0.799,16.45,630470.0,0.361
17,398,5,0.03468925423782805,0.7445783252310176,0.9327820607347239,10,0.7196407518540429,0.0001440684275788143,1.1311958635653338e-08,1807823.25,6816354.43,0.7953,16.38,617726.5,0.372
18,398,4,0.021624978664346244,0.7479227772376174,0.935993548273349,10,0.5566688073727915,0.0008630309577228674,1.1298384298473335e-08,1964766.0,7283128.0,0.7663,17.05,637945.75,0.441
19,397,5,0.032582879920477946,0.7412350028396926,0.9408954454979035,9,0.04780353180036301,0.00034994784396495513,3.8264419101657475e-08,1649170.62,6077986.14,0.8372,14.93,551771.0,0.58
20,361,7,0.010876700789859427,0.8438778296396027,0.7706107654122618,7,0.007502306588880625,0.004778369475314738,1.336590030263099e-07,1658336.62,6679253.02,0.8034,14.4,483145.0,1.077
21,369,7,0.01109526442181344,0.8602553594919856,0.7519693889382989,7,0.005341202228925907,0.004665501389401815,9.273248501997595e-08,1644959.12,6598959.82,0.8081,14.21,472996.0,1.095
22,364,7,0.010080056285247031,0.8668199269835599,0.7487381701044091,7,0.010376843758852693,0.005630752952293571,1.4804265973371898e-07,1705894.25,6788135.16,0.797,14.64,499595.0,1.079
23,369,7,0.014496354852719783,0.8579597398783659,0.7539817054786623,6,0.021581923643997046,0.004583036724319563,1.553992856520873e-07,1560180.0,6342285.34,0.8228,13.53,433189.0,1.05
24,359,9,0.01707110861319645,0.9243688183578581,0.6720713994519418,5,0.4242483922521379,0.000725654331252623,9.453305233433773e-08,1647289.75,6721989.95,0.8009,14.16,471135.0,1.024
25,301,7,0.020001831250175156,0.8985504744048195,0.6972776484041844,6,1.2200253511781378,0.0007867245678744735,7.427256534687266e-08,1794023.25,7077645.03,0.7793,15.49,566012.5,0.512
26,266,9,0.012796503065498484,0.833215810292189,0.7795174451171442,3,0.41209381599271844,0.019765202081928113,4.81702451279099e-07,1786763.75,7124917.83,0.7763,15.03,482317.25,1.328
27,373,7,0.027575278900960263,0.7978978379880387,0.603786905592357,5,0.05272924426385207,0.00022315000213630906,1.142129336110604e-05,1620431.75,6563729.13,0.8102,13.71,474574.5,0.902
28,326,6,0.02886140077815868,0.7766785062750284,0.6175847670111234,4,0.5897751130712412,5.567049166852723e-06,0.0001267525475294431,1820447.62,7038466.51,0.7817,15.46,579985.5,0.449
29,350,10,0.017038375098577172,0.8106700540078812,0.6933460848212138,2,1.2896068449203344,0.00029707566290885574,2.1347449697399955e-05,1808387.62,7197234.39,0.7718,15.33,514494.0,0.819
